year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Sun,1:00PM ET,70,0,23.5,23,152,0,22.5,39.5,245,1,12.5,77.5,64,0,3.5,48.125,26.5,33.5,150.5,0.5,22.5,36.5,278,1,6,62,71,17.33333333,8.75,47.33333333,W
2022,3,Sun,1:00PM ET,70,0,21.5,26,161.5,0.25,23.25,35.25,266,0.75,18.75,35,64,15.75,7.416666667,47.7875,21.75,24.75,123,0,24.5,39,269.5,1,15,30.75,66,20,6.75,47.15,L
2022,4,Sun,1:00PM ET,70,0,22,30.5,163.6666667,0.5,20.5,33,250.1666667,0.5,10.66666667,46,65.16666667,13.25,6.861111111,49.88611111,22.33333333,23.5,108.5,0.5,25.16666667,37,259.5,0.666666667,15.83333333,53.83333333,62.66666667,20.66666667,4.583333333,49.38333333,L
2022,5,Sun,1:00PM ET,60,13,20.875,27.25,149.875,0.5,22,35.25,254.875,0.75,13,34.75,64.5,18.02083333,7.1875,47.3,22.375,29,147,0.75,21.75,33.375,260.25,0.75,14.25,41.25,64.375,20.44791667,9.8125,40.08630952,L
2022,7,Sun,1:00PM ET,70,0,20.03333333,27.56666667,136.0333333,0.366666667,22.11666667,36.28333333,240.4333333,0.816666667,18.48333333,51,66.55,13.16666667,7.763888889,47.14972222,21.03333333,28.96666667,143.2166667,0.283333333,19.86666667,32.41666667,230.9666667,0.533333333,9.466666667,48.33333333,62.83333333,11.97083333,10.4,43.62222222,L
2022,8,Sun,1:00PM ET,70,0,20.27380952,26.02380952,124.4761905,0.630952381,23.29761905,35.53571429,266.9166667,0.785714286,14.5952381,49.63095238,63.55952381,23.13888889,8.291666667,44.09900794,22.26190476,26.3452381,124.1309524,0.392857143,22.63095238,34.53571429,277.6547619,0.666666667,12.20238095,48.28571429,62.70238095,12.60714286,7.601190476,43.0452381,L
2022,9,Sun,1:00PM ET,70,0,19.625,27.50892857,138.9107143,0.544642857,20.17857143,30.91964286,230.1785714,0.678571429,13.66071429,51.64285714,60.41964286,21.63616071,8.066964286,47.75446429,22.4375,27.50892857,138.6785714,0.660714286,23.17857143,34.1875,255.4196429,0.392857143,13.51785714,44.83928571,63.54464286,12.90104167,10.35238095,43.42574405,W
2022,10,Sun,1:00PM ET,34,13,20.43055556,28.54166667,140.6736111,0.534722222,20.04166667,31.13888889,233.1041667,0.9375,11.20833333,49.59027778,61.21527778,19.40138889,7.806712963,48.43877315,21.125,32.80555556,172.0972222,0.583333333,17.60416667,27.56944444,212.9722222,0.645833333,15.88888889,48.98611111,62.95833333,17.78935185,8.417824074,43.40023148,W
2022,11,Sun,1:00PM ET,35,21,21.11111111,25.83333333,131.5,0.833333333,20.44444444,33.5,242,0.5,12.77777778,50.88888889,61.27777778,21.13888889,8.203703704,48.31851852,21.94444444,32.27777778,162.8333333,0.5,19.55555556,29.66666667,222.3333333,0.5,14.16666667,52.38888889,64.33333333,15.62037037,8.231481481,43.78055556,W
2022,12,Thu,12:30PM ET,70,0,21.05,26.4,119.7,0.5,21.9,34,242.2,1,14.9,49.7,62.55,20.64166667,3.325,48.18916667,23.7,27.6,143.85,0.65,23.1,35.65,283.7,0.9,10.9,50.15,65.1,15.29642857,11.69583333,41.00916667,L
2022,13,Sun,1:00PM ET,nan,nan,21.22727273,27.63636364,122.1363636,0.636363636,21.59090909,34.13636364,251.0909091,0.727272727,10.31818182,44.04545455,63.31818182,19.40151515,6.386363636,47.4280303,22.90909091,28.22727273,142.5,0.545454545,22.81818182,34.81818182,256.5454545,0.681818182,12.04545455,47.90909091,64.90909091,16.12878788,8.564393939,46.47878788,W
