year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Sun,4:25PM ET,79,7,19.5,23.5,76.5,1,23,32.5,217.5,0,18,58.5,58.5,12.83333333,0,47.96428571,26.5,29,140,1.5,30.5,46,346,0.5,11,97.5,77,8.5,4.9,40.375,L
2022,3,Sun,1:00PM ET,65,15,19.5,30.25,134,0.75,18.5,32,203.75,0.25,18.25,64.5,65,16.75,6.291666667,50.06964286,19.75,33.25,151.25,0.25,15.25,27.25,190.5,1,17,65.75,63,16,5.3875,45.80416667,L
2022,4,Sun,1:00PM ET,70,0,18.33333333,22.83333333,92.83333333,0.166666667,22.66666667,36.33333333,242.3333333,0.833333333,16.16666667,39,61.5,3.666666667,8.166666667,51.98809524,20.83333333,29.33333333,130.6666667,0.333333333,23,37.5,264.5,1,12.16666667,53.5,69,15.22222222,6.091666667,44.38333333,L
2022,5,Sun,1:00PM ET,87,11,18,23.375,94.375,0.375,21.5,35.375,239.625,1.375,17.875,49.125,61.25,16.35416667,8.416666667,47.78065476,21.875,30.75,141.125,0.625,21.125,33.875,245.375,0.75,12.125,54.875,66.75,9.333333333,6.19375,48.02916667,W
2022,7,Sun,4:05PM ET,70,0,18.9,24.4,101.2,0.2,22.6,34.4,239.7,0.6,15.7,59.9,60.8,15.3,10.9,49.94619048,21.9,27.7,143.1,0.3,22,36.9,258.6,1,14.3,57.7,66.9,13.55,6.488333333,49.27166667,L
2022,8,Sun,4:05PM ET,70,0,18.75,22.5,98.75,0.416666667,23.91666667,36,260,0.916666667,16.58333333,46,60.91666667,13.69444444,9.718055556,46.7468254,19.91666667,30.33333333,136.6666667,0.5,18.58333333,30.08333333,220.5833333,0.75,14.25,60,62.58333333,17.04166667,6.754166667,50.92083333,L
2022,9,Thu,8:15PM ET,70,0,18.21428571,22.28571429,103.5714286,0.428571429,21.85714286,36.14285714,210.7142857,1.142857143,20.71428571,45.21428571,61.21428571,18.3452381,7.071428571,50.34251701,22.78571429,34.21428571,167.7857143,0.214285714,19.71428571,31.07142857,244.3571429,0.642857143,12.64285714,50.14285714,67.64285714,12.26785714,7.194047619,46.28214286,L
2022,10,Sun,1:00PM ET,50,15,18.8125,24.3125,119.5625,0.625,19.6875,32.6875,213.125,0.5625,14.625,48.375,59.1875,16.42708333,9.125,49.31532738,21.375,33,171.0625,0.5625,18.625,29.4375,203.25,0.625,14.9375,54.1875,65.1875,15.36979167,5.846875,48.03020833,L
2022,11,Sun,1:00PM ET,70,0,17.56666667,24.15,106.5388889,0.461111111,19.72222222,32.19444444,224.5722222,0.7,18.5,45.22777778,58.82222222,12.70833333,5.687037037,49.35343915,21,31.73333333,147.0888889,0.372222222,20.22777778,32.37222222,229.7277778,0.888888889,17.43333333,53.82777778,66.92777778,19.31666667,7.297222222,46.91111111,L
2022,12,Sun,1:00PM ET,84,13,18.5,23.95,105.3,0.3,22,33.9,234.15,0.75,18.15,43.7,60.25,20.375,6.758333333,45.9622619,21.7,29.35,138.3,0.35,21.1,32.35,264.45,0.7,12.2,49.85,63.7,16.4125,5.535833333,43.4125,L
2022,13,Sun,1:00PM ET,nan,nan,18.18181818,24.36363636,110,0.363636364,20.54545455,32.40909091,222.6363636,0.727272727,19.31818182,45.31818182,59.40909091,14.59090909,11.34242424,45.81518759,22.40909091,33.09090909,161.5,0.590909091,20.04545455,31.90909091,233.7727273,0.636363636,14.31818182,49.27272727,67.31818182,19.56590909,6.099242424,46.875,L
