year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Thu,8:15PM ET,82,13,25.5,20,96,0.5,26,38,327.5,1.5,19.5,18,61,11.25,5.4,53.5,18,26.5,89.5,0,25,36,242,0,13,35,64,24.5,-0.5,50,W
2022,3,Sun,1:00PM ET,70,0,22.25,27.5,98.5,0.5,25.5,35.25,267.5,0,6.75,34.5,63.75,5.625,3.825,50.13214286,20.25,24.25,102.25,0.25,26.25,41.5,271.5,1.25,19.25,48.25,68.75,18.70833333,5.158333333,45.4125,L
2022,4,Sun,8:20PM ET,75,2,18.66666667,21.83333333,86.16666667,0.833333333,24.5,37.83333333,257.6666667,1,12.33333333,53.66666667,61.83333333,15.50833333,4.216666667,51.49920635,18,25,86.33333333,0.666666667,25.16666667,37.66666667,239,0.333333333,19.66666667,45.66666667,65.33333333,19.66666667,7.333333333,46.86111111,W
2022,5,Mon,8:15PM ET,77,4,21.5,26.375,110.125,0.375,23.75,35.25,270.375,0.5,9.625,54,62.875,16.95416667,10.4125,51.50416667,21.5,21.25,89.375,0.5,27.25,41.25,273.5,0.625,20,37,65.125,19.625,4.354166667,49.11458333,W
2022,6,Sun,4:25PM ET,64,12,21.5,24,96,0.5,23.4,35.6,241.8,1,16.9,48.9,62,17.48833333,3.68,49.30166667,22.3,21.8,100,0.8,27.7,41.1,304.6,0.5,14.8,44.2,65,18.35,6.841666667,41.61666667,L
2022,7,Sun,4:25PM ET,66,12,20.33333333,25.41666667,97,0.333333333,22.75,34.58333333,241.3333333,0.75,19.25,43.66666667,62.83333333,19.40595238,6.483333333,50.85972222,20,25.16666667,107.25,0.75,23.16666667,35.33333333,255.25,0.416666667,14.16666667,46,62.41666667,19.55555556,8.888888889,46.34424603,W
2022,9,Sun,8:20PM ET,54,7,21.57142857,22.64285714,98.21428571,0.5,24.85714286,37.21428571,291.5,0.857142857,16.14285714,50.14285714,62.07142857,15.68809524,8.422619048,46.61547619,19.28571429,26.78571429,115,0.714285714,21.42857143,32.21428571,231.6428571,0.5,19.35714286,53.07142857,61.57142857,21.33928571,5,50.01071429,W
2022,10,Sun,1:00PM ET,33,7,22.55555556,24.73611111,104.3055556,0.354166667,24.79861111,38.59722222,287.8680556,0.819444444,12.82638889,51.65972222,65.22222222,17.91111111,6.7875,47.39259259,21.46527778,25.88888889,124.3888889,0.645833333,23.6875,36.35416667,250.5902778,0.520833333,15.50694444,48.8125,64.28472222,19.51967593,4.493055556,48.7619213,W
2022,11,Sun,8:20PM ET,70,0,22.5,25.44444444,128,0.555555556,24,36.38888889,276.1666667,0.777777778,14.55555556,51.77777778,63.83333333,15.42407407,4.283333333,49.60978836,19.94444444,22.61111111,91.94444444,0.5,27,40.83333333,270.7777778,0.5,13.88888889,46.11111111,65.66666667,21.56481481,6.064814815,44.6212963,W
2022,12,Sun,4:25PM ET,44,6,21,24.15,104.95,0.45,24.5,36.55,279.65,0.6,13.95,42.45,62.65,15.09,8.375833333,45.28738095,18.85,22.55,88.35,0.6,24.6,36.45,253.8,0.65,23.55,43,62.35,22.42916667,5.116666667,45.28,W
2022,13,Sun,4:25PM ET,nan,nan,21.59090909,25.40909091,113.5,0.545454545,23.13636364,36.95454545,276.1818182,0.727272727,10.54545455,47.95454545,63.90909091,14.85454545,8.868181818,47.69848485,20.90909091,24.18181818,99.13636364,0.454545455,25.09090909,37,273.4090909,0.636363636,21.27272727,40.5,64.36363636,18.52121212,8.243939394,45.60227273,L
