year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Sun,1:00PM ET,77,6,21,20,74,0.5,30,46,289.5,0.5,20,50.5,69,19,7.5,43.95833333,15,21.5,70.5,1,19,30,213,1,11,22,53.5,14,7.25,43.91666667,W
2022,3,Sun,1:00PM ET,90,7,19,21.5,70.75,0.5,25,37,275.5,1.75,25.25,47,61.75,17.1875,2,46.8125,21.5,24,113.75,1,23.5,32.5,286.25,0.75,7.25,26,57.75,32.75,10.3125,32.04166667,W
2022,4,Thu,8:15PM ET,63,12,18.5,21.16666667,75,0.5,23.33333333,37.33333333,273.1666667,0.666666667,15.16666667,41.66666667,60.5,11.83333333,9.166666667,45.15277778,23.66666667,26.16666667,106.5,0.833333333,27.33333333,41.16666667,290.5,0.833333333,20.83333333,27.33333333,70.83333333,24.66666667,9.894444444,43.00555556,L
2022,5,Sun,1:00PM ET,57,15,20.25,24.625,89,0.125,21.625,32.375,268.625,1.25,13.875,35.5,58.875,13.9375,5.729166667,45.96041667,21.125,23.25,95.625,0.875,27,43.375,301.625,0.75,13.5,50.375,68.75,28.875,10.70833333,41.95833333,L
2022,6,Sun,1:00PM ET,85,13,20.1,24.4,101.6,0.5,22.5,33.4,270.8,0.8,13.6,50.5,59.8,15.15,4.216666667,46.26833333,22.9,25.3,105.9,0.4,25.2,37.5,281.4,0.6,13.4,41.6,64.5,28.98333333,7.566666667,40.14333333,L
2022,7,Sun,8:20PM ET,78,7,21.16666667,25.16666667,100.6666667,0.333333333,23.66666667,37.75,295.9166667,1.25,14.5,47.58333333,65.16666667,16.40277778,3.002777778,46.49583333,18.83333333,24.41666667,95.66666667,0.5,22.66666667,34.66666667,244.75,0.583333333,14,44.08333333,61.16666667,20.26388889,7.472222222,42.31527778,W
2022,8,Sun,1:00PM ET,70,0,22.26190476,26.3452381,124.1309524,0.392857143,22.63095238,34.53571429,277.6547619,0.666666667,12.20238095,48.28571429,62.70238095,12.60714286,7.601190476,43.0452381,20.27380952,26.02380952,124.4761905,0.630952381,23.29761905,35.53571429,266.9166667,0.785714286,14.5952381,49.63095238,63.55952381,23.13888889,8.291666667,44.09900794,W
2022,9,Sun,1:00PM ET,58,17,20.375,26.8125,122.0625,0.4375,21.0625,32,252.875,1,12.625,49.8125,60.6875,17.44375,6.40625,46.07916667,18.6875,29.8125,144.5,0.5625,18.25,27.875,213,0.625,18.5,42.125,60.5625,23.69791667,6.395833333,45.54583333,W
2022,10,Sun,1:00PM ET,85,7,19.88888889,24.53472222,105.0069444,0.479166667,21.26388889,33.01388889,265.2916667,0.576388889,14.38888889,47.78472222,59.68055556,15.21875,9.912037037,45.46111111,21.47916667,29.51388889,141.0347222,0.541666667,22.13194444,33.44444444,245.6527778,0.597222222,12.14583333,49.86805556,64.90277778,23.89212963,6.508333333,45.16168981,W
2022,12,Sun,1:00PM ET,84,13,21.7,29.35,138.3,0.35,21.1,32.35,264.45,0.7,12.2,49.85,63.7,16.4125,5.535833333,43.4125,18.5,23.95,105.3,0.3,22,33.9,234.15,0.75,18.15,43.7,60.25,20.375,6.758333333,45.9622619,W
2022,13,Sun,4:05PM ET,nan,nan,19.22727273,23.81818182,87.13636364,0.409090909,22.77272727,34.59090909,264.1363636,0.727272727,17.04545455,45.68181818,60.95454545,16.9047619,4.818181818,43.90606061,19.95454545,26.36363636,116.9545455,0.545454545,22.18181818,33.31818182,246.7727273,0.545454545,12.77272727,47,61.68181818,20.18939394,8.872727273,42.75670996,L
