year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Mon,8:30PM ET,79,4,21,28,153.5,0,22,34.5,246,0.5,9,42.5,63.5,12.5,6,46.325,24,28.5,163.5,0.5,22,35.5,251.5,0.5,18.5,35.5,66.5,13.33333333,9.25,45.20833333,L
2022,3,Sun,1:00PM ET,70,0,21.75,24.75,123,0,24.5,39,269.5,1,15,30.75,66,20,6.75,47.15,21.5,26,161.5,0.25,23.25,35.25,266,0.75,18.75,35,64,15.75,7.416666667,47.7875,W
2022,4,Sun,9:30AM ET,64,8,20,27.16666667,121.5,0.666666667,20.66666667,35.16666667,222.1666667,0.5,10.16666667,42.66666667,63.66666667,18.33333333,8.222222222,46.26666667,20.66666667,24.66666667,124.6666667,0.833333333,25,37.66666667,288,1.333333333,19.5,57.66666667,65.33333333,15.27777778,7.111111111,46.61111111,W
2022,5,Sun,1:00PM ET,70,0,21.625,29,140.625,0.5,20.125,32.375,221.125,1,13.875,37.375,63.125,19.625,10.33333333,49.23125,18.375,31.25,154.125,0.75,16.375,25.75,197.125,0.875,16.625,50.25,60.125,18.41666667,5.020833333,47.07916667,W
2022,6,Sun,1:00PM ET,85,13,22.9,25.3,105.9,0.4,25.2,37.5,281.4,0.6,13.4,41.6,64.5,28.98333333,7.566666667,40.14333333,20.1,24.4,101.6,0.5,22.5,33.4,270.8,0.8,13.6,50.5,59.8,15.15,4.216666667,46.26833333,W
2022,8,Sun,1:00PM ET,70,0,21.5,23.27380952,99.48809524,0.44047619,25.10714286,37.38095238,264.0952381,0.773809524,13.80952381,38.77380952,62.35714286,16.5297619,8.092857143,45.49285714,20.98809524,26.80952381,117.1785714,0.488095238,25.11904762,37.60714286,264.2619048,0.702380952,17.61904762,56.95238095,66.97619048,18.82738095,4.890873016,47.49206349,W
2022,9,Sun,1:00PM ET,71,11,20.15178571,25.04464286,114.4732143,0.392857143,22.01785714,34.5,242.6785714,0.482142857,17.10714286,42.60714286,61.85714286,12.56696429,5.629464286,45.51994048,20.52678571,25.91964286,105.9732143,0.553571429,24.04464286,36.42857143,270.0625,1,18.96428571,60.88392857,65.47321429,20.01934524,5.957738095,47.95982143,W
2022,10,Sun,1:00PM ET,38,11,20.625,23.9375,103.4375,0.375,23.125,35.5,234.1875,1.0625,17.75,45,61.875,16.65625,3.90625,45.853125,22.0625,25.3125,117.75,0.75,23.8125,36.5,288.625,1,14.125,47.25,64.3125,16.59375,8.080208333,44.36458333,W
2022,11,Sun,4:25PM ET,70,0,20.55555556,26.88888889,125.0555556,0.555555556,23,35.44444444,236.0555556,0.833333333,20.83333333,44.94444444,65.38888889,12.32037037,7.87037037,45.25555556,20.33333333,27.38888889,126.4444444,0.555555556,21.55555556,33.61111111,245.1666667,0.944444444,14.44444444,57,63.22222222,16.54695767,9.261111111,49.58333333,L
2022,12,Thu,8:20PM ET,70,0,18.95,24.3,109.05,0.45,21.35,35.5,233.2,0.95,21.6,38.85,62.95,19.135,6.4,44.68178571,19.55,28.1,118.5,0.75,22.35,32.25,252.4,1,17.65,51.85,63.05,19.58059524,9.15,45.86369048,W
2022,13,Sun,1:00PM ET,nan,nan,19.95454545,25.40909091,105.3181818,0.272727273,23.04545455,35.90909091,238.5454545,0.954545455,19.31818182,42.5,64.13636364,14.37878788,7.978787879,45.80551948,19.54545455,25.90909091,114.6363636,0.590909091,22.31818182,34.81818182,260.9090909,0.818181818,17.27272727,56.18181818,63.22727273,19.66341991,6.433333333,48.08560606,W
