year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Sun,1:00PM ET,75,8,15.5,22.5,70,0,22,35.5,232,0,15,39.5,60,7.5,10,47.125,24.5,28,105.5,1.5,27,41.5,275.5,2.5,29.5,21,74,14,6.1,46,L
2022,3,Thu,8:15PM ET,61,24,16,20.75,78.25,0.5,21.25,35.75,230.25,0.5,15.25,58,59,10.875,11.5,49.3125,25.5,35.25,164.5,0.25,23.5,37.25,241.5,1.5,14,47.75,74.75,22.70833333,6.375,48.22916667,L
2022,4,Sun,1:00PM ET,57,7,18.5,25.33333333,97.66666667,0.5,20.66666667,32.66666667,214.3333333,0.5,7.5,33.5,59.66666667,8.75,7.75,48.37222222,22.5,26.66666667,113.3333333,0.833333333,27.83333333,45.83333333,288,1.333333333,19,49.83333333,75.5,18.47222222,9.95,45.475,L
2022,5,Sun,1:00PM ET,59,13,17.125,24,90.5,0.5,19.125,30.375,183.25,1.5,17.125,45.75,57,12.59375,3.166666667,47.08333333,23.75,28.625,123.5,0.625,25.875,40.75,286.375,1.25,12.125,42.125,71.625,11.97916667,8.327083333,38.30416667,L
2022,6,Sun,1:00PM ET,58,12,18.2,24.5,102.1,0.6,22.3,36,218.5,1.2,18.2,49.8,63.5,14.05833333,7.283333333,45.68119048,21.5,25.6,97.6,0.7,25.7,39.9,290.5,0.9,10.9,44.9,67.2,15.13333333,6.52,46.60166667,W
2022,7,Sun,8:20PM ET,78,7,18.83333333,24.41666667,95.66666667,0.5,22.66666667,34.66666667,244.75,0.583333333,14,44.08333333,61.16666667,20.26388889,7.472222222,42.31527778,21.16666667,25.16666667,100.6666667,0.333333333,23.66666667,37.75,295.9166667,1.25,14.5,47.58333333,65.16666667,16.40277778,3.002777778,46.49583333,L
2022,8,Sun,1:00PM ET,60,2,19,22.85714286,98.8452381,0.547619048,22.61904762,37.29761905,216.3333333,1.392857143,16.97619048,43.20238095,62.64285714,16.81349206,5.601190476,47.8640873,22.64285714,33.25,137.4285714,0.142857143,21.82142857,34.4047619,269.0238095,0.738095238,12.05952381,38.70238095,69.76190476,11.71626984,5.254365079,46.16190476,L
2022,10,Sun,1:00PM ET,37,15,18.46527778,25.26388889,107.8819444,0.527777778,21.72222222,34.15972222,217.9722222,0.736111111,16.07638889,47.70833333,61.95833333,16.17939815,6.462962963,44.35891204,20.67361111,27.21527778,124.3819444,0.513888889,22.70833333,36.00694444,274.4722222,1.055555556,12.51388889,49.84722222,65.21527778,16.97106481,5.35625,46.77210648,W
2022,11,Sun,4:25PM ET,27,12,18.88888889,26.5,113.6111111,0.5,21.11111111,34.27777778,216.5555556,1,14.22222222,44.88888889,63.05555556,14.49074074,9.074074074,44.93981481,21.16666667,25.55555556,103.3888889,0.333333333,24.22222222,36.77777778,281.2222222,0.888888889,17.77777778,37.66666667,65.05555556,14.14351852,8.401851852,45.29722222,L
2022,12,Mon,8:15PM ET,70,0,18.96363636,27.62272727,110.6272727,0.518181818,21.93181818,33.30454545,216.3545455,0.681818182,17.06363636,44.67272727,63.65,16.6969697,5.789393939,46.53232684,19.32272727,25.23636364,101.0636364,0.509090909,23.83181818,36.79090909,266.7136364,1.054545455,19.34545455,45.21818182,64.79545455,15.19265152,6.426666667,45.96972944,W
2022,13,Sun,1:00PM ET,nan,nan,20.68560606,27.81818182,120.5681818,0.390151515,23.59090909,35.57954545,242.0568182,0.871212121,14.49242424,48.88636364,65.56060606,16.7209596,7.348484848,43.59109848,19.66666667,29.29545455,132,0.46969697,18.26136364,29.59090909,223.5,0.924242424,13.96969697,37.10606061,61.01136364,18.11022727,8.324116162,47.79835859,W
