year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Sun,4:25PM ET,70,0,25.5,20,96,0.5,26,38,327.5,1.5,19.5,18,61,11.25,5.4,53.5,18,26.5,89.5,0,25,36,242,0,13,35,64,24.5,-0.5,50,L
2022,3,Sun,1:00PM ET,78,14,20,22.5,120.75,0.5,22.5,34.25,263,1,20.75,43.25,60,5.125,6.1625,51.625,19.25,28,98,0.75,22.25,35,236.25,0.75,5.75,69.5,64,17.875,6.5,51.70833333,L
2022,4,Sun,4:25PM ET,70,0,18.16666667,18.16666667,80.66666667,0.666666667,22.33333333,36,239.5,0.833333333,21.16666667,55.66666667,57,13.69444444,5,51.7468254,19.83333333,28.33333333,113.5,0.333333333,23.16666667,36,260.5,0.5,11.83333333,77,66.16666667,18.66666667,9.708333333,46.84444444,W
2022,5,Mon,8:15PM ET,77,4,21.5,21.25,89.375,0.5,27.25,41.25,273.5,0.625,20,37,65.125,19.625,4.354166667,49.11458333,21.5,26.375,110.125,0.375,23.75,35.25,270.375,0.5,9.625,54,62.875,16.95416667,10.4125,51.50416667,L
2022,7,Sun,4:05PM ET,70,0,21.9,27.7,143.1,0.3,22,36.9,258.6,1,14.3,57.7,66.9,13.55,6.488333333,49.27166667,18.9,24.4,101.2,0.2,22.6,34.4,239.7,0.6,15.7,59.9,60.8,15.3,10.9,49.94619048,W
2022,8,Sun,1:00PM ET,70,0,20.19047619,25.26190476,125.8214286,0.44047619,21.25,33.52380952,243.6428571,0.404761905,15.66666667,50.39285714,60.94047619,16.32440476,5.825396825,47.47043651,21.08333333,26.38095238,123,0.583333333,24,36.32142857,272.5833333,0.892857143,13.10714286,62.95238095,64.52380952,18.16071429,8.625,49.65357143,L
2022,9,Sun,1:00PM ET,81,14,20.52678571,24.63392857,112.3482143,0.196428571,22.47321429,35.61607143,245.7142857,0.857142857,14.50892857,49.4375,62.33928571,16.65178571,4.71875,47.65133929,21.95535714,27.01785714,126.3482143,0.383928571,23.16964286,35.23214286,249.4285714,0.589285714,10.91964286,51.78571429,63.64285714,14.30059524,7.444196429,50.29732143,L
2022,10,Sun,4:05PM ET,70,0,19.38194444,25.76388889,112.3472222,0.402777778,21.29861111,32.71527778,226.1944444,0.534722222,15.96527778,43.52083333,60.94444444,15.94201389,4.256944444,49.49393188,20.13194444,25.53472222,101.3333333,0.513888889,25.43055556,36.95138889,260.7569444,0.743055556,18.90972222,47.6875,64.99305556,14.42708333,9.403240741,46.77698413,L
2022,11,Sun,4:05PM ET,49,11,18.88888889,23.38888889,111.2777778,0.333333333,22.22222222,35.83333333,220.7222222,0.611111111,19.22222222,58.72222222,61.77777778,16.14351852,5.453703704,50.83055556,19.16666667,27.05555556,114.8333333,0.388888889,22.11111111,34.72222222,252.4444444,0.5,15.66666667,60.77777778,64,15.27777778,8.328703704,47.3005291,W
2022,12,Sun,4:05PM ET,44,8,20.5,26.35,123.85,0.6,22.35,34.85,249.05,0.6,16.75,56.15,63.65,16.075,4.588333333,50.23916667,20.8,26.3,123.6,0.55,23.65,32.85,253,0.4,15.3,54.85,61,17.25833333,6.508333333,47.03916667,W
2022,13,Sun,4:25PM ET,nan,nan,20.27272727,25.81818182,137.0909091,0.409090909,21.63636364,33.95454545,243.6818182,0.681818182,14.63636364,53.77272727,61.81818182,15.50378788,3.893939394,50.04134199,20.68181818,25.09090909,101.7272727,0.409090909,26.45454545,38.27272727,269,0.5,11.40909091,42.77272727,65.09090909,17.62878788,8.371212121,46.30909091,W
