year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Thu,8:15PM ET,82,13,18,26.5,89.5,0,25,36,242,0,13,35,64,24.5,-0.5,50,25.5,20,96,0.5,26,38,327.5,1.5,19.5,18,61,11.25,5.4,53.5,L
2022,3,Sun,4:05PM ET,70,0,18.5,24,72.5,0.25,25.5,38.25,280.25,1.5,11.75,34.75,64.25,19.45833333,6.458333333,45.975,19.5,21.5,94,0,23.75,36,260,1,15.75,43.5,59.75,0,2.625,51.025,L
2022,4,Sun,1:00PM ET,70,0,20.83333333,29.33333333,130.6666667,0.333333333,23,37.5,264.5,1,12.16666667,53.5,69,15.22222222,6.091666667,44.38333333,18.33333333,22.83333333,92.83333333,0.166666667,22.66666667,36.33333333,242.3333333,0.833333333,16.16666667,39,61.5,3.666666667,8.166666667,51.98809524,W
2022,5,Sun,1:00PM ET,58,16,18.875,23.75,88.875,0.5,22.625,36.125,269.375,0.5,9.375,44.25,61.375,16.8125,8.8125,46.26875,21.25,28.75,148.5,0.125,22.75,34.125,233.5,0.875,14.875,40.75,64.875,14.625,4.5375,50.48125,W
2022,6,Mon,8:15PM ET,70,0,19.4,24.8,105.8,0.5,24,37,250,0.5,16.1,47.8,64,17.71666667,6.316666667,47.035,18.5,24.4,121.5,0.3,22.2,35,252.2,0.9,17.8,54.2,62.1,11.33333333,6.675,49.64,W
2022,7,Sun,4:25PM ET,70,0,22,29.08333333,130.3333333,0.666666667,24.5,37.08333333,273.6666667,0.583333333,11.16666667,48.58333333,67.91666667,16.30555556,7.138888889,45.8125,19.25,22.91666667,124.6666667,0.5,22.83333333,33.08333333,246.5,0.75,18.25,66.08333333,58.41666667,13.27777778,2.5,47.40634921,L
2022,9,Sun,1:00PM ET,70,0,22.19642857,24.36607143,98.86607143,0.464285714,28.25,42,302.5625,0.723214286,9.410714286,50.57142857,67.83035714,16.80803571,9.574404762,43.66532738,19.66964286,28.82142857,147.8482143,0.392857143,18.14285714,27.91071429,208.5,0.875,17.1875,48.86607143,59.13392857,12.73363095,9.883928571,51.5355017,W
2022,10,Sun,8:20PM ET,57,6,19,24.5,87.875,0.4375,25.125,37.8125,251.5,0.6875,14.3125,47.125,64.5625,20.47321429,5.885416667,45.428125,19.6875,26,132.5,0.625,20.5,31.8125,236.25,0.8125,14.3125,49.9375,60.0625,14.125,6.84375,47.1733631,L
2022,11,Sun,8:20PM ET,70,0,19.94444444,22.61111111,91.94444444,0.5,27,40.83333333,270.7777778,0.5,13.88888889,46.11111111,65.66666667,21.56481481,6.064814815,44.6212963,22.5,25.44444444,128,0.555555556,24,36.38888889,276.1666667,0.777777778,14.55555556,51.77777778,63.83333333,15.42407407,4.283333333,49.60978836,L
2022,12,Sun,4:05PM ET,70,0,20.86818182,24.44090909,101.4045455,0.568181818,26.03181818,38.67272727,265.9090909,0.668181818,11.32727273,43.6,64.87727273,15.52424242,7.162878788,46.89287879,20.32727273,26.50909091,128.6545455,0.436363636,23.89545455,36.22727273,240.7,0.713636364,18.9,55.94090909,65.15,15.08484848,4.046212121,48.25865801,W
2022,13,Sun,4:25PM ET,nan,nan,20.68181818,25.09090909,101.7272727,0.409090909,26.45454545,38.27272727,269,0.5,11.40909091,42.77272727,65.09090909,17.62878788,8.371212121,46.30909091,20.27272727,25.81818182,137.0909091,0.409090909,21.63636364,33.95454545,243.6818182,0.681818182,14.63636364,53.77272727,61.81818182,15.50378788,3.893939394,50.04134199,L
