year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,2,Sun,4:00PM ET,72,8,1.0447034266829014,0.8278516445066479,0.8306709265175718,0.4879356568364612,1.0175718849840254,1.0590036749693752,0.7898154891964069,0.3568627450980392,1.423662522698701,1.1431846316079044,0.9470588235294118,1.3668786643896307,0.17617664286497425,1.0750323594043094,1.6461993390154812,1.1780965710286915,1.3207667731629393,0.9758713136729223,1.3083067092651754,1.0032666394446714,1.3338492352512745,1.0705882352941176,0.5847185361083951,1.8858374214845721,1.0788235294117645,0.9612601989406757,0.5209795010435668,0.9429649306362047,L
1970,3,Sat,9:00PM ET,54,16,1.0921899460775788,1.0905353393981805,0.9386581469648562,0.9758713136729223,0.9085463258785941,0.9753981216823192,1.093590677348871,0.7137254901960784,0.559295991060204,1.105634771445601,1.0211764705882356,1.1436959014371233,0.6701004451828485,1.0429096178958188,1.2663071838580624,0.9711336599020294,0.8618210862619811,0.7319034852546917,1.1811102236421724,1.1611882400979991,1.3877002913328478,0.892156862745098,0.9152116217348794,1.197423318509009,1.0499999999999998,0.8649489651354441,0.377521377567802,0.9977967566598623,W
1970,4,Sun,1:00PM ET,51,8,1.0130457470864498,1.0082808490786097,0.8015974440894569,0.3252904378909741,0.9206602768903087,0.9599156118143459,1.0954317390952497,1.1895424836601307,0.7287796247148112,1.1153699203765683,0.9717647058823529,1.2650110132494823,1.182900316379113,1.0405212709435019,1.097466226010321,1.0029741077676697,1.182321618743344,0.8132260947274352,0.9812300319488816,0.9661086157615353,1.1331735048960103,1.1895424836601307,1.5338268845741958,1.4352390995369309,1.0019607843137255,1.335639251373319,1.203873726243991,0.9766941726817795,W
1970,5,Sun,1:00PM ET,46,14,0.8785006088015307,0.9432732680195942,0.7143769968051118,1.0978552278820377,0.8267771565495207,0.8453450387913433,0.9368702961883951,0.9813725490196079,0.3050705405782931,0.8699050937600293,0.875,1.1560126265295232,0.2595459470778638,1.0232463420912326,1.3058792833536268,1.1024755073477956,1.2563897763578276,0.6099195710455765,1.1084265175718848,0.9382400979991834,1.1412281500364165,0.6245098039215686,1.2139265260511245,1.1327541148961533,1.0355882352941177,1.1612912229976948,0.911714126826242,0.9446732004380816,L
1970,6,Sun,1:00PM ET,77,6,1.0700295703600626,0.9583974807557732,0.9353354632587859,1.1710455764075067,1.0248402555910543,1.051572070232748,1.165944403981549,1.427450980392157,0.559295991060204,1.0363761404795744,0.98,1.1272859489080012,0.74371711380857,0.9980773490613621,1.1523395373108367,1.022078376487054,1.0375079872204473,0.39034852546916887,1.0393769968051116,0.9438138015516537,1.1841709152706965,0.9992156862745099,1.5253527028914657,1.2232909999541512,0.9997647058823529,1.0538671545226288,0.7802108469734574,0.9517868720470903,W
1970,7,Sun,1:00PM ET,48,6,1.1818867049341915,1.1064555633310007,1.0452609158679447,1.219839142091153,1.1447683706070286,1.071389682863754,1.1359350975155782,0.8326797385620915,0.49150253759836104,1.2878211300108506,1.0650980392156861,1.1481322155950018,0.5987908516422636,1.0740631283110456,1.0658085464138691,0.8756123163051084,0.9649627263045794,0.4879356568364612,0.9933439829605963,0.9939771335238873,1.1626304928380677,1.3679738562091504,1.8050006984215674,1.232191707548179,0.963529411764706,1.0255294261145511,0.6952685370207021,0.9828996747564,L
1970,8,Sun,4:00PM ET,60,5,1.0899286832492605,1.0166200139958015,1.0602921040620723,0.9758713136729225,0.9604632587859425,0.958146182115149,1.1042425345957758,1.0705882352941176,0.8934208688364298,1.2027875842464812,0.9847058823529413,1.0190696184782426,0.524292443744672,1.058861430921129,1.1803791963819794,1.0052484254723582,1.1688726608854405,0.2788203753351206,1.1265974440894566,1.0298080849326254,1.219834911386259,1.019607843137255,0.8679983237882385,1.404245564164871,1.0082352941176471,1.0864118846271438,1.147485215721562,1.0026321813533623,L
1970,9,Sun,1:00PM ET,35,15,1.0961471560271352,1.0567048635409377,0.9750000000000001,1.0978552278820377,0.9766873003194888,0.9846876276031031,1.0901386865744114,1.0705882352941176,0.6323858080737533,0.8751203521159048,1.004705882352941,1.0667329065659787,0.9318486002965247,1.0870689980437773,1.0130457470864498,0.9452632960111966,1.0300319488817888,0.6709115281501341,1.0357428115015974,1.0102337688852592,1.0141948895362953,0.9367647058823529,1.1821483447408856,1.1369263215808538,0.9841176470588234,1.1965744730744188,0.7787951418075781,1.0575462189429667,L
1970,10,Sun,1:00PM ET,44,23,1.0306333468622562,1.0418902107145636,0.9506567270145545,0.5963658028001192,0.8802804401845935,0.9495939385690304,1.0647473766556068,1.110239651416122,0.6835839890735826,0.9558989093169095,0.9836601307189542,1.130745627172409,0.7646905236734478,1.0723201277283265,1.1045012659206432,0.9817471425239094,1.0567980120695775,0.8674411677092643,1.1467873624423146,1.0961616986525111,1.100648080709989,0.9516339869281044,1.0846952553894864,1.058813340872852,1.032156862745098,1.0709244737698191,0.7392427863707293,1.024258111660256,W
1970,11,Sun,1:00PM ET,45,10,1.0636980344407723,1.1096396081175646,1.0379233226837061,1.0246648793565685,0.9412539936102238,1.0014087382605144,1.0394634620053411,1.1419607843137254,0.7499650789216372,1.0163495483930127,1.0434117647058823,0.9823322502050947,0.7064683378885468,1.0773841986521135,1.0636980344407725,0.9583974807557731,1.0321086261980832,0.87828418230563,0.9594249201277955,1.0385667619436503,1.0052197135227,1.3203921568627452,1.1796060902360666,1.033038375131814,0.9972941176470589,1.0662764865706105,0.5680438327803528,1.0634204862914642,L
