year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,2,Sun,1:00PM ET,79.0,12.0,0.9825736576235238,0.6694919983137698,0.5706586056084384,0.966850828729282,1.2160268470739939,1.2755910117584943,1.1421712910807154,1.4056451612903227,1.2284928809012994,1.8427752939183868,1.0243167580553663,1.20574503561421,1.7325205335462626,0.9845863092457781,0.906895828558764,1.1167055843045046,1.1681373810136353,0.0,0.8053147706118382,0.951116320461457,0.7574980659520482,0.7056451612903226,0.3398726337434807,1.0370261600724535,1.0085652181500306,0.8401970117130915,0.9865345805318622,1.0176443080766375,W
2022,3,Sun,1:00PM ET,67.0,2.0,0.9575353085744147,0.7995210939169652,0.7448160535117057,1.4423943069901517,1.194606180531126,1.2843705139928963,1.1144496865514062,0.35,0.5251115039555498,1.2575420013679763,1.0563680060244753,0.7244047441336686,2.3483541461922197,0.968595265781725,1.1718807866689092,1.088080166869915,0.9755852842809366,0.483425414364641,1.1030811017062205,1.083805333480174,1.028018025665212,2.1056451612903224,1.2831564605087373,0.6712794748984268,1.1078602901784613,0.48853488145998,1.4287860210255319,1.0703804572892064,L
2022,4,Sun,1:00PM ET,57.0,7.0,1.134492097670475,0.9913264799734565,0.9420975902581253,1.6061634238129556,1.2801123082903811,1.3616629286506723,1.2099654511010765,1.8760752688172042,1.1701417433233154,1.0346114189544737,1.1996393276081994,1.073070461470993,1.3818609145974519,0.9717558130718743,0.9329096662647558,0.9420880999532657,0.8125460938169969,0.961596204660101,0.9512474748954308,0.9710008647582518,0.901564095395126,0.7037634408602151,0.4615782915202782,0.6968985751236612,0.9480758235648874,0.5091812223819261,1.06993124389375,1.0336102123602124,W
2022,5,Sun,1:00PM ET,57.0,15.0,1.0650738558679929,0.8647224452506099,0.7955364033959351,1.6801660461205863,1.2424932336357366,1.2888066790793289,1.2679961213729265,1.0514112903225805,0.8320560319444166,1.0459840207899598,1.0922200969303086,1.6803271264850022,1.4800146666250775,0.8967516522419547,1.0209190758815927,0.9156318438149647,0.7399504759454593,0.2377717391304348,0.9946938303396051,0.962150531228401,1.1279465033694422,1.758467741935484,0.8547418236002224,0.7391099487616817,0.935513065592178,0.8095669142843749,0.7886486447640905,0.9820746495400743,W
2022,6,Sun,1:00PM ET,49.0,7.0,0.9728509646009449,0.9372887976392777,0.9290686905068176,1.3441328368964691,1.0208324607291814,1.0302655885803702,0.9878012664761939,0.8411290322580645,1.065155180979497,1.2674763353956657,0.989629109753726,1.2777712989219967,1.1225087167235348,1.0076869238563047,1.0485513049424018,1.037783167609561,1.0373913043478262,1.1539154455921212,0.9934988670470859,0.9689567135654943,0.9700997155695877,1.4079032258064519,0.881381587106385,0.8980978894766769,0.9945772650396921,0.6862832790924698,1.0465602411377761,1.001166726953011,W
2022,7,Sun,4:05PM ET,63.0,29.0,0.9746590074105187,0.9176211202285418,0.9010162078723951,1.1201106974137243,1.0704189734688794,1.1372477037669775,0.9633475430629116,1.053763440860215,1.286150909198476,1.4385583107198767,1.043327374044785,1.1647386413817578,1.0390659607496002,1.021793280925905,0.8950332329378805,0.9857078777944002,0.896854900951891,1.1201106974137243,0.9285284944295775,0.9812216207220394,0.974518684204842,1.173252688172043,1.1348527340809507,1.353460334861067,0.9903939846532205,0.8063251958181061,0.9931621207853218,0.9728379902846152,W
2022,8,Sun,1:00PM ET,57.0,2.0,0.9399241247563752,0.9883016653104231,1.0554026241317211,1.367703579149652,0.9431967468464072,1.0382076907937998,0.9588330424804892,1.205645161290323,1.0332774142667138,1.1801534717841458,1.0202665990697017,1.1401509929599545,1.064723806930568,0.9817309304025409,0.954344309167924,1.0309685521689882,0.9485170348046603,1.23633797742013,0.9439049180771265,0.9456862920144302,0.9554916961330084,1.7064516129032263,0.8220353426323844,0.97950145633772,0.9761107780749125,0.9174648144311723,1.0897965997045997,0.9569573750416267,L
2022,9,Sun,1:00PM ET,69.0,17.0,0.9399402042397305,0.8718787996092572,0.8481315924877797,0.8910341100168149,0.9917191220655122,1.0565441856296074,0.9852881253197834,1.8088709677419355,1.1224813909440816,1.2963708627058503,0.9797761825184492,1.0266744867097533,0.5649337977061822,1.0198934835226836,1.0890732628151512,0.9826324675665015,0.960954096071153,1.185386890463608,1.075331533085397,1.0936950948454354,1.1232544052612667,1.3938508064516129,0.738816975706767,0.8941047304891605,1.037733714688563,0.7696531345629413,1.1248008535083176,0.893767004816574,W
2022,11,Sun,1:00PM ET,42.0,2.0,0.9074210916817009,0.9464611256123492,0.9847525941171427,1.1711973203085382,0.9202079868640896,1.0321929295297763,0.9714755798007382,1.4846774193548389,1.1995952778134646,1.0645782352716266,1.0027384470787712,1.1419801648821144,0.8850657540724115,0.984981987027679,0.9327720973516056,1.0457496738413783,0.9493625475230827,1.0690240745189101,0.9540209774172601,0.9569280650895194,0.9160452212623115,1.6402329749103945,0.9880850388978704,0.9617830852442888,1.0001721946393807,0.9199538669147023,1.3182016273286767,0.9528627595196224,L
2022,12,Sun,1:00PM ET,50.0,9.0,0.9445364326066905,1.0308356216819492,1.0519219075239141,1.0022001179219533,0.8675042001101952,0.913741369839294,0.8936885717231859,1.1373460410557186,0.8340266676496217,1.0578691590750169,0.9596913352664357,1.2415633985538168,0.9887285395278176,1.014807950879919,0.9345287177743152,1.18617033315204,1.2817578408213863,0.8126992662634027,0.783033101012818,0.8162052350778028,0.7803289959383302,1.2853005865102642,1.2911993833037667,1.0238789563074522,0.9963478219633062,1.0731488374334412,0.9595676644609863,0.9901836789315792,W
2022,13,Sun,1:00PM ET,nan,nan,0.9855968362638527,0.9637444907013558,0.9540741866828824,1.131177254165484,1.0280844202615373,1.035418440462947,1.0975457510146693,1.1505865102639294,1.0634728157251732,1.169078941161982,1.0046368654638922,1.1433729727894566,0.8903431762974201,1.0275287720289692,1.0058167158521558,0.945013101226263,0.8762927707743762,0.5230739414320967,1.0599499246455188,1.0672141621681763,1.0020110150411492,1.3425219941348976,1.1892278463314614,0.8845343363000238,1.0190218536240108,0.8349983222290702,1.1009326387148541,0.9787761377639645,
