year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:30PM ET,82,8,14,33,149,1,11,20,133,1,17,69,56,14.0,0.0,40.714285714285715,9,31,85,1,17,27,187,1,37,93,61,28.5,10.666666666666666,48.0,W
1970,2,Sun,2:00PM ET,47,13,19,28,112,2,28,44,302,3,30,58,76,26.5,23.0,33.333333333333336,15,33,86,1,10,21,285,2,27,42,57,16.0,0.0,40.4,L
1970,3,Sun,1:00PM ET,65,8,18,30,152,2,17,32,217,0,13,44,63,14.25,10.5,41.8,18,41,163,2,16,27,182,0,19,49,70,25.75,21.0,42.6,W
1970,4,Sun,2:00PM ET,61,10,9,32,84,3,10,18,57,0,13,44,52,18.75,3.25,39.375,13,54,218,1,4,11,49,2,10,89,66,27.0,7.333333333333333,43.4,L
1970,5,Sun,4:00PM ET,43,5,15,18,76,1,16,32,210,4,70,32,57,27.5,4.75,45.2,18,31,91,1,19,33,156,0,24,54,67,19.0,0.0,44.333333333333336,L
1970,6,Sun,1:00PM ET,62,10,20,41,127,1,16,22,147,1,0,46,63,16.0,44.0,37.666666666666664,12,22,96,2,15,28,177,1,1,89,51,18.8,1.0,42.25,W
1970,7,Sun,1:00PM ET,62,7,17,31,147,2,15,26,172,1,41,69,61,25.25,10.5,37.0,10,29,89,1,6,20,84,1,19,65,51,45.666666666666664,1.75,41.5,L
1970,8,Sun,4:00PM ET,62,11,7,31,85,0,5,11,129,1,20,53,45,16.0,2.5,36.75,20,28,145,1,24,38,246,2,27,54,71,22.0,1.0,36.5,T
1970,9,Sun,1:00PM ET,53,14,15,32,124,1,10,16,143,1,31,143,53,22.0,3.6666666666666665,41.666666666666664,15,26,78,0,17,28,170,0,18,97,56,16.25,3.3333333333333335,39.0,T
1970,10,Sun,1:00PM ET,50,7,14,23,87,2,17,30,234,3,49,44,59,18.0,5.75,38.8,10,42,123,1,8,16,111,1,12,48,60,29.0,8.75,35.666666666666664,L
1970,11,Mon,9:00PM ET,62,7,15,33,111,0,18,24,170,1,10,43,58,16.75,0.0,42.666666666666664,16,38,218,1,8,11,94,1,8,41,50,49.0,19.5,47.0,L
1970,12,Sun,4:00PM ET,55,7,13,39,153,1,8,18,100,0,48,127,64,23.5,5.0,39.625,20,29,95,2,20,30,268,1,9,96,60,11.0,10.75,36.5,L
1970,13,Sun,1:00PM ET,42,13,11,41,147,0,7,16,86,2,12,10,58,20.75,5.333333333333333,37.166666666666664,14,37,99,1,8,28,110,5,16,35,67,23.6,7.0,46.2,W
1970,14,Sun,1:00PM ET,59,5,12,19,46,1,19,33,162,3,77,25,61,18.571428571428573,22.5,32.166666666666664,21,38,136,1,19,30,278,2,16,45,70,66.0,6.0,38.25,L
1971,1,Sun,1:00PM ET,71,5,16,36,101,1,16,21,185,0,20,55,60,27.75,6.5,40.0,22,30,166,3,17,34,225,4,19,62,66,17.75,7.0,48.5,W
1971,2,Sun,4:00PM ET,64,10,20,39,150,0,15,22,301,1,14,45,63,27.0,6.333333333333333,29.5,20,37,192,3,16,30,145,0,20,5,69,28.0,2.0,48.0,T
1971,3,Sun,2:00PM ET,69,7,16,21,47,2,13,23,309,3,14,33,46,21.333333333333332,0.0,37.0,23,57,223,1,7,12,123,1,28,72,72,28.8,0.0,17.333333333333332,L
1971,4,Sun,1:00PM ET,61,14,15,26,94,2,13,27,138,4,19,48,55,24.571428571428573,4.25,35.75,16,42,151,0,12,27,121,0,9,81,70,26.333333333333332,9.0,37.5,L
1971,5,Sun,1:00PM ET,68,10,14,33,114,0,10,19,173,4,38,83,56,21.5,2.0,35.6,18,36,124,4,14,24,209,0,27,25,64,19.75,6.75,45.25,L
1971,6,Sun,1:00PM ET,66,7,25,53,284,0,9,16,94,1,14,102,70,22.0,7.25,38.0,15,15,58,0,14,41,163,2,19,62,59,22.0,0.0,45.5,W
1971,7,Sun,1:00PM ET,63,11,17,54,175,0,7,10,142,0,0,45,64,41.5,8.0,33.0,10,20,65,0,9,19,108,4,20,51,41,28.0,9.5,47.75,W
1971,8,Sun,1:00PM ET,26,10,15,45,155,1,7,15,150,0,38,35,64,24.0,2.0,36.833333333333336,10,30,94,0,10,24,88,2,15,35,55,18.5,1.3333333333333333,43.166666666666664,W
1971,9,Sun,1:00PM ET,59,8,13,28,80,0,11,20,167,2,28,45,52,22.333333333333332,3.5,39.2,19,39,172,2,14,26,152,1,0,63,65,20.333333333333332,3.0,49.75,L
1971,10,Mon,9:00PM ET,36,12,27,55,204,2,16,21,191,0,9,60,77,31.4,5.5,35.25,7,20,103,0,3,8,72,1,32,53,33,17.4,3.0,42.166666666666664,W
1971,11,Sun,2:00PM ET,26,8,4,22,68,0,11,23,76,3,21,60,49,22.6,12.0,35.666666666666664,19,47,257,1,10,23,59,2,12,0,71,25.5,1.0,36.333333333333336,L
1971,12,Sun,1:00PM ET,37,19,17,38,113,4,12,18,220,1,6,45,57,27.75,1.0,37.0,20,42,208,3,12,31,130,2,10,9,74,19.75,1.0,36.25,W
1971,13,Sun,4:00PM ET,47,13,8,22,61,2,9,23,80,2,11,18,47,21.0,0.6666666666666666,38.5,18,46,171,0,9,18,126,1,7,40,65,40.0,3.0,38.8,L
