year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:00PM ET,63,7,8,30,93,3,10,23,92,1,36,65,58,30.0,4.0,48.0,11,32,136,2,8,26,160,1,14,85,60,20.0,15.125,43.857142857142854,L
1970,2,Sun,1:00PM ET,56,11,12,19,52,1,17,31,172,3,47,90,55,13.0,0.0,35.42857142857143,21,39,169,2,15,29,202,1,7,64,70,25.0,4.0,44.0,L
1970,3,Sun,1:00PM ET,50,14,20,36,149,3,12,21,317,2,65,46,62,36.8,8.0,29.6,11,32,109,0,12,26,228,0,0,97,58,24.0,16.0,36.0,W
1970,4,Sun,1:00PM ET,59,7,16,24,85,2,17,37,257,3,57,82,66,12.6,4.166666666666667,42.5,12,40,171,0,7,22,50,0,12,62,63,24.333333333333332,7.333333333333333,45.625,L
1970,5,Sun,1:00PM ET,49,16,14,22,53,4,24,32,348,2,11,74,55,21.285714285714285,9.0,28.0,20,35,147,0,15,23,196,1,42,43,62,23.0,13.0,48.333333333333336,L
1970,6,Sun,1:00PM ET,59,11,15,25,89,0,10,24,163,2,59,97,55,10.333333333333334,8.375,40.833333333333336,10,35,86,1,7,16,63,1,30,68,54,19.0,4.0,45.25,W
1970,7,Sun,1:00PM ET,48,8,18,34,215,2,11,17,170,0,21,108,53,33.0,22.0,39.25,19,26,100,3,18,38,181,2,30,60,67,21.125,3.0,38.166666666666664,W
1970,8,Sun,1:00PM ET,39,7,17,23,103,4,15,31,290,2,16,41,56,23.0,2.0,39.4,17,41,156,0,12,24,164,0,0,30,65,55.0,0.0,46.25,L
1970,9,Sun,2:00PM ET,54,10,16,35,181,0,10,20,94,2,4,43,56,19.333333333333332,6.0,43.0,21,30,136,0,15,29,221,1,12,26,61,25.0,15.0,47.25,T
1970,10,Sun,2:00PM ET,43,22,14,29,134,3,14,22,152,2,33,52,55,16.25,1.75,37.2,12,33,91,1,8,20,196,1,46,82,60,14.0,2.0,47.714285714285715,L
1970,11,Sun,1:00PM ET,40,11,12,23,95,1,18,37,255,1,25,159,64,22.0,8.8,43.42857142857143,10,33,58,1,8,18,117,3,8,56,52,17.0,5.25,43.857142857142854,L
1970,12,Sun,1:00PM ET,37,22,13,24,73,1,15,31,174,1,67,70,62,13.5,-3.5,37.0,15,35,151,3,11,19,141,0,22,40,58,32.5,0.0,45.0,L
1970,13,Sun,1:00PM ET,28,11,18,27,97,1,23,43,252,2,16,103,72,24.2,7.6,32.875,15,29,49,1,13,31,236,0,10,5,61,23.333333333333332,2.0,44.57142857142857,L
1970,14,Sun,1:00PM ET,74,7,10,16,46,1,17,33,180,3,29,78,53,10.5,3.5,36.875,19,44,159,1,8,17,179,0,13,96,62,26.0,4.5,41.0,L
1971,1,Sun,1:00PM ET,55,9,18,22,66,1,18,30,353,3,18,95,55,23.75,7.666666666666667,33.666666666666664,19,40,160,1,10,14,221,0,10,129,56,25.714285714285715,42.0,40.166666666666664,L
1971,2,Sun,1:00PM ET,54,11,14,18,131,1,17,23,154,2,18,13,43,17.428571428571427,0.0,40.8,20,45,226,0,10,18,159,0,9,40,64,28.0,16.2,34.5,L
1971,3,Sun,2:00PM ET,53,13,7,18,56,1,12,20,67,2,59,8,45,19.25,0.0,41.6,23,52,193,1,12,21,150,2,17,47,75,18.0,3.5,30.75,L
1971,4,Sun,1:00PM ET,55,7,4,11,4,2,10,21,121,4,76,67,41,24.5,8.333333333333334,40.142857142857146,19,43,214,1,13,26,193,2,6,71,71,22.5,7.0,44.25,L
1971,5,Sun,1:00PM ET,63,13,14,23,83,0,11,33,198,2,10,43,57,34.0,0.0,47.75,20,52,191,0,7,12,140,0,0,35,65,20.0,7.0,34.0,L
1971,6,Sat,9:00PM ET,64,7,11,27,152,0,8,24,56,2,19,33,53,25.25,0.0,44.333333333333336,22,42,198,4,15,29,268,1,20,50,73,25.0,7.333333333333333,36.333333333333336,L
1971,7,Sun,1:00PM ET,61,14,19,23,62,1,18,34,269,2,22,75,61,20.0,17.0,44.6,24,41,142,0,15,27,171,0,8,78,69,20.0,9.75,37.4,L
1971,8,Sun,1:00PM ET,78,11,19,29,206,3,18,30,165,2,7,41,60,20.5,6.0,36.5,23,38,302,0,9,19,95,0,6,48,58,29.0,13.0,41.666666666666664,L
1971,9,Sun,1:00PM ET,33,9,15,24,89,1,15,36,174,0,46,10,64,25.571428571428573,16.333333333333332,35.333333333333336,9,27,119,2,9,16,218,1,38,71,47,18.428571428571427,24.0,39.714285714285715,L
1971,10,Sun,1:00PM ET,34,14,12,23,78,1,13,33,150,5,31,30,60,24.5,1.6666666666666667,39.0,10,42,153,0,6,14,81,1,3,73,57,26.0,0.0,40.714285714285715,L
1971,11,Sun,1:00PM ET,38,12,15,34,147,1,9,17,154,0,37,45,54,31.0,5.25,41.4,15,36,189,0,10,22,138,3,33,30,62,21.833333333333332,25.0,34.75,W
1971,12,Sun,2:00PM ET,33,9,8,21,76,2,16,34,120,4,14,70,57,13.8,7.6,42.0,16,43,180,1,11,21,134,1,4,75,65,0.0,9.0,44.333333333333336,L
1971,13,Sun,1:00PM ET,37,11,14,24,85,1,20,31,233,2,26,66,58,22.5,8.75,42.857142857142854,16,28,92,1,17,33,211,0,35,50,65,29.0,12.333333333333334,45.0,L
1971,14,Sun,2:00PM ET,44,12,15,23,102,1,17,35,196,2,38,95,62,19.2,6.5,41.75,14,33,137,0,13,31,154,0,36,86,68,28.0,3.0,36.2,L
1972,1,Sun,1:00PM ET,73,25,16,25,80,0,16,26,236,4,29,78,55,26.2,7.0,42.0,19,47,191,0,6,16,120,1,18,35,64,27.5,65.0,35.666666666666664,L
1972,2,Sun,1:00PM ET,60,12,17,43,177,0,8,21,105,1,49,98,69,20.6,1.5,46.5,10,20,33,1,11,30,189,3,20,101,52,24.0,16.75,43.0,W
1972,3,Sun,1:00PM ET,46,12,11,32,118,2,11,28,146,3,35,74,64,20.25,13.5,38.333333333333336,17,41,159,2,12,29,184,2,4,15,71,21.0,5.0,42.2,L
