year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1995,1,Sun,1:00PM ET,70,0,17,20,51,1,23,44,329,0,68,40,73,26.0,10.0,40.6,20,26,117,2,27,46,290,1,16,28,75,22.8,3.5,40.714285714285715,L
1995,2,Sun,1:00PM ET,53,10,6,32,101,0,6,23,44,1,32,50,58,22.5,4.0,42.8,16,43,172,0,4,21,176,3,0,62,64,8.0,6.5,41.0,L
1995,3,Sun,1:00PM ET,73,9,21,20,89,2,26,47,213,5,8,25,69,24.666666666666668,7.5,39.0,14,29,116,0,16,27,222,0,20,75,58,0.0,9.6,42.42857142857143,L
1995,5,Sun,1:00PM ET,70,8,20,33,159,3,18,32,234,1,0,50,65,20.666666666666668,11.25,42.333333333333336,16,26,58,0,13,33,259,0,7,56,60,15.666666666666666,27.0,50.4,L
1995,6,Sun,1:00PM ET,53,7,10,26,69,0,14,28,228,1,0,65,54,22.2,19.0,42.625,27,38,141,1,23,41,259,0,10,35,80,19.833333333333332,8.0,39.57142857142857,L
1995,7,Sun,4:00PM ET,60,10,15,36,133,1,14,26,158,2,26,50,66,25.5,9.0,44.25,7,12,25,0,17,41,143,3,30,60,56,12.6,14.0,40.0,W
1995,8,Sun,1:00PM ET,58,7,10,34,126,0,8,21,48,0,19,43,59,16.5,0.0,44.6,17,28,64,1,27,48,241,4,3,25,77,23.2,6.0,38.833333333333336,W
1995,9,Sun,1:00PM ET,54,18,23,40,143,1,25,46,309,1,18,69,88,25.333333333333332,13.0,37.0,23,31,98,2,22,44,228,0,0,43,75,17.25,5.75,32.375,W
1995,10,Sun,4:00PM ET,55,12,13,29,72,1,17,30,150,1,18,15,62,18.5,5.0,41.666666666666664,19,19,65,3,27,42,355,2,16,25,63,12.75,4.5,39.0,W
1995,11,Sun,1:00PM ET,70,0,17,21,77,2,17,36,274,4,28,35,60,22.0,8.0,42.0,18,34,124,2,19,32,216,1,25,80,69,23.666666666666668,8.0,40.75,L
