year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sat,8:00PM ET,71,13,18,37,98,2,16,30,182,1,24,50,69,45.75,5.5,42.0,16,21,58,1,23,39,277,2,24,38,62,21.5,4.0,37.75,W
1970,2,Sun,2:00PM ET,52,9,12,19,37,1,19,29,151,0,7,79,50,37.25,4.333333333333333,45.666666666666664,19,34,91,1,24,33,257,0,25,104,70,15.333333333333334,4.0,33.714285714285715,W
1970,3,Mon,9:00PM ET,55,13,8,21,38,1,10,18,140,2,1,53,40,25.6,6.0,41.6,22,41,140,1,13,19,229,0,19,53,64,19.0,6.0,30.0,L
1970,4,Sun,2:00PM ET,49,9,9,18,62,3,19,35,112,3,37,45,57,13.2,6.75,41.5,17,34,142,2,17,33,219,1,19,101,69,29.0,2.5,41.166666666666664,L
1970,5,Sun,2:00PM ET,50,10,15,29,100,1,17,34,117,1,0,92,63,21.0,6.0,45.666666666666664,20,31,83,0,17,27,285,0,11,96,60,20.0,6.75,40.166666666666664,L
1970,6,Sun,2:00PM ET,59,9,10,24,75,1,14,32,254,3,19,50,58,29.8,5.5,40.0,13,43,108,1,11,23,87,0,8,20,67,24.0,0.3333333333333333,41.625,L
1970,7,Sun,1:00PM ET,62,7,10,29,89,1,6,20,84,1,19,65,51,45.666666666666664,1.75,41.5,17,31,147,2,15,26,172,1,41,69,61,25.25,10.5,37.0,W
1970,8,Sun,2:00PM ET,42,6,11,30,91,0,13,25,115,2,28,45,57,20.571428571428573,8.0,41.8,19,26,47,1,23,30,340,0,0,52,56,19.75,39.0,40.0,L
1970,9,Sun,2:00PM ET,29,14,12,28,110,0,9,26,201,0,29,18,56,14.75,2.8,40.125,18,33,123,0,23,35,220,1,24,55,72,18.666666666666668,5.5,39.22222222222222,L
1970,10,Sun,2:00PM ET,43,22,12,33,91,1,8,20,196,1,46,82,60,14.0,2.0,47.714285714285715,14,29,134,3,14,22,152,2,33,52,55,16.25,1.75,37.2,W
1970,11,Sun,2:00PM ET,51,7,14,29,103,0,21,37,155,0,23,87,69,29.333333333333332,8.25,35.0,18,25,50,0,23,40,258,5,0,51,65,24.0,2.6,44.2,L
1970,12,Sat,1:15PM ET,19,19,9,15,41,0,10,29,103,3,15,39,48,31.6,0.25,34.125,16,53,202,1,5,12,92,0,13,60,68,15.75,3.0,26.857142857142858,L
1970,13,Sun,2:00PM ET,32,11,20,21,53,2,22,36,341,1,2,78,58,20.666666666666668,1.6666666666666667,34.75,16,35,98,1,11,24,161,1,79,46,68,17.2,0.0,40.22222222222222,W
1970,14,Sun,2:00PM ET,65,7,19,20,104,0,26,51,280,4,8,70,72,23.0,6.166666666666667,39.833333333333336,9,23,48,0,14,31,176,4,33,29,58,22.0,17.666666666666668,37.875,W
1971,1,Sun,2:00PM ET,63,12,8,21,45,3,16,29,124,1,28,60,54,28.2,17.0,42.625,15,43,223,3,10,24,129,4,0,64,67,16.75,9.0,47.4,W
1971,2,Sun,2:00PM ET,56,13,19,25,76,2,26,42,268,1,29,45,71,32.75,6.6,39.0,11,28,84,0,11,26,162,1,16,61,56,21.25,4.0,36.0,W
1971,3,Sun,4:00PM ET,65,10,10,18,68,0,9,38,91,4,46,20,61,17.5,13.0,40.111111111111114,21,43,263,2,13,31,165,2,6,51,76,31.0,-0.8,37.42857142857143,L
1971,4,Sun,2:00PM ET,51,11,26,47,202,2,16,28,265,1,40,47,79,14.5,4.333333333333333,26.0,18,20,75,2,16,33,224,2,36,35,57,22.0,0.0,46.333333333333336,W
1971,5,Sun,4:00PM ET,53,8,13,18,62,2,15,41,179,4,21,92,61,27.666666666666668,1.0,42.0,20,42,161,3,20,35,213,2,20,69,79,0.0,19.0,43.0,L
1971,6,Sun,2:00PM ET,60,14,17,34,173,0,15,21,160,0,10,75,57,25.833333333333332,6.333333333333333,39.2,17,28,116,0,11,26,173,2,28,69,59,61.0,1.5,51.333333333333336,W
1971,7,Sun,2:00PM ET,55,19,7,31,82,1,7,19,140,1,28,10,54,30.0,14.666666666666666,37.833333333333336,26,34,139,3,27,47,344,4,2,80,82,19.5,2.0,48.333333333333336,W
1971,8,Sun,2:00PM ET,27,16,16,22,75,1,19,38,205,3,0,30,60,21.5,0.5,36.75,13,43,171,1,7,14,133,1,0,43,57,42.5,7.0,34.0,L
1971,9,Sun,2:00PM ET,56,17,20,34,205,1,15,33,214,0,34,44,72,14.25,0.0,40.25,15,28,88,0,24,36,206,0,11,10,66,23.25,3.5,32.8,W
1971,10,Sun,2:00PM ET,35,22,8,26,112,0,6,26,68,4,62,107,60,25.4,5.0,38.0,14,35,186,3,9,15,75,0,5,82,51,27.0,0.0,41.5,L
1971,11,Mon,9:00PM ET,75,11,9,16,96,1,9,28,111,3,10,10,45,18.8,5.5,43.5,23,42,208,0,16,22,249,1,11,48,65,15.0,6.0,40.0,L
