year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:00PM ET,74,10,14,40,247,1,8,18,147,0,30,84,63,28.75,18.0,48.42857142857143,13,22,48,0,17,36,265,2,22,60,60,22.0,23.5,41.22222222222222,W
1970,2,Sun,1:00PM ET,54,12,6,24,76,2,7,13,85,2,21,42,39,24.2,0.0,41.166666666666664,21,44,191,0,11,15,114,0,20,66,61,24.5,14.8,40.5,L
1970,3,Sun,1:00PM ET,51,7,12,27,71,0,14,32,210,2,33,104,63,23.333333333333332,10.333333333333334,45.333333333333336,14,29,73,0,17,28,205,4,39,65,61,25.0,3.2,45.5,L
1970,4,Sun,1:00PM ET,51,8,15,20,54,0,20,28,218,1,36,59,53,21.75,0.0,46.25,23,41,130,2,17,29,226,1,10,57,71,28.0,2.25,45.666666666666664,L
1970,5,Sun,4:00PM ET,45,4,15,22,82,0,23,47,180,1,6,92,70,26.5,13.25,47.57142857142857,14,31,116,0,9,22,176,0,18,44,56,28.5,20.5,40.888888888888886,L
1970,6,Sun,1:00PM ET,52,4,14,25,120,3,11,28,113,1,12,64,55,13.666666666666666,4.5,39.333333333333336,20,39,212,1,13,24,123,0,11,47,64,24.0,3.5,49.8,L
1970,7,Mon,9:00PM ET,55,10,18,32,139,1,16,30,160,2,17,67,65,27.75,7.6,47.333333333333336,13,32,86,1,12,24,195,0,0,73,56,0.0,7.4,54.0,L
1970,8,Sun,1:00PM ET,39,7,17,41,156,0,12,24,164,0,0,30,65,55.0,0.0,46.25,17,23,103,4,15,31,290,2,16,41,56,23.0,2.0,39.4,W
1970,9,Sun,1:00PM ET,35,15,14,33,210,3,10,17,123,0,0,35,50,26.0,-1.0,48.666666666666664,15,35,153,0,11,25,170,1,27,64,62,21.0,7.0,43.333333333333336,W
1970,10,Sun,1:00PM ET,47,16,17,41,186,1,10,18,146,0,0,40,60,30.0,-2.3333333333333335,44.833333333333336,23,26,138,2,16,43,183,4,0,50,69,19.25,5.0,43.0,W
1970,11,Sun,1:00PM ET,52,12,17,34,149,0,12,27,174,1,26,44,64,44.0,6.0,45.0,15,25,70,3,20,37,329,2,37,70,67,26.0,5.0,44.0,W
1970,12,Sun,4:00PM ET,61,6,11,38,136,0,8,19,26,1,26,43,60,19.0,39.5,53.833333333333336,21,29,113,1,17,36,193,3,26,41,68,0.0,8.5,46.6,W
1970,13,Sun,2:00PM ET,70,0,17,39,194,1,11,21,164,0,20,87,62,12.5,1.5,44.0,19,21,43,2,27,54,315,2,5,56,76,30.0,3.25,48.75,W
1970,14,Sun,1:00PM ET,36,10,23,45,237,0,10,17,187,0,0,40,62,11.5,4.25,49.25,8,21,67,0,7,24,101,2,19,50,47,19.833333333333332,9.5,35.857142857142854,W
1971,1,Sun,1:00PM ET,68,6,23,35,236,1,24,33,310,0,14,122,69,12.333333333333334,7.0,44.5,17,18,39,1,20,40,301,3,25,84,61,31.25,6.0,43.2,W
1971,2,Sun,1:00PM ET,59,7,15,18,28,0,23,43,266,1,41,35,66,20.333333333333332,11.0,48.3,15,29,80,2,18,30,249,1,41,95,64,24.666666666666668,13.142857142857142,43.77777777777778,L
1971,3,Sun,2:00PM ET,70,12,10,24,90,1,11,23,111,1,23,44,50,21.0,0.0,43.0,18,50,256,1,4,12,75,2,13,35,63,57.5,3.25,35.25,L
1971,4,Sun,1:00PM ET,47,10,19,33,214,1,11,19,137,0,21,52,55,19.8,4.5,41.25,16,34,131,0,12,23,194,1,13,55,58,34.0,5.0,41.666666666666664,L
1971,5,Sun,4:00PM ET,62,5,15,40,232,1,10,22,122,1,15,51,64,21.0,0.0,47.2,17,26,64,1,18,35,213,2,8,42,62,34.0,9.25,44.75,L
1971,6,Sun,4:00PM ET,53,9,17,35,111,0,15,23,173,1,34,101,64,23.666666666666668,0.0,46.0,19,37,202,0,10,18,139,2,25,99,58,16.5,5.0,31.75,L
1971,7,Sun,2:00PM ET,70,0,9,31,135,0,6,20,16,1,68,57,60,0.0,0.5,48.333333333333336,9,34,94,1,7,20,93,4,10,44,55,23.0,5.142857142857143,44.0,L
1971,8,Sun,1:00PM ET,26,10,10,30,94,0,10,24,88,2,15,35,55,18.5,1.3333333333333333,43.166666666666664,15,45,155,1,7,15,150,0,38,35,64,24.0,2.0,36.833333333333336,L
1971,9,Sun,4:00PM ET,39,9,19,42,213,1,15,23,266,0,6,65,66,26.0,8.0,45.8,10,29,122,0,7,18,112,1,13,29,49,25.5,18.333333333333332,45.285714285714285,W
1971,10,Sun,1:00PM ET,37,18,19,44,120,2,13,16,151,0,8,15,61,17.666666666666668,6.0,38.5,13,19,70,1,12,27,215,1,44,32,51,19.5,0.0,33.6,W
1971,11,Sun,1:00PM ET,36,10,28,44,173,1,26,36,246,1,8,101,81,0.0,1.0,44.5,8,16,47,0,9,27,96,6,13,34,45,22.0,2.0,40.833333333333336,W
1971,12,Sun,1:00PM ET,36,11,15,34,232,1,13,23,118,1,4,47,58,20.0,6.0,45.8,22,38,182,1,14,28,224,2,0,20,66,24.666666666666668,5.0,42.2,L
1971,13,Sun,1:00PM ET,40,10,14,25,126,3,18,30,247,2,25,117,58,19.0,11.0,40.0,16,36,126,2,10,27,157,1,11,55,65,33.5,6.0,41.142857142857146,L
1971,14,Sun,1:00PM ET,25,17,23,27,138,0,19,30,176,0,21,79,60,22.2,0.0,36.0,18,35,210,1,9,15,164,1,0,63,50,21.666666666666668,0.0,48.0,L
1972,1,Sun,1:00PM ET,74,19,21,47,246,0,11,17,111,0,0,60,64,28.0,18.0,39.6,9,21,54,1,9,17,117,2,34,10,42,10.0,2.0,37.857142857142854,W
1972,2,Sun,1:00PM ET,69,9,13,39,121,3,13,27,157,1,9,100,67,23.5,10.0,45.0,14,24,74,3,18,34,170,0,39,78,62,21.5,0.5,48.333333333333336,W
1972,3,Sun,1:00PM ET,48,12,19,30,128,2,21,43,221,2,18,5,74,21.666666666666668,9.0,45.8,14,34,109,0,12,24,198,0,18,50,60,27.0,7.0,45.125,L
1972,4,Sun,1:00PM ET,53,12,13,30,90,1,12,20,148,0,39,40,55,26.0,22.333333333333332,47.333333333333336,11,31,130,0,6,19,86,0,49,38,56,26.0,5.0,41.25,W
1972,5,Sun,4:00PM ET,47,11,11,24,69,2,14,25,182,0,0,21,49,25.25,7.5,40.8,22,31,123,0,22,40,243,2,46,47,77,25.0,-1.6666666666666667,42.25,W
1972,6,Sun,4:00PM ET,63,8,20,46,173,2,18,29,154,0,44,43,80,21.333333333333332,0.0,38.57142857142857,9,22,55,1,9,23,100,2,6,55,46,29.5,7.5,47.75,L
1972,7,Sun,1:00PM ET,55,11,29,46,244,1,23,31,252,1,0,96,77,7.0,3.0,39.0,10,15,98,1,7,17,65,1,18,0,35,22.333333333333332,0.0,37.4,W
1972,8,Sun,1:00PM ET,44,10,21,33,145,2,17,28,230,1,9,53,63,18.0,4.0,39.4,20,30,230,0,11,24,195,0,10,35,56,21.666666666666668,35.0,39.5,L
1972,9,Sun,1:00PM ET,44,6,14,26,89,0,12,29,144,1,0,53,55,29.2,2.5,41.0,24,48,293,1,13,24,99,1,11,32,73,27.5,-2.0,42.25,L
1972,10,Sun,1:00PM ET,38,12,17,33,81,1,16,28,200,0,14,35,63,18.5,0.0,36.4,17,33,143,1,12,20,169,0,6,57,54,27.25,4.0,37.4,L
1972,11,Sun,2:00PM ET,33,10,13,44,158,0,12,20,120,2,7,69,65,21.0,7.0,51.0,9,24,110,0,8,25,115,2,9,28,50,20.0,4.0,38.375,W
1972,12,Sun,1:00PM ET,49,15,15,29,105,1,17,34,217,1,5,71,64,14.0,10.0,39.25,16,29,155,1,12,25,130,3,18,20,57,22.666666666666668,3.5,46.666666666666664,W
1972,13,Sat,1:00PM ET,38,7,25,38,194,2,13,26,154,2,14,45,68,29.833333333333332,0.0,40.25,15,29,109,0,11,26,165,2,15,47,57,19.5,0.0,41.6,L
1972,14,Sun,2:00PM ET,70,0,24,26,153,1,20,27,223,0,33,47,55,13.0,13.0,41.333333333333336,17,35,132,0,17,32,181,5,17,84,69,21.333333333333332,20.0,44.333333333333336,W
1973,1,Sun,4:00PM ET,44,13,22,24,133,0,19,39,228,1,17,50,65,21.25,11.666666666666666,50.0,23,38,153,0,11,25,190,1,0,34,63,0.0,9.0,45.0,L
1973,2,Sun,1:00PM ET,71,10,23,40,218,0,15,26,155,0,1,103,67,29.5,2.6,41.875,10,29,157,0,11,23,105,2,48,97,55,42.5,0.5,40.857142857142854,W
1973,3,Sun,4:00PM ET,67,9,19,44,202,2,10,17,222,0,7,82,62,21.0,9.333333333333334,34.6,17,32,114,2,15,31,215,2,38,36,69,20.0,0.0,45.6,W
