year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Mon,9:00PM ET,75,13,20,30,76,0,12,27,145,0,0,101,57,49.0,0.0,46.6,31,34,168,1,19,33,305,3,19,161,69,26.0,2.5,34.5,W
1970,2,Sun,4:00PM ET,72,8,20,31,122,2,15,28,331,2,5,63,60,26.25,4.0,37.5,24,38,158,0,20,31,277,0,0,42,69,21.5,5.5,37.833333333333336,L
1970,3,Sat,9:00PM ET,54,16,8,34,69,0,4,21,130,2,0,46,55,24.0,1.5,44.285714285714285,17,26,134,1,13,29,207,3,78,83,62,56.5,11.5,32.666666666666664,W
1970,4,Sun,1:00PM ET,51,8,23,41,130,2,17,29,226,1,10,57,71,28.0,2.25,45.666666666666664,15,20,54,0,20,28,218,1,36,59,53,21.75,0.0,46.25,W
1970,5,Sun,1:00PM ET,46,14,19,33,147,1,12,29,206,5,35,47,65,22.714285714285715,-1.0,46.25,13,29,115,1,11,21,200,1,0,75,50,16.0,0.0,42.0,L
1970,6,Sun,1:00PM ET,77,6,21,34,87,2,23,29,252,1,0,5,63,17.0,0.0,41.5,8,25,119,0,7,20,78,3,32,44,49,21.333333333333332,4.0,45.42857142857143,W
1970,7,Sun,1:00PM ET,48,6,19,34,158,3,12,24,164,1,13,15,59,17.2,-0.5,50.333333333333336,16,31,131,0,13,21,206,0,16,45,54,22.666666666666668,0.0,48.0,L
1970,8,Sun,4:00PM ET,60,5,12,33,130,0,9,28,110,3,0,52,61,24.8,15.333333333333334,43.0,21,41,160,1,14,32,170,1,36,39,77,24.0,5.333333333333333,44.42857142857143,L
1970,9,Sun,1:00PM ET,35,15,15,35,153,0,11,25,170,1,27,64,62,21.0,7.0,43.333333333333336,14,33,210,3,10,17,123,0,0,35,50,26.0,-1.0,48.666666666666664,L
1970,10,Sun,1:00PM ET,44,23,18,37,126,0,10,22,229,0,7,45,60,0.0,13.0,46.5,23,35,178,1,20,37,168,3,20,44,75,23.333333333333332,0.0,41.0,W
1970,11,Sun,1:00PM ET,45,10,16,23,42,0,15,39,157,1,28,5,65,19.2,14.666666666666666,35.42857142857143,15,38,168,2,10,17,266,0,9,98,56,26.75,-5.0,43.2,L
1970,12,Mon,9:00PM ET,70,0,20,45,194,2,15,27,161,2,11,4,73,0.0,3.4,47.0,11,23,110,0,11,28,122,1,9,47,53,27.5,3.0,42.25,W
1970,13,Sat,1:15PM ET,36,14,13,19,63,1,23,39,239,3,3,64,59,17.666666666666668,3.6666666666666665,32.0,12,41,122,1,8,17,72,0,20,25,60,18.0,-3.0,33.8,L
1970,14,Sun,3:00PM ET,23,6,15,33,82,1,12,25,232,2,31,66,60,23.0,14.0,42.0,16,37,179,1,10,26,116,3,15,74,65,20.25,7.0,50.0,W
1971,1,Sun,1:00PM ET,63,8,21,34,108,1,19,39,280,1,11,72,74,0.0,4.5,43.6,11,15,35,1,17,39,245,5,37,65,59,22.8,5.0,42.666666666666664,W
1971,2,Sun,2:00PM ET,57,5,18,40,118,2,13,27,161,2,12,35,68,29.5,10.0,33.2,12,31,137,3,3,19,49,5,8,35,51,11.5,6.0,37.0,W
1971,3,Mon,9:00PM ET,70,12,20,43,156,1,15,25,195,2,17,82,70,19.4,4.25,40.333333333333336,20,27,168,1,11,21,184,1,24,80,51,32.4,4.5,40.5,L
1971,4,Sun,1:00PM ET,48,9,20,40,131,2,18,27,236,1,17,25,69,24.0,6.4,45.25,11,20,110,0,13,28,136,1,24,98,51,16.4,22.5,43.0,W
1971,5,Sun,4:00PM ET,62,5,17,26,64,1,18,35,213,2,8,42,62,34.0,9.25,44.75,15,40,232,1,10,22,122,1,15,51,64,21.0,0.0,47.2,W
1971,6,Sun,1:00PM ET,60,9,6,15,24,1,7,27,81,3,45,52,46,30.2,19.5,47.44444444444444,18,57,280,0,8,16,85,0,0,37,73,14.0,9.142857142857142,41.42857142857143,L
1971,7,Sun,1:00PM ET,63,11,10,20,65,0,9,19,108,4,20,51,41,28.0,9.5,47.75,17,54,175,0,7,10,142,0,0,45,64,41.5,8.0,33.0,L
1971,8,Sun,1:00PM ET,31,17,11,32,129,1,10,22,114,2,33,44,57,19.333333333333332,6.666666666666667,33.285714285714285,21,48,230,0,7,21,163,1,0,79,69,15.0,4.333333333333333,47.333333333333336,L
1971,9,Sun,4:00PM ET,66,12,15,19,45,1,16,33,247,2,0,33,52,15.0,11.6,37.8,23,43,183,2,15,24,234,0,33,56,70,13.0,1.0,50.666666666666664,L
1971,10,Sun,1:00PM ET,37,21,19,43,175,0,12,26,158,0,12,56,71,39.5,8.5,32.4,19,27,123,0,13,32,169,4,0,41,59,21.0,0.0,40.25,W
1971,11,Sun,4:00PM ET,70,0,19,41,160,2,11,24,162,2,11,15,66,18.75,12.5,35.5,10,20,46,2,14,28,193,3,23,46,52,26.0,5.5,38.4,W
1971,12,Sun,1:00PM ET,36,11,22,38,182,1,14,28,224,2,0,20,66,24.666666666666668,5.0,42.2,15,34,232,1,13,23,118,1,4,47,58,20.0,6.0,45.8,W
1971,13,Sun,2:00PM ET,70,7,20,42,132,5,11,21,177,2,25,65,65,22.0,7.5,33.666666666666664,18,33,159,3,7,23,101,0,35,69,59,16.0,0.0,39.666666666666664,W
1971,14,Sun,1:00PM ET,27,10,13,28,69,0,15,23,165,2,11,20,52,14.0,2.0,37.25,22,35,117,2,18,33,229,2,0,23,68,30.6,33.0,46.0,W
1972,1,Sun,1:00PM ET,74,17,13,23,62,1,14,33,133,3,7,39,57,21.5,2.0,46.714285714285715,15,48,145,1,7,17,150,0,5,47,66,27.333333333333332,7.5,41.4,L
1972,2,Sun,1:00PM ET,59,8,15,36,155,0,9,20,152,1,10,20,57,20.333333333333332,3.6666666666666665,48.0,20,24,66,1,22,39,294,2,46,69,68,29.0,25.666666666666668,38.0,W
1972,3,Sun,1:00PM ET,48,12,14,34,109,0,12,24,198,0,18,50,60,27.0,7.0,45.125,19,30,128,2,21,43,221,2,18,5,74,21.666666666666668,9.0,45.8,W
1972,4,Sun,1:00PM ET,50,14,10,23,97,4,12,28,121,4,9,40,52,22.0,17.333333333333332,48.0,18,48,221,0,8,18,81,1,19,30,68,21.5,4.0,48.0,L
1972,5,Sun,1:00PM ET,47,13,9,23,37,1,13,29,169,0,43,48,57,19.5,0.75,43.63636363636363,13,48,256,0,2,9,62,1,8,60,59,30.0,9.857142857142858,36.625,L
1972,6,Sun,2:00PM ET,70,0,13,39,135,0,9,19,127,0,8,45,60,27.0,7.666666666666667,45.5,17,36,143,2,17,27,239,0,18,95,66,19.333333333333332,4.75,40.5,W
1972,7,Sun,4:00PM ET,40,8,26,39,172,0,15,33,178,1,7,55,73,23.0,8.5,51.666666666666664,17,22,146,0,14,24,140,1,14,30,48,26.0,13.666666666666666,40.333333333333336,W
1972,8,Sun,1:00PM ET,43,7,15,38,152,0,9,20,152,0,6,56,59,22.0,1.75,40.57142857142857,11,29,119,1,15,24,115,0,22,15,57,19.6,3.8,39.0,W
1972,9,Mon,9:00PM ET,58,6,18,30,124,0,13,21,186,1,11,52,52,18.75,-1.0,40.6,24,44,191,2,12,21,140,1,4,27,66,24.25,7.0,42.666666666666664,W
1972,10,Sun,1:00PM ET,37,8,24,38,217,0,14,25,194,2,22,20,66,22.75,2.6666666666666665,33.0,15,29,211,1,10,21,136,1,33,49,54,22.5,3.0,43.166666666666664,W
1972,11,Sun,1:00PM ET,35,14,16,36,132,0,11,22,145,2,24,22,60,20.0,1.5,39.166666666666664,12,44,147,1,5,12,56,1,28,20,61,26.2,9.0,37.0,W
