year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,4:00PM ET,66,8,19,28,101,2,16,32,221,1,19,68,62,27.0,13.5,48.5,15,22,83,1,17,37,255,0,50,85,65,18.6,3.0,35.375,W
1970,2,Mon,9:00PM ET,61,9,26,24,81,2,22,51,301,5,73,35,82,26.166666666666668,7.0,42.857142857142854,11,36,153,3,9,12,152,1,10,92,49,16.5,23.75,45.6,L
1970,3,Sun,1:00PM ET,59,17,14,32,98,1,14,24,194,0,56,102,62,15.666666666666666,3.0,48.0,12,17,60,1,17,38,236,0,56,78,60,19.5,6.666666666666667,37.5,W
1970,4,Sun,4:00PM ET,70,0,18,27,74,1,15,30,227,1,0,35,57,27.5,11.666666666666666,49.2,24,33,94,1,20,34,294,0,23,83,69,12.6,4.5,41.5,W
1970,5,Sun,1:00PM ET,51,15,14,31,78,1,12,24,206,3,30,41,59,22.75,0.0,47.0,22,17,37,0,34,62,397,6,36,108,82,21.4,12.666666666666666,45.0,W
1970,6,Sun,2:00PM ET,61,6,14,27,101,1,14,25,192,0,21,119,55,40.5,1.6,43.6,12,17,45,0,17,32,190,4,65,97,57,19.166666666666668,6.333333333333333,40.8,W
1970,7,Sun,2:00PM ET,58,8,14,24,82,0,13,21,157,1,0,27,45,99.0,36.666666666666664,44.0,20,33,201,1,19,38,203,3,21,117,73,24.166666666666668,2.3333333333333335,33.5,W
1970,8,Mon,9:00PM ET,50,14,14,36,127,1,10,18,179,1,16,69,56,13.5,0.5,44.0,16,37,130,0,10,23,96,4,8,44,61,29.75,1.0,48.333333333333336,W
1970,9,Sun,2:00PM ET,54,10,21,30,136,0,15,29,221,1,12,26,61,25.0,15.0,47.25,16,35,181,0,10,20,94,2,4,43,56,19.333333333333332,6.0,43.0,T
1970,10,Sun,1:00PM ET,72,7,19,23,109,2,22,36,203,2,16,34,61,31.166666666666668,2.0,50.75,12,39,115,0,10,16,163,0,27,35,58,14.666666666666666,44.5,42.0,L
1970,11,Sun,2:00PM ET,51,7,18,25,50,0,23,40,258,5,0,51,65,24.0,2.6,44.2,14,29,103,0,21,37,155,0,23,87,69,29.333333333333332,8.25,35.0,W
1970,12,Sun,2:00PM ET,38,22,13,39,148,1,10,18,113,1,12,41,58,18.333333333333332,0.0,30.666666666666668,9,27,97,1,14,29,94,3,5,20,57,19.5,-2.0,36.5,W
1970,13,Sun,1:00PM ET,28,11,15,29,49,1,13,31,236,0,10,5,61,23.333333333333332,2.0,44.57142857142857,18,27,97,1,23,43,252,2,16,103,72,24.2,7.6,32.875,W
1970,14,Sat,3:00PM ET,43,5,23,36,102,1,20,37,379,1,24,55,76,16.25,24.0,35.666666666666664,13,21,43,0,17,31,199,0,30,40,55,26.8,3.0,37.375,W
1971,1,Sun,4:00PM ET,73,8,16,43,253,1,7,17,71,0,5,35,61,25.0,20.5,37.666666666666664,7,18,43,0,12,24,108,0,33,79,46,22.8,-3.0,40.90909090909091,W
1971,2,Sun,2:00PM ET,57,5,12,31,137,3,3,19,49,5,8,35,51,11.5,6.0,37.0,18,40,118,2,13,27,161,2,12,35,68,29.5,10.0,33.2,L
1971,3,Sun,1:00PM ET,63,15,24,36,136,0,19,24,235,2,13,10,61,41.0,0.0,47.0,9,24,89,0,9,20,62,1,0,50,44,30.0,8.0,35.333333333333336,W
1971,4,Sun,1:00PM ET,55,7,19,43,214,1,13,26,193,2,6,71,71,22.5,7.0,44.25,4,11,4,2,10,21,121,4,76,67,41,24.5,8.333333333333334,40.142857142857146,W
1971,5,Sun,1:00PM ET,63,13,19,37,241,0,10,22,135,0,13,52,61,22.0,4.0,47.0,15,23,87,2,18,33,188,3,24,23,59,32.0,10.0,46.5,W
1971,6,Mon,9:00PM ET,53,11,16,35,129,0,19,33,173,3,26,39,71,37.0,6.25,40.4,9,29,67,0,7,15,110,1,24,44,47,33.0,6.0,37.375,L
1971,7,Sun,2:00PM ET,67,5,19,32,71,1,18,34,318,1,6,51,67,14.5,7.333333333333333,41.75,14,16,26,1,20,35,187,1,32,40,54,22.0,3.75,44.75,W
1971,8,Mon,9:00PM ET,36,15,17,36,155,0,10,30,104,2,10,5,67,17.0,0.0,32.25,12,23,108,1,12,27,170,1,16,40,52,23.0,13.0,31.333333333333332,W
1971,9,Sun,1:00PM ET,37,12,15,37,119,3,9,25,137,0,67,30,69,15.5,0.0,40.0,9,29,75,0,9,21,130,3,17,68,52,18.666666666666668,11.4,35.125,W
