year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Fri,11:00PM ET,63,10,15,18,99,3,12,41,282,1,54,84,65,18.0,0.0,38.2,17,40,157,1,16,27,185,0,0,77,67,45.5,-1.0,44.0,L
1970,2,Sun,2:00PM ET,54,10,22,41,174,1,10,21,123,2,0,48,62,25.333333333333332,9.0,41.0,20,31,147,1,12,26,114,2,7,25,58,22.0,0.0,41.75,W
1970,3,Sun,2:00PM ET,53,8,15,32,145,0,12,22,174,2,10,46,55,15.0,6.5,39.0,17,33,141,0,9,22,157,2,29,48,58,18.5,-5.0,43.8,W
1970,4,Sun,2:00PM ET,50,7,17,30,196,1,18,31,255,2,19,91,63,17.333333333333332,6.75,45.8,19,27,130,0,13,38,220,2,8,36,66,18.0,0.0,42.42857142857143,W
1970,5,Sun,1:00PM ET,53,14,17,33,198,1,7,25,124,1,23,117,61,19.75,0.0,40.55555555555556,17,28,146,2,18,40,171,1,39,69,72,14.2,2.6666666666666665,39.57142857142857,W
1970,6,Sun,1:00PM ET,59,11,19,27,126,0,15,40,209,2,6,7,68,20.0,1.0,41.25,20,32,103,1,16,19,286,0,18,20,54,37.333333333333336,8.0,33.666666666666664,L
1970,7,Sun,2:00PM ET,44,5,20,39,180,0,16,27,281,0,7,70,67,26.0,7.0,35.75,9,23,79,1,13,30,122,2,41,41,59,20.857142857142858,0.0,42.44444444444444,W
1970,8,Sun,2:00PM ET,49,10,15,32,151,0,10,22,132,1,0,75,54,19.0,15.666666666666666,46.333333333333336,19,21,36,1,20,47,203,3,44,86,71,27.5,3.25,40.25,W
1970,9,Mon,9:00PM ET,42,8,19,39,242,0,14,30,164,1,14,113,70,23.0,18.166666666666668,41.5,14,32,103,2,10,34,177,4,37,39,70,16.75,3.2,42.44444444444444,W
1970,10,Sun,4:00PM ET,42,13,17,36,153,3,13,23,119,1,0,48,59,17.5,3.0,39.666666666666664,11,43,169,1,5,15,54,2,11,32,60,28.0,13.0,38.25,T
