year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:00PM ET,67,7,20,40,198,2,11,17,115,1,16,78,59,22.0,14.0,49.5,13,30,104,1,10,23,138,3,17,20,55,16.25,5.0,38.0,W
1970,2,Sun,2:00PM ET,61,11,24,41,199,1,14,24,191,1,30,36,69,25.333333333333332,0.0,47.333333333333336,15,25,99,1,14,36,157,2,18,60,64,19.5,5.0,51.333333333333336,W
1970,3,Sun,2:00PM ET,53,8,17,33,141,0,9,22,157,2,29,48,58,18.5,-5.0,43.8,15,32,145,0,12,22,174,2,10,46,55,15.0,6.5,39.0,L
1970,4,Sun,2:00PM ET,61,10,13,54,218,1,4,11,49,2,10,89,66,27.0,7.333333333333333,43.4,9,32,84,3,10,18,57,0,13,44,52,18.75,3.25,39.375,W
1970,5,Sun,4:00PM ET,52,10,14,31,160,0,14,28,159,4,33,35,66,20.444444444444443,14.0,27.25,19,31,113,0,13,26,154,0,9,5,58,18.75,26.0,46.5,L
1970,6,Sun,4:00PM ET,64,12,15,39,195,1,7,15,160,0,28,119,58,21.0,8.0,45.857142857142854,12,18,53,1,17,38,219,2,36,67,60,22.833333333333332,2.0,47.0,W
1970,7,Sun,2:00PM ET,56,10,8,25,46,1,10,20,240,0,8,72,46,18.75,0.0,39.875,20,40,151,0,16,38,258,4,13,80,81,21.5,3.1666666666666665,35.333333333333336,W
1970,8,Sun,1:00PM ET,52,12,9,25,102,0,10,22,191,0,30,51,51,23.5,0.0,43.714285714285715,20,41,202,3,15,26,170,0,34,30,71,19.4,6.25,43.5,L
1970,9,Mon,9:00PM ET,42,8,14,32,103,2,10,34,177,4,37,39,70,16.75,3.2,42.44444444444444,19,39,242,0,14,30,164,1,14,113,70,23.0,18.166666666666668,41.5,L
1970,10,Sun,1:00PM ET,44,10,22,33,181,0,14,21,202,1,13,161,56,48.0,10.666666666666666,49.666666666666664,20,32,169,2,18,30,193,0,58,38,68,15.428571428571429,3.0,33.333333333333336,W
1970,11,Thu,3:30PM ET,65,20,15,39,151,0,12,20,201,0,0,64,59,16.0,19.0,27.25,9,28,78,0,9,21,83,1,32,67,53,21.0,3.0,48.0,W
1970,12,Sun,4:00PM ET,52,13,24,48,276,1,11,24,166,0,18,51,74,72.0,16.0,46.0,9,21,67,2,14,25,110,2,11,73,48,22.142857142857142,0.0,46.5,W
1970,13,Sat,1:15PM ET,36,14,12,41,122,1,8,17,72,0,20,25,60,18.0,-3.0,33.8,13,19,63,1,23,39,239,3,3,64,59,17.666666666666668,3.6666666666666665,32.0,W
1970,14,Sun,2:00PM ET,44,8,22,41,208,2,15,22,365,1,24,66,66,29.0,8.666666666666666,42.8,12,27,86,1,8,27,110,4,45,25,61,17.88888888888889,0.5,40.625,W
1971,1,Sun,1:00PM ET,55,9,19,40,160,1,10,14,221,0,10,129,56,25.714285714285715,42.0,40.166666666666664,18,22,66,1,18,30,353,3,18,95,55,23.75,7.666666666666667,33.666666666666664,W
1971,2,Sun,1:00PM ET,59,8,23,43,150,1,19,29,235,3,16,120,74,45.5,2.0,42.5,12,19,32,1,14,36,160,7,22,73,57,22.5,12.0,41.25,W
1971,3,Sun,2:00PM ET,70,10,20,29,82,1,17,35,227,0,42,35,67,25.2,6.0,42.6,14,41,200,2,5,10,94,1,9,15,53,26.666666666666668,10.0,51.0,L
1971,4,Mon,9:00PM ET,64,7,21,45,222,5,11,23,185,1,6,85,69,19.25,10.0,47.0,18,21,67,5,26,46,294,0,29,33,71,19.4,0.0,42.8,W
1971,5,Sun,2:00PM ET,75,5,20,31,96,3,17,34,230,3,26,58,70,26.8,2.8,49.2,10,31,108,1,6,15,83,1,34,63,50,14.5,7.666666666666667,41.57142857142857,L
1971,6,Sun,2:00PM ET,63,7,20,34,168,0,16,25,241,0,3,58,60,35.0,4.0,47.0,17,24,76,2,16,29,228,1,45,59,58,27.22222222222222,4.0,41.5,W
1971,7,Sun,2:00PM ET,55,19,26,34,139,3,27,47,344,4,2,80,82,19.5,2.0,48.333333333333336,7,31,82,1,7,19,140,1,28,10,54,30.0,14.666666666666666,37.833333333333336,L
1971,8,Sun,2:00PM ET,29,12,20,38,173,0,20,31,199,0,0,98,70,21.75,14.0,38.5,11,16,36,1,12,23,227,0,35,53,43,20.6,0.0,39.25,W
1971,9,Sun,2:00PM ET,73,17,21,40,179,1,14,29,176,0,47,115,74,14.5,1.0,45.833333333333336,14,18,44,3,23,39,258,2,16,104,60,36.5,4.0,41.6,W
1971,10,Sun,1:00PM ET,41,14,16,37,146,1,11,21,151,0,18,30,61,14.0,0.0,38.0,15,21,65,0,19,32,194,2,27,50,56,23.333333333333332,15.5,43.25,W
1971,11,Thu,3:30PM ET,46,9,15,33,114,0,8,14,176,0,10,25,48,43.666666666666664,0.0,40.166666666666664,21,33,86,2,20,36,234,1,7,35,70,28.2,3.0,51.0,W
1971,12,Sat,4:00PM ET,42,7,26,37,218,1,14,21,243,0,22,34,60,47.333333333333336,17.5,23.0,12,30,130,3,6,20,27,3,8,20,51,20.22222222222222,3.0,41.333333333333336,W
1971,13,Sun,1:00PM ET,45,7,23,33,197,1,12,22,262,2,20,25,57,14.5,9.2,35.5,17,20,64,2,25,43,225,2,42,17,68,21.5,10.0,41.5,W
1971,14,Sat,4:00PM ET,45,9,18,38,205,3,10,16,147,1,29,60,57,30.6,5.0,38.5,14,26,88,1,12,43,143,2,16,20,71,26.4,21.0,36.4,W
1972,1,Sun,2:00PM ET,80,11,22,39,154,1,13,29,235,2,0,85,68,22.333333333333332,2.3333333333333335,37.0,17,30,70,1,20,36,250,3,5,57,67,21.0,0.0,44.0,W
1972,2,Sun,1:00PM ET,60,8,18,36,139,0,15,28,158,0,0,27,64,26.0,17.0,33.75,14,26,84,1,19,28,298,1,27,20,57,20.2,-1.0,51.333333333333336,W
1972,3,Sun,2:00PM ET,54,15,16,32,138,2,16,29,169,3,38,19,65,17.5,4.4,37.2,11,40,124,0,4,18,53,0,9,5,59,26.333333333333332,0.0,48.0,L
1972,4,Sun,2:00PM ET,68,8,21,40,191,2,12,30,197,2,21,79,72,25.333333333333332,1.5,40.5,14,26,130,1,12,39,166,1,24,54,68,40.0,7.333333333333333,43.8,W
1972,5,Sun,4:00PM ET,57,13,21,37,125,0,22,30,279,2,14,139,68,13.0,21.0,41.666666666666664,14,23,105,2,13,26,109,1,39,67,54,25.5,0.0,34.75,W
1972,6,Sun,4:00PM ET,52,10,18,26,116,0,14,27,174,2,14,20,56,19.6,1.5,42.666666666666664,17,37,133,1,11,16,180,0,8,47,54,20.0,0.0,40.5,L
1972,7,Mon,9:00PM ET,68,11,19,43,159,1,11,19,206,1,0,60,62,22.8,8.75,39.666666666666664,14,28,59,0,12,21,240,0,16,5,51,29.5,-4.0,41.0,W
1972,8,Sun,4:00PM ET,64,9,17,33,100,1,16,23,192,1,23,52,59,20.5,3.0,35.5,17,29,144,1,11,26,211,3,9,45,56,23.0,1.0,42.6,W
1972,9,Sun,2:00PM ET,58,14,23,48,230,0,16,28,197,1,0,73,76,15.75,8.0,37.5,16,18,54,1,15,38,282,2,8,40,57,24.2,0.0,40.8,W
1972,10,Sun,1:00PM ET,38,9,20,35,163,1,12,24,183,2,25,50,62,18.5,0.0,28.333333333333332,12,27,120,2,10,17,85,1,79,44,53,25.4,0.0,39.5,W
1972,11,Thu,3:30PM ET,41,5,19,26,107,2,19,39,267,2,66,30,74,25.5,1.0,40.166666666666664,17,34,123,1,16,24,177,0,20,14,60,11.0,0.0,40.42857142857143,L
1972,12,Sun,4:00PM ET,39,12,18,48,209,3,11,23,152,2,12,68,73,27.0,0.5,39.5,10,19,52,4,14,36,104,1,15,81,57,23.166666666666668,0.0,31.875,W
1972,13,Sat,4:00PM ET,38,9,14,36,246,1,7,17,61,0,0,66,53,21.2,4.5,41.0,19,39,143,2,14,29,178,2,9,55,69,26.857142857142858,1.3333333333333333,36.25,W
1972,14,Sun,4:00PM ET,36,11,10,20,47,1,12,21,110,3,25,73,45,24.0,0.0,39.4,25,52,174,0,16,28,175,1,0,52,80,35.5,6.333333333333333,38.0,L
1973,1,Sun,2:00PM ET,55,9,17,46,188,1,9,22,91,2,7,20,70,25.0,12.0,0.0,12,44,172,5,6,13,52,1,22,85,60,19.75,21.333333333333332,36.75,W
