year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1991,1,Sun,4:00PM ET,71,10,25,43,185,0,19,29,286,0,0,41,72,0.0,1.6666666666666667,55.0,10,23,53,1,11,22,206,3,13,47,46,19.5,22.0,50.0,W
1991,2,Sun,4:00PM ET,65,9,12,17,33,1,15,29,240,0,26,53,51,8.0,3.0,36.4,16,38,133,0,12,19,168,0,28,76,62,22.333333333333332,13.0,40.75,L
1991,3,Sun,4:00PM ET,58,9,16,30,99,2,19,32,252,0,6,55,63,0.0,7.666666666666667,35.75,17,16,50,2,21,50,322,2,10,44,68,21.2,6.2,43.42857142857143,W
1991,4,Sun,4:00PM ET,53,11,18,29,144,1,17,28,218,1,2,40,58,19.5,0.0,36.0,17,32,171,1,13,29,139,1,13,56,63,18.333333333333332,2.0,41.0,W
1991,5,Sun,8:00PM ET,70,0,17,33,179,1,8,22,82,0,19,15,58,19.0,16.333333333333332,34.6,15,26,203,0,14,28,130,3,9,52,57,17.666666666666668,3.5,46.5,W
1991,6,Sun,1:00PM ET,70,0,23,23,91,2,27,47,334,1,62,78,76,14.5,14.0,44.5,17,20,51,1,19,31,334,1,7,88,52,17.5,0.0,42.5,L
1991,8,Sun,4:00PM ET,48,6,14,24,95,0,14,27,270,0,41,31,56,29.0,-1.0,55.0,22,29,119,0,21,36,241,0,32,29,69,21.6,7.0,45.0,W
1991,9,Sun,4:00PM ET,65,13,14,30,102,1,15,27,154,0,13,11,58,14.0,8.0,55.0,15,29,141,0,17,25,164,0,18,44,56,18.0,14.333333333333334,40.833333333333336,W
1991,10,Sun,8:00PM ET,16,8,17,31,144,1,10,23,140,1,10,27,55,26.666666666666668,3.6666666666666665,47.0,19,31,146,0,18,33,204,1,41,91,70,18.2,0.0,41.833333333333336,W
1991,11,Sun,4:00PM ET,45,9,23,39,200,1,13,31,191,2,8,41,71,21.0,6.25,37.333333333333336,13,28,118,0,13,20,151,0,25,59,51,10.5,6.0,50.0,L
1991,12,Sun,1:00PM ET,51,17,14,35,172,0,9,20,134,0,47,36,61,27.5,4.666666666666667,45.0,21,28,125,0,20,38,298,4,6,25,67,18.6,4.333333333333333,44.25,W
1991,13,Sun,4:00PM ET,70,0,12,32,98,2,13,23,132,2,20,50,60,11.0,8.0,36.666666666666664,11,30,146,2,9,19,70,2,17,27,53,8.333333333333334,0.0,40.5,L
1991,14,Sun,4:00PM ET,14,6,19,37,116,1,18,25,215,0,6,41,63,22.0,11.666666666666666,42.4,14,16,50,2,19,36,247,2,45,42,57,12.333333333333334,8.5,44.2,W
1991,15,Sun,1:00PM ET,54,16,17,35,90,0,16,29,221,1,21,47,68,29.0,7.25,36.8,9,19,101,0,12,24,110,1,30,75,48,17.5,1.5,45.57142857142857,W
1991,16,Sun,4:00PM ET,34,8,22,30,122,0,19,33,245,3,2,65,64,22.666666666666668,15.0,44.25,13,25,73,0,15,32,194,0,36,64,62,15.25,0.0,44.8,W
1991,17,Sun,4:00PM ET,57,6,21,39,145,0,14,34,196,1,30,84,78,18.0,3.4,39.5,13,21,114,1,12,34,123,3,16,29,58,20.5,3.0,47.25,W
1992,1,Sun,8:00PM ET,64,9,12,22,47,2,10,24,171,1,18,30,50,12.333333333333334,9.0,43.8,20,45,152,3,7,24,181,2,20,49,72,0.0,25.0,40.8,W
1992,2,Sun,4:00PM ET,74,11,12,21,64,0,14,24,186,1,24,63,47,27.333333333333332,11.0,47.875,27,30,168,0,23,45,231,2,44,50,80,0.0,5.6,47.666666666666664,W
1992,3,Sun,1:00PM ET,67,9,4,17,52,0,8,19,59,1,29,45,40,14.0,21.333333333333332,44.875,20,39,130,0,18,26,270,0,12,25,67,0.0,9.5,39.25,L
1992,4,Sun,1:00PM ET,66,14,15,41,188,0,10,17,157,1,45,22,63,17.0,7.0,50.5,10,30,141,0,9,20,75,3,0,29,50,31.0,11.5,51.5,W
1992,5,Sun,4:00PM ET,64,12,20,20,68,1,23,38,311,0,32,84,63,20.5,20.5,46.333333333333336,20,27,90,0,22,31,301,0,22,45,61,5.0,2.0,43.666666666666664,W
1992,6,Mon,9:00PM ET,57,11,7,17,26,1,17,40,138,3,36,48,62,20.285714285714285,9.0,42.111111111111114,17,38,117,1,16,26,245,0,0,15,64,14.0,5.0,36.833333333333336,L
1992,7,Sun,4:00PM ET,47,8,14,22,170,0,13,21,192,0,40,50,47,16.333333333333332,37.0,0.0,21,19,109,0,23,39,321,1,23,77,62,26.0,8.0,41.5,W
1992,8,Sun,4:00PM ET,67,8,18,21,91,0,21,39,260,3,0,31,60,21.0,0.0,43.6,20,33,101,2,20,27,355,1,15,43,63,19.0,16.0,46.0,L
1992,10,Sun,4:00PM ET,43,10,19,32,114,2,18,33,261,2,0,10,65,0.0,6.666666666666667,48.666666666666664,15,20,159,1,16,30,197,1,15,63,53,19.0,12.333333333333334,39.4,W
1992,11,Sun,8:00PM ET,46,9,18,37,149,1,15,22,230,1,0,60,59,22.0,13.0,40.0,10,29,120,1,8,14,71,0,32,31,48,1.0,4.0,52.4,W
1992,12,Sun,4:00PM ET,57,9,15,20,85,1,18,26,207,2,25,35,50,20.2,9.5,44.25,20,31,167,0,16,30,160,0,10,55,63,0.0,13.0,41.25,L
1992,13,Mon,9:00PM ET,70,0,10,34,84,0,11,26,127,2,15,72,63,13.666666666666666,-1.0,40.45454545454545,15,27,74,2,24,42,273,2,39,59,75,1.0,10.4,41.0,L
1992,14,Sun,4:00PM ET,15,7,15,19,93,1,18,31,289,4,28,67,54,24.0,16.0,49.0,22,32,82,0,25,35,231,0,9,35,69,24.0,6.0,46.0,L
1992,15,Sat,12:30PM ET,31,12,24,30,98,2,23,48,250,3,28,49,82,20.25,7.5,36.333333333333336,17,37,151,2,13,23,213,2,3,88,61,28.0,17.5,44.25,L
1992,16,Sun,4:00PM ET,13,6,15,23,89,2,20,30,210,3,6,52,55,45.0,4.333333333333333,43.75,16,30,142,2,14,25,137,0,57,30,63,0.0,6.0,44.2,W
1992,17,Sun,1:00PM ET,38,17,16,27,82,1,19,35,264,2,56,50,68,17.166666666666668,6.0,0.0,13,22,60,2,14,25,176,1,16,21,50,36.0,6.4,49.333333333333336,L
1993,1,Sun,1:00PM ET,76,7,18,32,99,1,20,29,269,0,15,19,63,26.333333333333332,17.5,39.0,20,19,71,2,29,40,371,1,20,45,62,13.833333333333334,0.0,53.0,W
1993,2,Sun,4:00PM ET,76,11,17,22,58,1,24,34,294,1,10,34,57,15.0,15.333333333333334,49.25,26,24,68,1,31,55,338,1,16,58,83,15.333333333333334,9.5,40.5,W
1993,3,Mon,9:00PM ET,64,9,17,14,35,2,28,45,300,1,0,75,59,16.666666666666668,5.0,47.125,21,31,160,1,21,36,273,0,19,105,70,44.0,8.5,37.0,L
1993,5,Sun,4:00PM ET,59,8,26,37,196,2,21,31,260,0,2,60,69,9.0,6.0,40.0,16,22,111,0,15,33,165,2,5,40,56,20.0,0.0,51.5,W
1993,6,Sun,7:30PM ET,36,9,26,19,55,1,33,59,367,1,34,112,82,15.333333333333334,6.5,40.0,15,29,64,0,20,32,235,3,0,74,61,25.5,8.0,43.333333333333336,L
1993,7,Mon,9:00PM ET,44,12,18,32,132,1,16,30,188,1,67,55,69,13.0,8.0,48.75,12,23,53,1,15,25,264,1,9,110,50,17.0,15.0,44.0,L
1993,9,Sun,4:00PM ET,40,10,25,31,87,0,23,36,255,1,16,54,69,20.0,13.0,41.666666666666664,19,26,103,0,16,30,201,2,17,94,60,15.0,3.0,48.333333333333336,W
1993,10,Sun,1:00PM ET,32,12,21,42,160,1,17,23,244,0,11,63,66,17.0,7.333333333333333,34.333333333333336,14,14,75,0,16,30,226,0,35,51,50,18.5,2.0,41.75,W
1993,11,Sun,4:00PM ET,32,10,25,22,92,3,30,40,290,1,40,77,66,29.6,12.25,40.2,18,27,70,2,19,37,366,1,9,92,65,14.6,7.333333333333333,48.8,L
1993,12,Sun,4:00PM ET,42,10,23,34,107,0,18,25,276,0,19,22,61,9.0,13.666666666666666,49.333333333333336,19,22,101,2,23,38,278,1,30,63,64,16.25,0.0,50.666666666666664,W
