year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,2:00PM ET,67,12,5,20,50,2,12,26,75,1,11,10,47,18.0,0.0,34.333333333333336,19,46,266,1,12,22,141,0,9,20,70,17.0,8.0,49.666666666666664,L
1970,2,Sun,2:00PM ET,47,13,15,33,86,1,10,21,285,2,27,42,57,16.0,0.0,40.4,19,28,112,2,28,44,302,3,30,58,76,26.5,23.0,33.333333333333336,W
1970,3,Sun,4:00PM ET,49,11,9,39,141,1,8,15,69,1,37,72,57,60.5,8.666666666666666,43.22222222222222,13,21,57,1,19,38,198,2,39,81,65,22.5,6.666666666666667,42.875,W
1970,4,Mon,9:00PM ET,68,8,19,41,200,1,18,24,176,1,35,98,69,18.4,0.0,46.333333333333336,14,31,217,1,7,23,95,4,55,37,60,22.0,11.0,47.0,W
1970,5,Sun,2:00PM ET,46,9,19,29,137,1,16,29,208,2,26,15,61,20.0,6.333333333333333,45.0,18,32,142,0,11,25,149,0,14,97,59,40.333333333333336,19.5,41.142857142857146,L
1970,6,Sun,2:00PM ET,54,10,15,32,127,3,9,20,142,0,28,46,55,22.25,0.0,38.5,15,37,148,2,13,27,176,3,13,35,65,30.6,9.0,37.25,W
1970,7,Sun,4:00PM ET,58,8,15,32,173,2,8,26,155,4,20,60,60,29.666666666666668,3.3333333333333335,38.0,10,31,126,3,11,21,153,0,21,73,54,25.333333333333332,7.333333333333333,39.857142857142854,L
1970,8,Mon,9:00PM ET,50,14,16,37,130,0,10,23,96,4,8,44,61,29.75,1.0,48.333333333333336,14,36,127,1,10,18,179,1,16,69,56,13.5,0.5,44.0,L
1970,9,Sun,2:00PM ET,29,14,18,33,123,0,23,35,220,1,24,55,72,18.666666666666668,5.5,39.22222222222222,12,28,110,0,9,26,201,0,29,18,56,14.75,2.8,40.125,W
1970,10,Sun,2:00PM ET,24,23,15,37,124,1,14,28,169,1,11,51,66,14.333333333333334,9.0,33.75,11,38,98,0,8,16,122,0,18,37,56,16.0,0.0,37.0,L
1970,11,Thu,3:30PM ET,65,20,9,28,78,0,9,21,83,1,32,67,53,21.0,3.0,48.0,15,39,151,0,12,20,201,0,0,64,59,16.0,19.0,27.25,L
1970,12,Sun,1:00PM ET,23,22,14,33,82,2,14,32,235,2,0,15,65,35.0,2.0,37.166666666666664,13,33,131,1,8,34,143,5,0,19,67,21.5,1.5,43.0,W
1970,13,Sun,2:00PM ET,32,11,16,35,98,1,11,24,161,1,79,46,68,17.2,0.0,40.22222222222222,20,21,53,2,22,36,341,1,2,78,58,20.666666666666668,1.6666666666666667,34.75,L
1970,14,Sun,1:00PM ET,30,16,9,24,46,2,15,27,122,3,44,70,56,18.5,0.0,38.77777777777778,9,32,91,3,7,19,95,1,24,0,53,74.0,16.666666666666668,44.5,L
1971,1,Sun,2:00PM ET,52,9,17,30,124,4,15,26,224,1,0,28,56,30.625,2.6666666666666665,35.0,12,31,102,0,13,21,236,1,15,25,54,26.0,12.0,32.8,L
1971,2,Sun,1:00PM ET,56,12,15,40,214,1,5,19,101,3,12,73,60,20.5,8.0,37.5,19,27,81,1,23,41,255,6,9,54,69,23.4,3.5,37.0,W
1971,3,Sun,2:00PM ET,70,12,18,50,256,1,4,12,75,2,13,35,63,57.5,3.25,35.25,10,24,90,1,11,23,111,1,23,44,50,21.0,0.0,43.0,W
1971,4,Sun,2:00PM ET,50,9,14,24,126,0,11,19,137,2,0,37,43,23.333333333333332,9.0,42.0,26,41,178,3,18,29,302,1,15,94,71,17.25,14.333333333333334,48.0,L
1971,5,Sun,4:00PM ET,55,10,19,37,121,2,12,25,230,3,9,20,63,17.0,8.75,46.2,17,28,98,0,17,33,182,1,10,20,62,30.666666666666668,9.0,44.714285714285715,L
1971,6,Sun,4:00PM ET,61,12,14,27,93,1,11,26,151,3,7,36,54,24.333333333333332,2.0,35.0,20,40,164,0,12,23,175,1,8,26,64,34.666666666666664,7.0,47.5,L
1971,7,Mon,9:00PM ET,41,11,13,40,218,1,1,5,9,0,9,88,46,25.0,0.0,47.0,18,48,190,3,6,14,101,1,0,18,62,34.666666666666664,0.0,47.0,T
1971,8,Sun,2:00PM ET,27,16,13,43,171,1,7,14,133,1,0,43,57,42.5,7.0,34.0,16,22,75,1,19,38,205,3,0,30,60,21.5,0.5,36.75,W
1971,9,Sun,2:00PM ET,45,19,15,54,245,1,6,11,65,3,9,15,66,34.0,1.25,37.6,5,31,66,1,5,11,42,0,21,15,45,47.0,3.0,40.22222222222222,L
1971,10,Mon,9:00PM ET,36,12,7,20,103,0,3,8,72,1,32,53,33,17.4,3.0,42.166666666666664,27,55,204,2,16,21,191,0,9,60,77,31.4,5.5,35.25,L
1971,11,Sun,2:00PM ET,30,9,15,27,95,4,11,25,177,2,10,41,53,37.8,7.0,36.25,18,50,163,0,11,25,111,0,1,71,76,11.25,6.0,37.8,L
1971,12,Sun,4:00PM ET,40,6,19,35,211,1,15,28,160,2,14,25,64,25.0,-3.0,42.333333333333336,12,32,80,1,11,24,236,0,11,22,57,13.0,9.5,42.0,T
1971,13,Sun,2:00PM ET,29,12,15,43,115,1,7,14,182,1,2,35,58,24.333333333333332,7.0,39.0,13,24,61,2,11,29,200,1,14,15,54,14.0,6.5,37.833333333333336,W
1971,14,Sun,1:00PM ET,73,20,14,30,137,2,13,22,126,0,40,39,56,20.5,6.666666666666667,46.5,17,36,155,1,13,21,122,0,32,20,60,7.5,7.666666666666667,41.75,L
1972,1,Sun,1:00PM ET,74,17,15,48,145,1,7,17,150,0,5,47,66,27.333333333333332,7.5,41.4,13,23,62,1,14,33,133,3,7,39,57,21.5,2.0,46.714285714285715,W
1972,2,Sun,2:00PM ET,61,10,15,36,143,2,5,13,75,0,11,55,50,19.5,0.0,46.166666666666664,21,46,196,1,8,21,142,0,25,102,69,27.0,9.666666666666666,44.75,L
1972,3,Sun,2:00PM ET,54,15,11,40,124,0,4,18,53,0,9,5,59,26.333333333333332,0.0,48.0,16,32,138,2,16,29,169,3,38,19,65,17.5,4.4,37.2,W
1972,4,Sun,2:00PM ET,52,17,17,31,101,2,15,30,240,0,0,68,61,26.5,-1.0,34.0,13,45,139,1,7,15,119,0,0,25,60,27.0,1.0,44.42857142857143,W
1972,5,Mon,9:00PM ET,47,15,16,35,125,1,11,18,149,1,9,26,54,18.333333333333332,80.0,29.0,18,36,146,0,9,19,105,2,22,21,58,18.5,3.0,46.0,W
1972,6,Sun,2:00PM ET,49,8,10,29,112,2,6,15,108,0,5,46,45,20.0,0.0,43.666666666666664,19,45,107,1,14,25,143,0,6,39,71,17.0,9.0,28.0,L
1972,7,Sun,2:00PM ET,37,11,12,32,102,0,9,22,130,4,0,20,54,19.0,8.0,37.75,15,37,152,3,13,22,192,0,0,25,59,21.0,5.0,43.25,L
1972,8,Sun,2:00PM ET,42,13,13,41,197,0,6,16,151,0,10,51,58,23.0,17.0,43.333333333333336,16,19,21,2,19,37,315,1,9,45,57,19.4,9.714285714285714,40.857142857142854,W
1972,9,Sun,2:00PM ET,43,3,8,34,123,0,4,10,47,2,7,60,45,42.333333333333336,10.0,48.2,19,40,179,2,11,24,139,1,22,30,68,22.0,3.0,47.5,W
1972,10,Sun,2:00PM ET,70,0,14,40,210,0,6,13,109,0,9,63,54,17.0,50.0,46.166666666666664,16,32,114,0,13,27,161,0,35,15,62,22.5,21.0,45.4,W
1972,11,Sun,1:00PM ET,44,10,12,35,120,0,7,21,85,1,18,20,58,25.25,3.0,50.666666666666664,16,35,132,1,14,21,158,0,9,35,57,28.0,6.666666666666667,35.333333333333336,L
1972,12,Sun,2:00PM ET,13,12,19,55,233,1,8,15,90,0,14,50,72,23.0,9.333333333333334,35.0,6,11,27,3,11,22,173,3,11,20,34,17.857142857142858,0.0,40.2,W
1972,13,Sun,2:00PM ET,-2,11,18,45,214,1,7,14,74,1,18,74,62,13.5,19.0,39.0,9,21,54,1,11,21,118,3,28,30,46,10.6,2.5,43.0,W
1972,14,Sun,2:00PM ET,39,14,15,43,178,0,6,15,75,0,9,25,60,27.0,6.333333333333333,14.666666666666666,12,21,50,1,14,24,142,1,40,1,49,27.2,5.0,36.2,W
1973,1,Mon,9:00PM ET,54,16,14,48,155,0,6,14,107,0,9,50,63,2.0,0.5,50.5,16,17,69,2,18,38,235,1,35,52,58,19.75,6.6,35.4,W
1973,2,Sun,2:00PM ET,50,9,17,40,176,2,9,20,143,0,42,45,64,17.5,2.6666666666666665,41.5,12,37,110,0,8,15,91,3,9,37,53,12.5,8.0,42.0,T
1973,3,Sun,2:00PM ET,56,10,10,30,90,1,7,20,80,1,10,52,51,23.75,3.6666666666666665,44.6,17,43,206,3,12,16,109,1,31,33,62,29.333333333333332,6.6,42.2,L
1973,4,Sun,1:00PM ET,58,5,11,37,125,0,7,11,82,2,7,40,50,21.666666666666668,13.5,45.25,13,25,57,2,21,28,181,2,7,20,54,22.666666666666668,2.0,39.2,W
1973,5,Sun,2:00PM ET,58,15,16,41,169,0,12,23,153,2,7,20,65,26.0,4.5,38.666666666666664,9,33,96,0,10,19,67,1,14,46,54,18.0,2.0,41.285714285714285,T
1973,6,Sun,4:00PM ET,62,8,6,25,35,1,5,12,71,1,43,11,41,18.333333333333332,1.5,41.166666666666664,21,50,244,1,10,19,144,0,10,36,70,17.666666666666668,6.333333333333333,45.666666666666664,L
1973,7,Sun,1:00PM ET,52,15,7,25,60,2,6,19,29,1,26,37,46,21.714285714285715,9.666666666666666,42.0,23,56,263,1,7,12,84,1,18,57,70,19.0,8.6,50.0,L
1973,8,Sun,2:00PM ET,31,9,8,32,110,0,3,16,17,1,29,81,52,31.5,6.666666666666667,42.42857142857143,21,52,230,3,10,15,118,0,11,66,68,20.0,14.833333333333334,40.25,L
1973,9,Sun,2:00PM ET,34,12,21,52,243,1,7,14,67,0,5,58,67,21.333333333333332,0.0,36.0,19,19,71,1,19,30,198,0,11,34,50,23.8,2.0,20.333333333333332,W
1973,10,Sun,1:00PM ET,43,18,15,30,75,1,17,23,267,1,4,36,54,24.5,0.0,37.5,23,33,116,1,18,32,348,1,8,15,66,28.0,10.333333333333334,35.5,L
1973,11,Mon,9:00PM ET,50,13,16,36,131,0,14,26,147,3,23,92,66,22.75,-0.5,44.6,18,39,174,1,9,21,94,0,0,37,60,18.0,0.0,43.2,L
1973,12,Sun,2:00PM ET,36,12,13,42,154,2,9,13,109,0,4,39,56,15.333333333333334,11.5,47.333333333333336,16,29,100,1,18,36,180,4,24,5,68,21.25,4.0,39.6,W
1973,13,Sat,1:00PM ET,26,16,17,36,152,1,14,32,159,4,11,37,69,23.0,-0.5,32.2,10,37,138,0,10,19,91,0,8,10,57,8.5,1.0,36.375,L
1973,14,Sun,2:00PM ET,25,13,16,53,298,1,3,12,72,1,0,55,65,0.0,0.0,30.285714285714285,12,36,125,2,10,27,110,1,42,35,68,16.0,0.0,34.875,W
1974,1,Sun,2:00PM ET,60,16,12,33,96,1,9,20,102,3,7,46,54,16.714285714285715,2.0,38.6,20,46,165,1,14,23,116,1,19,42,71,23.25,10.0,32.2,L
1974,2,Sun,2:00PM ET,61,9,13,43,84,1,10,16,109,1,0,60,59,19.75,14.666666666666666,35.833333333333336,19,29,133,0,15,36,160,4,11,55,66,22.2,4.6,41.0,W
1974,3,Sun,2:00PM ET,53,20,19,32,154,2,18,38,200,1,0,20,70,22.857142857142858,7.0,43.333333333333336,11,26,71,0,17,31,237,0,18,35,59,20.5,7.0,29.857142857142858,W
