year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2002,1,Sun,8:36PM ET,70,0,13,35,87,0,10,22,145,1,22,80,63,21.25,5.25,41.2,11,24,155,1,13,30,131,1,19,117,57,15.75,1.4285714285714286,37.77777777777778,W
2002,2,Sun,4:15PM ET,74,8,7,25,89,1,6,25,87,2,58,73,59,15.25,15.8,40.6,16,35,124,0,15,28,163,1,20,35,65,21.5,-0.3333333333333333,39.3,L
2002,3,Sun,1:01PM ET,70,0,10,30,126,1,12,22,99,1,21,67,56,20.166666666666668,8.0,40.142857142857146,16,27,88,2,21,28,272,0,21,45,58,26.0,16.0,43.0,L
2002,4,Sun,1:02PM ET,64,10,12,24,91,1,16,29,188,2,37,83,60,24.714285714285715,7.5,42.57142857142857,21,29,102,2,25,44,316,1,27,32,76,18.75,4.0,42.75,L
2002,6,Sun,1:02PM ET,70,0,18,29,141,0,13,24,223,0,26,75,58,21.6,6.0,46.6,25,33,173,1,19,33,254,0,24,128,69,23.25,4.5,45.0,L
2002,7,Sun,4:05PM ET,50,6,17,22,89,2,23,37,306,0,41,54,67,14.142857142857142,3.5,38.857142857142854,14,24,89,0,21,31,148,0,7,42,56,42.0,5.666666666666667,39.714285714285715,L
2002,8,Sun,4:15PM ET,78,9,12,31,81,1,11,18,184,0,23,60,53,20.25,12.4,43.833333333333336,18,32,126,0,16,34,202,0,38,50,71,22.0,17.25,44.125,W
2002,9,Sun,1:01PM ET,70,0,22,25,82,0,18,32,199,2,13,60,59,18.571428571428573,20.0,46.25,25,35,127,0,22,27,263,0,0,100,62,17.5,6.5,43.333333333333336,L
2002,10,Sun,1:03PM ET,76,20,13,24,68,1,19,34,182,2,17,47,62,21.666666666666668,5.0,39.4,15,39,142,0,10,21,109,2,0,20,60,9.0,4.0,41.4,L
2002,11,Sun,1:02PM ET,70,0,18,28,78,1,22,30,228,1,34,40,62,18.4,0.5,34.666666666666664,16,28,122,0,15,25,224,1,25,62,58,15.333333333333334,6.0,43.0,L
2002,12,Sun,4:15PM ET,70,0,12,35,123,1,10,23,103,0,14,68,63,21.25,14.333333333333334,38.666666666666664,19,26,168,1,18,41,214,2,13,65,69,26.5,6.25,34.5,W
2002,13,Sun,4:00PM ET,70,0,10,20,65,2,20,35,137,0,37,92,61,21.8,3.75,39.54545454545455,13,32,88,1,15,28,190,0,0,75,60,25.0,-0.16666666666666666,44.44444444444444,L
2002,14,Sun,1:01PM ET,35,13,3,26,37,1,3,10,33,0,23,18,40,21.666666666666668,4.5,42.1,24,31,128,3,31,58,326,2,32,57,95,19.0,6.666666666666667,34.5,W
2002,15,Sun,1:02PM ET,70,0,15,24,95,0,19,34,196,2,14,58,60,19.0,30.666666666666668,41.166666666666664,16,33,70,0,18,30,228,0,0,15,63,31.666666666666668,28.0,42.5,L
2002,16,Sun,1:02PM ET,54,12,10,24,67,2,12,31,112,1,13,83,58,20.25,9.25,46.833333333333336,27,46,247,0,14,31,190,0,0,60,77,19.0,1.0,30.0,L
2002,17,Sun,1:03PM ET,70,0,16,22,28,0,21,41,214,1,18,53,66,20.0,8.0,46.6,15,35,140,0,8,23,148,0,11,52,60,25.0,8.5,41.285714285714285,L
