year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1995,1,Sun,1:00PM ET,82,9,10,22,101,1,10,26,69,1,24,30,52,20.333333333333332,8.0,43.125,14,41,160,1,13,23,80,0,0,69,64,19.0,6.75,44.44444444444444,L
1995,2,Sun,4:00PM ET,67,10,14,29,119,1,12,30,179,1,39,59,66,26.0,4.0,41.5,17,30,118,2,20,30,247,0,19,49,63,25.75,-3.0,40.25,L
1995,3,Sun,4:00PM ET,66,16,20,35,146,2,15,33,138,1,33,44,74,24.333333333333332,12.0,46.5,23,26,79,0,27,43,296,1,0,46,69,29.5,6.0,39.0,L
1995,4,Sun,8:00PM ET,74,8,13,23,76,0,16,29,156,0,31,52,57,19.4,20.5,45.375,16,29,129,0,20,30,202,1,9,70,61,27.0,12.8,49.0,L
1995,5,Sun,4:00PM ET,70,0,16,20,68,2,15,27,174,1,23,58,50,21.25,9.666666666666666,46.2,19,28,91,2,27,47,225,1,19,70,77,27.5,4.666666666666667,44.75,W
1995,6,Sun,1:00PM ET,80,11,17,29,96,0,17,30,189,0,18,86,63,16.25,10.0,48.5,16,23,68,1,19,35,282,0,0,35,58,20.4,8.0,42.0,W
1995,7,Sun,1:00PM ET,72,15,26,23,121,0,30,48,302,1,14,51,72,19.666666666666668,0.0,55.0,23,33,135,0,17,29,245,0,0,46,62,32.25,1.0,29.0,L
1995,8,Sun,1:00PM ET,49,18,23,45,159,1,16,28,164,1,8,64,74,18.5,-2.0,37.0,20,24,89,2,20,34,299,2,1,66,59,17.25,0.0,40.5,W
1995,9,Sun,1:00PM ET,47,17,14,20,84,1,18,33,189,0,44,67,60,9.2,0.6666666666666666,41.0,20,33,138,1,17,25,178,0,0,59,58,35.5,4.2,37.166666666666664,L
1995,11,Sun,1:00PM ET,51,16,20,28,161,1,13,20,121,1,16,75,51,21.75,6.333333333333333,46.333333333333336,26,40,246,0,18,31,244,1,9,129,73,18.0,2.3333333333333335,48.0,L
1995,12,Sun,1:00PM ET,66,6,19,23,87,0,24,33,273,1,10,42,59,13.333333333333334,10.5,41.833333333333336,17,33,145,0,9,20,103,0,2,20,54,21.666666666666668,12.0,45.5,L
1995,13,Sun,1:00PM ET,54,9,18,20,78,1,18,34,245,1,32,104,58,22.0,8.333333333333334,46.0,20,27,113,0,19,39,210,3,0,96,66,25.75,6.5,42.75,L
1995,14,Sun,4:00PM ET,41,11,13,21,69,1,15,28,198,1,7,67,52,30.166666666666668,2.0,43.2,20,33,111,2,22,34,286,1,0,10,67,12.8,8.333333333333334,43.5,L
1995,15,Sun,1:00PM ET,49,17,27,25,126,1,26,39,312,1,14,55,66,21.0,-3.0,42.5,15,35,91,0,9,16,129,0,1,72,52,49.0,5.0,43.0,L
1995,16,Sun,1:00PM ET,70,0,15,20,109,1,13,28,160,4,34,67,51,23.22222222222222,0.0,45.333333333333336,28,41,156,0,19,28,233,0,3,51,71,20.0,7.333333333333333,28.0,L
1995,17,Sun,1:00PM ET,41,11,18,27,105,0,17,29,275,0,7,49,57,17.0,0.0,38.0,26,28,134,0,28,45,325,3,9,70,76,16.4,9.0,50.5,W
1996,1,Sun,1:00PM ET,78,8,22,36,119,0,20,31,212,2,18,35,71,25.0,10.0,41.4,13,25,101,1,12,23,107,1,21,40,52,30.2,5.0,39.5,W
1996,2,Sun,1:00PM ET,82,8,26,21,72,1,27,38,302,2,4,55,61,26.666666666666668,23.5,48.0,21,31,181,1,14,22,226,0,6,60,54,33.25,0.0,43.5,L
1996,3,Sun,4:00PM ET,64,12,14,21,69,0,18,37,217,2,16,58,61,17.5,16.0,36.57142857142857,18,30,134,1,18,27,200,2,3,90,58,19.0,5.25,42.4,L
1996,4,Sun,1:00PM ET,63,10,12,11,29,1,23,39,432,1,19,148,52,24.0,16.0,40.6,26,31,123,1,27,44,255,1,25,30,79,20.0,23.333333333333332,38.0,L
1996,5,Sun,1:00PM ET,81,8,22,38,179,1,15,27,214,1,15,118,68,14.0,13.0,51.666666666666664,21,21,57,2,17,37,261,0,46,41,63,23.25,9.333333333333334,43.142857142857146,W
1996,6,Sun,4:00PM ET,70,0,22,34,141,2,28,35,250,0,9,99,70,18.5,17.5,41.0,11,19,36,0,15,28,161,1,0,68,47,29.5,8.0,36.666666666666664,L
1996,7,Sun,1:00PM ET,72,15,10,23,72,0,14,23,248,0,31,123,51,33.5,3.5,39.285714285714285,23,30,91,0,23,44,276,2,0,25,74,22.2,8.6,48.5,W
