year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,4:00PM ET,70,12,8,21,63,2,18,27,164,2,9,30,49,19.2,10.0,44.666666666666664,17,43,132,1,12,20,100,2,12,46,65,40.0,12.0,39.5,L
1970,2,Mon,9:00PM ET,61,9,11,36,153,3,9,12,152,1,10,92,49,16.5,23.75,45.6,26,24,81,2,22,51,301,5,73,35,82,26.166666666666668,7.0,42.857142857142854,W
1970,3,Sun,4:00PM ET,60,8,14,23,88,2,10,26,109,3,76,39,56,24.0,27.0,50.0,17,36,140,1,15,25,135,0,35,60,65,30.666666666666668,12.4,48.6,L
1970,4,Sun,4:00PM ET,57,9,20,49,272,3,8,17,85,2,11,93,67,15.0,2.6666666666666665,56.4,6,21,76,1,5,23,46,6,17,68,46,22.333333333333332,9.2,41.142857142857146,W
1970,5,Sun,4:00PM ET,45,4,14,31,116,0,9,22,176,0,18,44,56,28.5,20.5,40.888888888888886,15,22,82,0,23,47,180,1,6,92,70,26.5,13.25,47.57142857142857,W
1970,6,Sun,4:00PM ET,64,12,12,18,53,1,17,38,219,2,36,67,60,22.833333333333332,2.0,47.0,15,39,195,1,7,15,160,0,28,119,58,21.0,8.0,45.857142857142854,L
1970,7,Sun,4:00PM ET,40,4,16,34,164,1,8,14,174,1,17,154,50,16.0,12.0,46.8,22,36,163,0,13,28,125,0,10,95,66,25.0,5.333333333333333,42.0,T
1970,8,Sun,2:00PM ET,56,11,11,37,133,0,5,14,100,0,12,34,52,28.75,-3.0,46.166666666666664,14,21,74,0,21,43,252,3,0,33,64,21.666666666666668,9.666666666666666,39.4,W
1970,9,Sun,1:00PM ET,42,14,21,45,167,2,19,24,257,1,0,84,69,14.333333333333334,6.666666666666667,43.666666666666664,15,21,103,1,11,31,109,5,10,5,53,30.0,0.5,48.25,W
1970,10,Sun,4:00PM ET,42,13,11,43,169,1,5,15,54,2,11,32,60,28.0,13.0,38.25,17,36,153,3,13,23,119,1,0,48,59,17.5,3.0,39.666666666666664,T
1970,11,Sun,4:00PM ET,48,7,16,35,138,0,17,24,208,1,17,42,62,0.0,9.0,49.5,10,17,35,0,18,33,177,2,16,42,52,26.0,6.0,50.0,W
1970,12,Sun,2:00PM ET,32,8,8,32,204,0,7,19,64,0,46,39,56,28.0,8.0,41.285714285714285,7,20,76,1,9,21,115,5,45,47,47,23.25,9.714285714285714,40.375,W
1970,13,Sat,4:00PM ET,50,7,7,23,62,0,6,12,80,1,21,91,38,33.2,0.0,38.8,23,47,204,0,9,19,136,1,16,67,69,24.0,-2.0,36.5,L
1970,14,Sun,4:00PM ET,54,10,14,21,76,0,16,25,196,0,35,47,51,22.166666666666668,5.0,43.5,22,35,143,1,17,29,325,0,2,60,65,14.0,2.0,46.5,L
1971,1,Sun,4:00PM ET,73,12,17,34,116,0,12,23,171,2,56,72,61,12.0,1.4,45.875,21,26,102,0,18,38,286,1,32,85,68,27.0,6.166666666666667,43.833333333333336,L
1971,2,Sun,2:00PM ET,70,0,19,39,79,2,14,24,207,0,0,65,63,26.333333333333332,5.333333333333333,51.0,15,20,26,0,13,28,175,3,3,64,49,35.333333333333336,11.0,47.75,W
1971,3,Sun,4:00PM ET,47,10,11,33,93,2,9,21,91,1,25,55,56,34.0,10.666666666666666,54.5,9,27,62,1,14,28,168,4,8,85,56,20.0,2.25,43.166666666666664,W
1971,4,Sun,2:00PM ET,53,10,21,38,221,0,16,23,188,0,21,44,63,22.666666666666668,7.0,48.0,11,21,54,0,12,23,125,2,0,43,44,9.0,3.6666666666666665,46.5,W
1971,5,Mon,9:00PM ET,73,14,15,35,63,1,14,26,290,1,5,66,62,14.0,6.5,46.5,18,26,71,2,20,39,269,2,18,56,67,25.2,8.333333333333334,46.5,W
1971,6,Sun,4:00PM ET,62,6,20,39,162,0,10,23,203,2,40,20,67,21.4,3.5,47.8,16,25,99,1,15,38,220,1,15,72,65,28.5,6.0,44.0,W
1971,7,Sun,4:00PM ET,52,10,18,37,161,1,7,13,133,1,46,66,55,18.333333333333332,3.0,46.5,19,28,111,0,12,25,183,2,42,31,57,24.666666666666668,7.333333333333333,35.2,T
1971,8,Sun,1:00PM ET,53,19,10,31,95,1,13,25,111,2,16,28,58,24.75,0.0,45.0,11,37,136,0,3,9,19,0,10,20,48,24.0,6.333333333333333,33.833333333333336,L
1971,9,Sun,4:00PM ET,66,12,23,43,183,2,15,24,234,0,33,56,70,13.0,1.0,50.666666666666664,15,19,45,1,16,33,247,2,0,33,52,15.0,11.6,37.8,W
1971,10,Sun,2:00PM ET,44,14,16,32,132,2,12,22,288,1,33,45,57,29.0,2.3333333333333335,45.5,15,27,129,0,17,37,231,3,41,10,68,19.6,5.333333333333333,40.0,W
1971,11,Thu,12:00PM ET,29,9,19,25,119,1,14,23,162,1,23,50,50,23.571428571428573,0.0,25.0,22,35,158,0,15,22,225,2,2,54,58,16.4,0.0,0.0,L
1971,12,Mon,9:00PM ET,53,16,20,37,172,1,16,28,263,0,8,35,66,20.0,1.3333333333333333,45.333333333333336,18,24,112,0,20,32,229,1,10,41,57,23.25,21.0,34.166666666666664,W
1971,13,Sun,4:00PM ET,38,11,17,31,110,0,18,31,199,2,5,46,63,21.666666666666668,12.0,30.4,18,29,93,1,17,31,130,2,16,62,62,25.666666666666668,0.0,38.6,W
