year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,4:00PM ET,70,12,17,43,132,1,12,20,100,2,12,46,65,40.0,12.0,39.5,8,21,63,2,18,27,164,2,9,30,49,19.2,10.0,44.666666666666664,W
1970,2,Sun,2:00PM ET,50,9,12,41,106,1,12,28,190,1,5,40,70,0.0,7.25,43.333333333333336,8,25,60,2,15,35,71,2,0,74,60,18.333333333333332,6.666666666666667,42.5,W
1970,3,Sun,4:00PM ET,49,11,13,21,57,1,19,38,198,2,39,81,65,22.5,6.666666666666667,42.875,9,39,141,1,8,15,69,1,37,72,57,60.5,8.666666666666666,43.22222222222222,L
1970,4,Sun,2:00PM ET,49,9,17,34,142,2,17,33,219,1,19,101,69,29.0,2.5,41.166666666666664,9,18,62,3,19,35,112,3,37,45,57,13.2,6.75,41.5,W
1970,5,Sun,4:00PM ET,52,10,19,31,113,0,13,26,154,0,9,5,58,18.75,26.0,46.5,14,31,160,0,14,28,159,4,33,35,66,20.444444444444443,14.0,27.25,W
1970,6,Mon,9:00PM ET,51,11,12,51,146,2,5,9,46,0,20,30,62,31.0,2.0,34.0,5,23,66,4,10,22,61,1,27,48,49,20.2,8.428571428571429,35.0,W
1970,7,Sun,1:00PM ET,47,8,17,38,136,2,13,22,253,2,2,79,61,23.0,1.2,46.0,13,28,68,0,17,32,191,3,5,60,61,20.428571428571427,5.0,42.142857142857146,W
1970,8,Sun,1:00PM ET,45,4,14,36,110,0,5,21,53,0,0,20,57,32.333333333333336,0.0,38.0,21,33,155,1,18,25,201,0,22,20,61,15.5,-1.0,20.5,W
1970,9,Sun,2:00PM ET,25,9,17,28,85,1,13,30,228,1,24,20,62,14.0,0.0,36.666666666666664,15,34,126,0,10,17,102,2,43,15,57,38.75,12.0,28.0,W
1970,10,Sun,2:00PM ET,24,23,11,38,98,0,8,16,122,0,18,37,56,16.0,0.0,37.0,15,37,124,1,14,28,169,1,11,51,66,14.333333333333334,9.0,33.75,W
1970,11,Sun,1:00PM ET,48,13,11,18,59,0,10,27,128,4,20,5,48,21.2,3.2,41.5,15,51,187,0,8,12,106,0,32,42,67,19.666666666666668,5.0,37.0,L
1970,12,Sat,1:15PM ET,19,19,16,53,202,1,5,12,92,0,13,60,68,15.75,3.0,26.857142857142858,9,15,41,0,10,29,103,3,15,39,48,31.6,0.25,34.125,W
1970,13,Sun,12:00PM ET,25,17,28,38,112,4,22,32,317,0,0,62,70,18.333333333333332,4.0,30.0,15,24,66,1,15,29,128,3,12,30,55,18.333333333333332,0.0,36.0,W
1970,14,Sun,1:00PM ET,59,5,21,38,136,1,19,30,278,2,16,45,70,66.0,6.0,38.25,12,19,46,1,19,33,162,3,77,25,61,18.571428571428573,22.5,32.166666666666664,W
1971,1,Mon,9:00PM ET,62,10,14,29,43,2,19,32,232,2,0,65,61,18.0,7.0,39.0,15,38,160,2,8,26,61,0,0,52,64,16.0,8.8,42.25,W
1971,2,Sun,2:00PM ET,56,13,11,28,84,0,11,26,162,1,16,61,56,21.25,4.0,36.0,19,25,76,2,26,42,268,1,29,45,71,32.75,6.6,39.0,L
1971,3,Sun,2:00PM ET,53,13,23,52,193,1,12,21,150,2,17,47,75,18.0,3.5,30.75,7,18,56,1,12,20,67,2,59,8,45,19.25,0.0,41.6,W
1971,4,Sun,1:00PM ET,63,9,15,43,135,1,11,24,88,0,28,57,70,24.0,7.5,44.375,9,25,50,2,14,32,132,2,10,31,58,22.333333333333332,4.2,44.0,W
1971,5,Sun,4:00PM ET,55,10,17,28,98,0,17,33,182,1,10,20,62,30.666666666666668,9.0,44.714285714285715,19,37,121,2,12,25,230,3,9,20,63,17.0,8.75,46.2,W
1971,6,Mon,9:00PM ET,53,11,9,29,67,0,7,15,110,1,24,44,47,33.0,6.0,37.375,16,35,129,0,19,33,173,3,26,39,71,37.0,6.25,40.4,W
1971,7,Sun,1:00PM ET,60,13,13,25,117,1,16,33,180,1,19,35,60,26.333333333333332,7.4,41.0,13,37,125,1,20,30,144,0,17,15,69,24.0,5.0,44.333333333333336,W
1971,8,Sun,3:30PM ET,20,13,10,26,91,0,6,25,94,1,18,28,54,26.75,0.0,34.285714285714285,14,36,119,3,13,30,110,2,7,20,67,20.0,16.5,35.0,L
