year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:30PM ET,82,8,9,31,85,1,17,27,187,1,37,93,61,28.5,10.666666666666666,48.0,14,33,149,1,11,20,133,1,17,69,56,14.0,0.0,40.714285714285715,L
1970,2,Sun,2:00PM ET,50,9,8,25,60,2,15,35,71,2,0,74,60,18.333333333333332,6.666666666666667,42.5,12,41,106,1,12,28,190,1,5,40,70,0.0,7.25,43.333333333333336,L
1970,3,Sun,2:00PM ET,74,8,10,26,91,1,9,16,102,2,10,56,43,19.666666666666668,4.0,39.0,22,36,151,0,19,33,221,3,11,74,71,22.0,8.0,19.0,W
1970,4,Sun,2:00PM ET,50,7,19,27,130,0,13,38,220,2,8,36,66,18.0,0.0,42.42857142857143,17,30,196,1,18,31,255,2,19,91,63,17.333333333333332,6.75,45.8,L
1970,5,Sun,4:00PM ET,57,9,14,30,80,2,15,34,211,2,8,64,65,24.25,5.333333333333333,40.714285714285715,14,32,73,1,17,37,264,3,0,65,69,22.333333333333332,16.333333333333332,40.4,T
1970,6,Sun,1:00PM ET,62,10,12,22,96,2,15,28,177,1,1,89,51,18.8,1.0,42.25,20,41,127,1,16,22,147,1,0,46,63,16.0,44.0,37.666666666666664,L
1970,7,Sun,2:00PM ET,57,3,11,18,67,2,14,30,185,1,40,82,53,18.166666666666668,15.0,37.42857142857143,21,32,148,3,23,36,275,2,15,77,70,32.0,15.0,38.5,L
1970,8,Sun,2:00PM ET,65,10,15,33,131,0,16,28,141,0,0,124,61,21.666666666666668,14.0,43.5,18,35,135,3,13,25,158,3,15,31,61,19.5,7.0,31.333333333333332,W
1970,9,Sun,1:00PM ET,77,12,18,36,128,1,13,23,197,2,6,55,60,6.0,1.0,49.6,20,35,181,4,15,19,225,0,0,43,54,30.0,8.0,50.0,L
1970,10,Sun,1:00PM ET,59,7,11,19,49,1,20,34,238,2,24,96,56,11.25,8.4,47.0,25,37,150,0,18,33,312,1,10,78,71,13.666666666666666,2.25,45.6,L
1970,11,Sun,1:00PM ET,52,12,15,25,70,3,20,37,329,2,37,70,67,26.0,5.0,44.0,17,34,149,0,12,27,174,1,26,44,64,44.0,6.0,45.0,L
1970,12,Sun,4:00PM ET,63,8,15,22,75,0,17,32,195,0,15,58,56,21.0,3.3333333333333335,41.142857142857146,25,29,109,0,23,46,336,0,0,97,75,24.75,13.6,41.0,L
1970,13,Sun,2:00PM ET,47,12,17,34,105,3,15,22,261,1,13,103,57,19.714285714285715,0.0,52.5,19,34,113,1,15,22,227,0,10,50,57,16.75,7.5,35.25,L
1970,14,Sun,2:00PM ET,65,7,9,23,48,0,14,31,176,4,33,29,58,22.0,17.666666666666668,37.875,19,20,104,0,26,51,280,4,8,70,72,23.0,6.166666666666667,39.833333333333336,L
1971,1,Sun,2:00PM ET,78,5,21,41,122,0,16,29,218,1,64,36,77,21.0,6.0,41.6,11,26,118,1,11,30,164,0,20,124,58,23.5,16.5,45.42857142857143,W
1971,2,Sun,2:00PM ET,80,7,16,28,90,1,14,30,222,1,49,55,66,27.666666666666668,0.0,41.5,17,36,194,0,10,22,125,2,0,91,58,20.0,5.0,48.0,L
1971,3,Sun,2:00PM ET,70,0,16,36,184,0,8,20,112,2,33,70,61,26.0,5.6,45.375,13,26,107,0,9,25,167,3,11,35,52,15.25,4.0,44.0,T
1971,4,Sun,2:00PM ET,51,11,18,20,75,2,16,33,224,2,36,35,57,22.0,0.0,46.333333333333336,26,47,202,2,16,28,265,1,40,47,79,14.5,4.333333333333333,26.0,L
1971,5,Sun,2:00PM ET,75,5,10,31,108,1,6,15,83,1,34,63,50,14.5,7.666666666666667,41.57142857142857,20,31,96,3,17,34,230,3,26,58,70,26.8,2.8,49.2,W
1971,6,Sun,1:00PM ET,66,7,15,15,58,0,14,41,163,2,19,62,59,22.0,0.0,45.5,25,53,284,0,9,16,94,1,14,102,70,22.0,7.25,38.0,L
1971,7,Sun,1:00PM ET,68,5,16,31,106,0,12,27,163,1,57,123,64,17.6,0.0,42.888888888888886,21,37,173,4,13,22,204,2,0,61,59,16.666666666666668,5.666666666666667,40.0,L
1971,8,Sun,2:00PM ET,61,13,26,48,212,2,14,29,170,1,9,60,78,19.333333333333332,8.333333333333334,44.0,13,34,134,1,6,12,114,1,8,105,47,25.5,3.0,45.8,T
