year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:00PM ET,66,12,18,36,184,0,12,23,139,1,22,32,61,14.5,12.5,39.666666666666664,15,25,95,1,13,32,199,2,80,64,65,17.166666666666668,11.0,46.6,W
1970,2,Sun,1:00PM ET,69,16,12,18,70,0,11,24,153,3,14,25,44,21.5,62.0,32.0,18,45,187,2,9,20,96,0,0,15,65,16.25,-2.0,36.8,L
1970,3,Sun,1:00PM ET,59,17,12,17,60,1,17,38,236,0,56,78,60,19.5,6.666666666666667,37.5,14,32,98,1,14,24,194,0,56,102,62,15.666666666666666,3.0,48.0,L
1970,4,Sun,4:00PM ET,57,9,6,21,76,1,5,23,46,6,17,68,46,22.333333333333332,9.2,41.142857142857146,20,49,272,3,8,17,85,2,11,93,67,15.0,2.6666666666666665,56.4,L
1970,5,Sun,1:00PM ET,46,22,14,27,93,2,10,22,88,1,26,59,52,18.75,0.0,37.5,13,41,122,0,8,14,103,0,1,50,56,31.5,7.0,23.5,L
1970,6,Sun,2:00PM ET,61,6,12,17,45,0,17,32,190,4,65,97,57,19.166666666666668,6.333333333333333,40.8,14,27,101,1,14,25,192,0,21,119,55,40.5,1.6,43.6,L
1970,7,Sun,1:00PM ET,48,8,19,26,100,3,18,38,181,2,30,60,67,21.125,3.0,38.166666666666664,18,34,215,2,11,17,170,0,21,108,53,33.0,22.0,39.25,L
1970,8,Sun,2:00PM ET,49,10,19,21,36,1,20,47,203,3,44,86,71,27.5,3.25,40.25,15,32,151,0,10,22,132,1,0,75,54,19.0,15.666666666666666,46.333333333333336,L
1970,9,Sun,1:00PM ET,44,17,15,33,95,2,9,17,110,0,26,80,53,25.333333333333332,5.0,37.5,15,28,29,0,16,36,238,0,0,80,64,9.25,0.0,38.8,L
1970,10,Sun,1:00PM ET,50,15,5,17,23,1,5,22,85,0,28,61,43,17.0,20.0,40.857142857142854,19,44,152,0,13,22,160,2,19,64,68,18.5,8.0,45.25,L
1970,11,Sun,1:00PM ET,40,11,10,33,58,1,8,18,117,3,8,56,52,17.0,5.25,43.857142857142854,12,23,95,1,18,37,255,1,25,159,64,22.0,8.8,43.42857142857143,W
1970,12,Sun,1:00PM ET,69,8,19,23,67,0,22,35,198,0,22,67,60,23.6,4.5,43.833333333333336,18,40,208,2,11,19,102,0,9,65,60,30.75,9.6,45.0,L
1970,13,Sun,12:00PM ET,25,17,15,24,66,1,15,29,128,3,12,30,55,18.333333333333332,0.0,36.0,28,38,112,4,22,32,317,0,0,62,70,18.333333333333332,4.0,30.0,L
1970,14,Sun,1:00PM ET,36,10,8,21,67,0,7,24,101,2,19,50,47,19.833333333333332,9.5,35.857142857142854,23,45,237,0,10,17,187,0,0,40,62,11.5,4.25,49.25,L
1971,1,Sun,1:00PM ET,63,13,12,37,134,2,6,15,127,1,0,37,52,20.0,3.6666666666666665,41.8,20,36,205,3,11,31,122,1,23,80,69,25.25,4.5,41.666666666666664,W
