year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sat,8:00PM ET,71,13,16,21,58,1,23,39,277,2,24,38,62,21.5,4.0,37.75,18,37,98,2,16,30,182,1,24,50,69,45.75,5.5,42.0,L
1970,2,Sun,2:00PM ET,61,11,15,25,99,1,14,36,157,2,18,60,64,19.5,5.0,51.333333333333336,24,41,199,1,14,24,191,1,30,36,69,25.333333333333332,0.0,47.333333333333336,L
1970,3,Sun,2:00PM ET,74,8,22,36,151,0,19,33,221,3,11,74,71,22.0,8.0,19.0,10,26,91,1,9,16,102,2,10,56,43,19.666666666666668,4.0,39.0,L
1970,4,Sun,1:00PM ET,64,9,17,30,174,1,16,30,193,1,37,60,64,17.75,12.5,36.833333333333336,16,27,94,1,14,38,273,3,0,82,65,22.5,-0.5,36.285714285714285,W
1970,5,Sun,1:00PM ET,46,22,13,41,122,0,8,14,103,0,1,50,56,31.5,7.0,23.5,14,27,93,2,10,22,88,1,26,59,52,18.75,0.0,37.5,W
1970,6,Sun,1:00PM ET,59,11,20,32,103,1,16,19,286,0,18,20,54,37.333333333333336,8.0,33.666666666666664,19,27,126,0,15,40,209,2,6,7,68,20.0,1.0,41.25,W
1970,7,Sun,1:00PM ET,53,11,15,37,100,0,11,22,153,0,13,25,60,12.25,0.0,48.2,16,29,102,2,13,17,166,2,31,73,52,25.666666666666668,11.0,35.5,W
1970,8,Sun,1:00PM ET,52,12,20,41,202,3,15,26,170,0,34,30,71,19.4,6.25,43.5,9,25,102,0,10,22,191,0,30,51,51,23.5,0.0,43.714285714285715,W
1970,9,Sun,1:00PM ET,51,15,29,38,186,0,23,34,320,2,21,37,75,20.0,17.0,21.5,17,28,167,0,14,27,249,1,5,35,56,25.6,0.0,42.333333333333336,W
1970,10,Mon,9:00PM ET,46,16,17,30,109,3,15,30,178,0,0,35,60,19.5,0.0,43.333333333333336,18,39,117,2,12,17,173,0,9,46,57,36.75,3.0,33.0,L
1970,11,Sun,1:00PM ET,48,6,23,33,150,0,24,36,267,1,16,91,72,20.0,5.666666666666667,41.0,18,27,167,0,18,29,203,2,14,62,57,21.8,4.0,44.25,W
1970,12,Sun,1:00PM ET,37,22,15,35,151,3,11,19,141,0,22,40,58,32.5,0.0,45.0,13,24,73,1,15,31,174,1,67,70,62,13.5,-3.5,37.0,W
1970,13,Sun,2:00PM ET,33,15,22,46,144,0,14,21,242,0,25,66,72,20.25,2.0,38.25,13,19,71,1,13,30,291,1,18,15,52,18.714285714285715,2.5,36.5,W
1970,14,Sun,1:00PM ET,46,20,13,20,50,1,21,44,184,1,18,15,66,28.5,-2.0,38.833333333333336,18,43,192,0,13,21,158,0,9,33,65,19.0,6.75,39.333333333333336,L
1971,1,Sun,2:00PM ET,52,9,12,31,102,0,13,21,236,1,15,25,54,26.0,12.0,32.8,17,30,124,4,15,26,224,1,0,28,56,30.625,2.6666666666666665,35.0,W
1971,2,Sun,1:00PM ET,62,8,13,25,68,0,14,30,139,2,51,72,60,15.8,0.0,42.333333333333336,19,30,126,0,23,32,309,0,8,178,63,23.0,8.5,38.4,L
1971,3,Sun,4:00PM ET,73,10,16,32,81,0,20,32,239,2,19,65,66,40.0,6.666666666666667,41.8,14,30,129,3,10,22,186,1,10,45,53,11.25,3.75,41.0,W
1971,4,Mon,9:00PM ET,64,7,18,21,67,5,26,46,294,0,29,33,71,19.4,0.0,42.8,21,45,222,5,11,23,185,1,6,85,69,19.25,10.0,47.0,L
1971,5,Sun,1:00PM ET,63,13,15,23,87,2,18,33,188,3,24,23,59,32.0,10.0,46.5,19,37,241,0,10,22,135,0,13,52,61,22.0,4.0,47.0,L
1971,6,Sun,1:00PM ET,63,20,16,29,165,4,11,26,100,1,29,35,58,18.0,0.0,37.666666666666664,15,40,169,0,6,20,43,1,0,20,60,14.0,22.5,47.666666666666664,L
1971,7,Sun,1:00PM ET,60,13,13,37,125,1,20,30,144,0,17,15,69,24.0,5.0,44.333333333333336,13,25,117,1,16,33,180,1,19,35,60,26.333333333333332,7.4,41.0,L
1971,8,Sun,1:00PM ET,53,19,21,37,157,1,16,20,270,0,10,95,58,26.5,2.0,32.5,18,21,92,0,19,35,240,3,13,40,57,20.6,1.0,39.4,W
1971,9,Sun,1:00PM ET,59,8,19,39,172,2,14,26,152,1,0,63,65,20.333333333333332,3.0,49.75,13,28,80,0,11,20,167,2,28,45,52,22.333333333333332,3.5,39.2,W
1971,10,Sun,1:00PM ET,35,19,22,29,146,1,27,41,302,2,29,40,73,20.0,9.0,31.5,11,24,115,0,12,20,75,0,15,10,45,49.5,1.0,41.5,L
1971,11,Sun,1:00PM ET,44,13,15,24,74,2,18,34,228,4,17,65,61,22.25,0.0,39.25,21,41,207,1,7,17,137,2,0,50,58,17.0,2.6666666666666665,38.0,L
