year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Mon,9:00PM ET,75,13,31,34,168,1,19,33,305,3,19,161,69,26.0,2.5,34.5,20,30,76,0,12,27,145,0,0,101,57,49.0,0.0,46.6,L
1970,2,Sun,1:00PM ET,69,16,18,45,187,2,9,20,96,0,0,15,65,16.25,-2.0,36.8,12,18,70,0,11,24,153,3,14,25,44,21.5,62.0,32.0,W
1970,3,Sun,1:00PM ET,50,14,11,32,109,0,12,26,228,0,0,97,58,24.0,16.0,36.0,20,36,149,3,12,21,317,2,65,46,62,36.8,8.0,29.6,L
1970,4,Sat,8:45PM ET,66,9,14,12,39,0,17,40,240,3,16,61,54,18.4,0.0,39.0,20,38,117,0,14,24,224,1,29,36,66,18.666666666666668,1.6666666666666667,28.666666666666668,L
1970,5,Sun,1:00PM ET,51,15,22,17,37,0,34,62,397,6,36,108,82,21.4,12.666666666666666,45.0,14,31,78,1,12,24,206,3,30,41,59,22.75,0.0,47.0,L
1970,6,Sun,1:00PM ET,59,11,10,35,86,1,7,16,63,1,30,68,54,19.0,4.0,45.25,15,25,89,0,10,24,163,2,59,97,55,10.333333333333334,8.375,40.833333333333336,L
1970,7,Sun,1:00PM ET,53,11,16,29,102,2,13,17,166,2,31,73,52,25.666666666666668,11.0,35.5,15,37,100,0,11,22,153,0,13,25,60,12.25,0.0,48.2,L
1970,8,Sun,1:00PM ET,46,7,20,29,104,1,15,44,181,2,39,59,78,25.5,4.0,44.55555555555556,14,38,154,2,7,21,123,0,0,76,59,14.75,1.6666666666666667,42.625,L
1970,9,Sun,4:00PM ET,68,11,15,44,153,2,10,17,261,0,28,70,65,10.8,2.6666666666666665,35.714285714285715,12,20,51,1,16,48,274,3,0,44,68,13.5,6.142857142857143,39.0,W
1970,10,Sun,1:00PM ET,50,15,19,44,152,0,13,22,160,2,19,64,68,18.5,8.0,45.25,5,17,23,1,5,22,85,0,28,61,43,17.0,20.0,40.857142857142854,W
1970,11,Sun,1:00PM ET,48,13,15,51,187,0,8,12,106,0,32,42,67,19.666666666666668,5.0,37.0,11,18,59,0,10,27,128,4,20,5,48,21.2,3.2,41.5,W
1970,12,Sun,1:00PM ET,37,22,12,44,158,1,9,22,99,1,0,134,66,14.0,0.0,37.666666666666664,16,24,71,1,15,44,189,2,10,25,69,27.25,6.0,29.285714285714285,L
1970,13,Sun,4:00PM ET,75,6,14,26,128,1,10,24,91,2,5,30,51,8.0,12.0,49.75,19,40,144,1,10,18,141,2,16,18,60,11.666666666666666,9.5,45.333333333333336,L
1970,14,Sat,3:00PM ET,43,5,13,21,43,0,17,31,199,0,30,40,55,26.8,3.0,37.375,23,36,102,1,20,37,379,1,24,55,76,16.25,24.0,35.666666666666664,L
1971,1,Sun,4:00PM ET,73,8,7,18,43,0,12,24,108,0,33,79,46,22.8,-3.0,40.90909090909091,16,43,253,1,7,17,71,0,5,35,61,25.0,20.5,37.666666666666664,L
1971,2,Mon,9:00PM ET,79,13,18,31,118,0,16,28,151,0,30,25,61,34.0,12.0,36.0,15,36,118,0,11,23,222,1,0,66,59,28.666666666666668,5.0,44.0,L
1971,3,Sun,1:00PM ET,82,11,13,42,134,0,9,21,95,1,8,75,64,22.5,9.666666666666666,45.142857142857146,14,32,163,2,9,23,146,1,12,50,56,20.5,5.25,41.75,W
1971,4,Sun,1:00PM ET,60,13,11,33,113,2,4,25,20,0,12,49,60,13.5,0.0,37.8,15,36,207,2,10,22,141,0,11,102,59,20.0,3.8333333333333335,41.0,L
1971,5,Sun,1:00PM ET,63,13,20,52,191,0,7,12,140,0,0,35,65,20.0,7.0,34.0,14,23,83,0,11,33,198,2,10,43,57,34.0,0.0,47.75,W
1971,6,Sun,1:00PM ET,60,17,16,32,132,1,8,24,133,0,32,16,60,19.666666666666668,0.0,38.0,19,44,302,0,5,18,68,0,9,87,63,27.5,15.0,30.4,L
1971,7,Sun,4:00PM ET,57,10,19,30,169,1,11,23,118,3,24,56,56,19.125,0.0,40.8,20,31,165,1,19,28,358,1,0,100,59,22.0,12.5,45.333333333333336,L
1971,8,Sun,1:00PM ET,53,19,11,37,136,0,3,9,19,0,10,20,48,24.0,6.333333333333333,33.833333333333336,10,31,95,1,13,25,111,2,16,28,58,24.75,0.0,45.0,W
1971,9,Sun,1:00PM ET,37,12,9,29,75,0,9,21,130,3,17,68,52,18.666666666666668,11.4,35.125,15,37,119,3,9,25,137,0,67,30,69,15.5,0.0,40.0,L
1971,10,Sun,1:00PM ET,34,14,10,42,153,0,6,14,81,1,3,73,57,26.0,0.0,40.714285714285715,12,23,78,1,13,33,150,5,31,30,60,24.5,1.6666666666666667,39.0,W
1971,11,Sun,1:00PM ET,44,13,21,30,118,1,12,30,275,2,0,58,60,24.2,0.0,35.25,20,45,263,1,5,13,88,0,0,55,58,18.5,0.0,30.6,L
1971,12,Sat,4:00PM ET,42,7,12,30,130,3,6,20,27,3,8,20,51,20.22222222222222,3.0,41.333333333333336,26,37,218,1,14,21,243,0,22,34,60,47.333333333333336,17.5,23.0,L
1971,13,Sun,1:00PM ET,45,7,17,44,166,2,7,12,95,2,0,35,56,20.333333333333332,8.5,45.0,16,27,100,1,18,31,176,1,26,75,62,37.0,3.6666666666666665,27.666666666666668,W
1971,14,Sun,1:00PM ET,25,17,18,35,210,1,9,15,164,1,0,63,50,21.666666666666668,0.0,48.0,23,27,138,0,19,30,176,0,21,79,60,22.2,0.0,36.0,W
1972,1,Sun,1:00PM ET,73,25,19,47,191,0,6,16,120,1,18,35,64,27.5,65.0,35.666666666666664,16,25,80,0,16,26,236,4,29,78,55,26.2,7.0,42.0,W
