year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:00PM ET,65,8,17,41,172,0,11,25,138,0,5,50,67,7.333333333333333,8.75,43.125,11,22,71,0,10,30,163,1,20,43,55,30.333333333333332,-4.6,45.875,W
1970,2,Sun,2:00PM ET,70,0,19,22,126,3,16,32,192,0,11,45,55,26.2,0.0,33.666666666666664,20,44,157,0,10,17,138,1,11,35,62,17.0,4.5,37.0,L
1970,3,Sun,1:00PM ET,51,7,14,29,73,0,17,28,205,4,39,65,61,25.0,3.2,45.5,12,27,71,0,14,32,210,2,33,104,63,23.333333333333332,10.333333333333334,45.333333333333336,W
1970,4,Sun,4:00PM ET,70,0,24,33,94,1,20,34,294,0,23,83,69,12.6,4.5,41.5,18,27,74,1,15,30,227,1,0,35,57,27.5,11.666666666666666,49.2,L
1970,5,Sun,2:00PM ET,70,0,17,36,135,1,20,36,160,3,36,113,74,28.5,7.833333333333333,43.57142857142857,11,28,55,0,10,22,216,4,30,70,53,27.0,6.0,45.42857142857143,L
1970,6,Sun,4:00PM ET,63,10,25,45,185,3,21,36,266,0,3,94,82,29.75,22.333333333333332,44.0,16,25,76,0,8,22,196,2,39,63,52,26.5,8.5,44.285714285714285,T
1970,7,Sun,2:00PM ET,44,5,9,23,79,1,13,30,122,2,41,41,59,20.857142857142858,0.0,42.44444444444444,20,39,180,0,16,27,281,0,7,70,67,26.0,7.0,35.75,L
1970,8,Sun,2:00PM ET,56,11,14,21,74,0,21,43,252,3,0,33,64,21.666666666666668,9.666666666666666,39.4,11,37,133,0,5,14,100,0,12,34,52,28.75,-3.0,46.166666666666664,L
1970,9,Sun,2:00PM ET,70,0,16,28,103,0,18,35,174,0,9,35,64,26.0,4.0,41.857142857142854,17,35,171,0,15,26,205,1,0,127,61,21.5,22.166666666666668,42.75,L
1970,10,Sun,1:00PM ET,44,23,23,35,178,1,20,37,168,3,20,44,75,23.333333333333332,0.0,41.0,18,37,126,0,10,22,229,0,7,45,60,0.0,13.0,46.5,L
1970,11,Sun,3:00PM ET,70,0,12,35,98,2,15,25,250,1,16,102,62,11.666666666666666,3.6666666666666665,42.875,14,20,83,2,10,32,196,3,32,50,57,28.25,14.2,43.22222222222222,W
1970,12,Mon,9:00PM ET,70,0,11,23,110,0,11,28,122,1,9,47,53,27.5,3.0,42.25,20,45,194,2,15,27,161,2,11,4,73,0.0,3.4,47.0,L
1970,13,Sun,2:00PM ET,70,0,19,21,43,2,27,54,315,2,5,56,76,30.0,3.25,48.75,17,39,194,1,11,21,164,0,20,87,62,12.5,1.5,44.0,L
1970,14,Sun,2:00PM ET,44,8,12,27,86,1,8,27,110,4,45,25,61,17.88888888888889,0.5,40.625,22,41,208,2,15,22,365,1,24,66,66,29.0,8.666666666666666,42.8,L
1971,1,Sun,1:00PM ET,63,8,11,15,35,1,17,39,245,5,37,65,59,22.8,5.0,42.666666666666664,21,34,108,1,19,39,280,1,11,72,74,0.0,4.5,43.6,L
1971,2,Sun,2:00PM ET,70,0,15,20,26,0,13,28,175,3,3,64,49,35.333333333333336,11.0,47.75,19,39,79,2,14,24,207,0,0,65,63,26.333333333333332,5.333333333333333,51.0,L
1971,3,Sun,2:00PM ET,70,0,13,26,107,0,9,25,167,3,11,35,52,15.25,4.0,44.0,16,36,184,0,8,20,112,2,33,70,61,26.0,5.6,45.375,T
1971,4,Sun,1:00PM ET,57,9,13,21,46,2,16,35,160,3,14,35,58,17.5,1.0,44.714285714285715,11,40,115,2,10,21,136,0,0,63,61,12.0,12.285714285714286,36.2,L
1971,5,Sun,2:00PM ET,70,0,13,24,86,1,15,40,209,4,0,144,64,23.8,3.0,33.57142857142857,20,43,230,2,9,16,197,1,42,98,63,23.0,9.0,46.4,L
