year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:00PM ET,67,7,13,30,104,1,10,23,138,3,17,20,55,16.25,5.0,38.0,20,40,198,2,11,17,115,1,16,78,59,22.0,14.0,49.5,L
1970,2,Sun,2:00PM ET,52,9,19,34,91,1,24,33,257,0,25,104,70,15.333333333333334,4.0,33.714285714285715,12,19,37,1,19,29,151,0,7,79,50,37.25,4.333333333333333,45.666666666666664,L
1970,3,Sun,1:00PM ET,58,12,15,24,136,2,11,23,141,2,40,49,50,17.166666666666668,0.0,42.666666666666664,21,39,177,1,14,28,139,0,0,21,67,19.75,-2.6666666666666665,40.75,L
1970,4,Sun,1:00PM ET,64,9,16,27,94,1,14,38,273,3,0,82,65,22.5,-0.5,36.285714285714285,17,30,174,1,16,30,193,1,37,60,64,17.75,12.5,36.833333333333336,L
1970,5,Sun,1:00PM ET,53,14,17,28,146,2,18,40,171,1,39,69,72,14.2,2.6666666666666665,39.57142857142857,17,33,198,1,7,25,124,1,23,117,61,19.75,0.0,40.55555555555556,L
1970,6,Sun,2:00PM ET,54,10,15,37,148,2,13,27,176,3,13,35,65,30.6,9.0,37.25,15,32,127,3,9,20,142,0,28,46,55,22.25,0.0,38.5,L
1970,7,Sun,2:00PM ET,56,10,20,40,151,0,16,38,258,4,13,80,81,21.5,3.1666666666666665,35.333333333333336,8,25,46,1,10,20,240,0,8,72,46,18.75,0.0,39.875,L
1970,8,Sun,1:00PM ET,53,11,17,40,113,1,15,29,187,1,9,58,70,14.75,4.0,36.25,14,24,117,0,11,29,162,4,34,62,57,21.4,2.0,40.833333333333336,W
1970,9,Sun,1:00PM ET,53,14,15,26,78,0,17,28,170,0,18,97,56,16.25,3.3333333333333335,39.0,15,32,124,1,10,16,143,1,31,143,53,22.0,3.6666666666666665,41.666666666666664,T
1970,10,Mon,9:00PM ET,46,16,18,39,117,2,12,17,173,0,9,46,57,36.75,3.0,33.0,17,30,109,3,15,30,178,0,0,35,60,19.5,0.0,43.333333333333336,W
1970,11,Sun,3:00PM ET,53,13,19,33,106,1,17,28,182,1,12,30,63,25.0,7.0,36.4,17,40,156,0,12,21,210,1,29,92,64,17.0,7.5,42.5,L
1970,12,Sun,2:00PM ET,38,22,9,27,97,1,14,29,94,3,5,20,57,19.5,-2.0,36.5,13,39,148,1,10,18,113,1,12,41,58,18.333333333333332,0.0,30.666666666666668,L
