year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:00PM ET,65,8,11,22,71,0,10,30,163,1,20,43,55,30.333333333333332,-4.6,45.875,17,41,172,0,11,25,138,0,5,50,67,7.333333333333333,8.75,43.125,L
1970,2,Sun,4:00PM ET,49,7,14,28,18,2,16,31,260,1,33,41,62,0.0,6.6,45.2,12,35,82,2,12,25,178,2,34,51,64,20.333333333333332,5.0,43.57142857142857,L
1970,3,Sat,9:00PM ET,54,16,17,26,134,1,13,29,207,3,78,83,62,56.5,11.5,32.666666666666664,8,34,69,0,4,21,130,2,0,46,55,24.0,1.5,44.285714285714285,L
1970,4,Sun,1:00PM ET,59,7,12,40,171,0,7,22,50,0,12,62,63,24.333333333333332,7.333333333333333,45.625,16,24,85,2,17,37,257,3,57,82,66,12.6,4.166666666666667,42.5,W
1970,5,Sun,2:00PM ET,70,0,11,28,55,0,10,22,216,4,30,70,53,27.0,6.0,45.42857142857143,17,36,135,1,20,36,160,3,36,113,74,28.5,7.833333333333333,43.57142857142857,W
1970,6,Sun,4:00PM ET,55,8,24,29,128,1,15,37,182,4,44,108,71,18.5,6.0,47.333333333333336,15,38,162,1,10,17,194,1,10,131,56,21.666666666666668,8.8,39.8,L
1970,7,Mon,9:00PM ET,55,10,13,32,86,1,12,24,195,0,0,73,56,0.0,7.4,54.0,18,32,139,1,16,30,160,2,17,67,65,27.75,7.6,47.333333333333336,W
1970,8,Sun,1:00PM ET,46,7,14,38,154,2,7,21,123,0,0,76,59,14.75,1.6666666666666667,42.625,20,29,104,1,15,44,181,2,39,59,78,25.5,4.0,44.55555555555556,W
1970,9,Sun,1:00PM ET,42,14,15,21,103,1,11,31,109,5,10,5,53,30.0,0.5,48.25,21,45,167,2,19,24,257,1,0,84,69,14.333333333333334,6.666666666666667,43.666666666666664,L
1970,10,Sun,1:00PM ET,47,16,23,26,138,2,16,43,183,4,0,50,69,19.25,5.0,43.0,17,41,186,1,10,18,146,0,0,40,60,30.0,-2.3333333333333335,44.833333333333336,L
1970,11,Sun,1:00PM ET,45,10,15,38,168,2,10,17,266,0,9,98,56,26.75,-5.0,43.2,16,23,42,0,15,39,157,1,28,5,65,19.2,14.666666666666666,35.42857142857143,W
1970,12,Sun,1:00PM ET,23,22,13,33,131,1,8,34,143,5,0,19,67,21.5,1.5,43.0,14,33,82,2,14,32,235,2,0,15,65,35.0,2.0,37.166666666666664,L
1970,13,Sun,1:00PM ET,42,13,14,37,99,1,8,28,110,5,16,35,67,23.6,7.0,46.2,11,41,147,0,7,16,86,2,12,10,58,20.75,5.333333333333333,37.166666666666664,L
1970,14,Sun,1:00PM ET,44,14,10,34,259,2,7,15,105,0,23,72,51,18.0,52.0,17.333333333333332,23,35,107,2,21,29,276,2,0,37,64,24.6,0.0,32.0,L
1971,1,Sun,2:00PM ET,63,12,15,43,223,3,10,24,129,4,0,64,67,16.75,9.0,47.4,8,21,45,3,16,29,124,1,28,60,54,28.2,17.0,42.625,L
1971,2,Sun,1:00PM ET,59,7,15,29,80,2,18,30,249,1,41,95,64,24.666666666666668,13.142857142857142,43.77777777777778,15,18,28,0,23,43,266,1,41,35,66,20.333333333333332,11.0,48.3,W
1971,3,Sun,1:00PM ET,68,7,16,27,125,1,15,24,175,0,18,85,54,19.0,0.0,45.0,28,39,169,2,25,36,283,2,25,83,77,22.0,1.8,43.0,W
1971,4,Sun,1:00PM ET,48,9,11,20,110,0,13,28,136,1,24,98,51,16.4,22.5,43.0,20,40,131,2,18,27,236,1,17,25,69,24.0,6.4,45.25,L
1971,5,Mon,9:00PM ET,73,14,18,26,71,2,20,39,269,2,18,56,67,25.2,8.333333333333334,46.5,15,35,63,1,14,26,290,1,5,66,62,14.0,6.5,46.5,L
1971,6,Sun,1:00PM ET,60,12,26,37,165,1,21,33,279,4,25,113,72,17.0,0.0,48.0,19,26,92,1,17,34,191,1,11,84,61,26.0,0.0,45.4,W
1971,7,Sun,2:00PM ET,67,5,14,16,26,1,20,35,187,1,32,40,54,22.0,3.75,44.75,19,32,71,1,18,34,318,1,6,51,67,14.5,7.333333333333333,41.75,L
1971,8,Sun,1:00PM ET,31,17,21,48,230,0,7,21,163,1,0,79,69,15.0,4.333333333333333,47.333333333333336,11,32,129,1,10,22,114,2,33,44,57,19.333333333333332,6.666666666666667,33.285714285714285,W
1971,9,Sun,1:00PM ET,72,15,17,24,69,1,25,37,253,3,34,80,65,14.0,-2.0,45.57142857142857,11,33,120,2,9,16,232,2,43,65,53,26.0,11.666666666666666,39.25,L
1971,10,Sun,1:00PM ET,35,19,11,24,115,0,12,20,75,0,15,10,45,49.5,1.0,41.5,22,29,146,1,27,41,302,2,29,40,73,20.0,9.0,31.5,W
1971,11,Sun,1:00PM ET,37,13,12,33,158,2,9,29,100,1,33,15,66,24.2,7.75,38.833333333333336,14,37,126,1,14,25,161,1,11,30,64,23.0,6.333333333333333,38.625,L
1971,12,Sun,2:00PM ET,70,0,10,20,73,0,14,33,111,3,52,70,58,25.0,7.0,42.875,15,41,147,0,13,23,148,0,20,40,66,29.0,5.666666666666667,38.25,L
1971,13,Sun,1:00PM ET,40,10,16,36,126,2,10,27,157,1,11,55,65,33.5,6.0,41.142857142857146,14,25,126,3,18,30,247,2,25,117,58,19.0,11.0,40.0,W
1971,14,Sun,1:00PM ET,27,12,24,33,187,1,20,34,163,4,19,38,70,24.5,0.0,40.666666666666664,14,32,89,0,13,22,148,0,0,44,54,37.333333333333336,-1.0,39.8,L
1972,1,Sun,1:00PM ET,72,13,17,41,141,1,7,17,124,3,18,48,61,9.0,17.0,48.4,20,30,97,2,17,33,290,3,17,48,65,23.0,6.666666666666667,31.857142857142858,W
1972,2,Sun,1:00PM ET,69,9,14,24,74,3,18,34,170,0,39,78,62,21.5,0.5,48.333333333333336,13,39,121,3,13,27,157,1,9,100,67,23.5,10.0,45.0,L
1972,3,Sun,2:00PM ET,58,10,20,32,153,1,25,40,229,1,20,59,74,28.333333333333332,0.0,37.5,15,22,58,0,15,35,199,4,9,50,59,20.333333333333332,10.0,45.5,W
1972,4,Sun,2:00PM ET,68,8,14,26,130,1,12,39,166,1,24,54,68,40.0,7.333333333333333,43.8,21,40,191,2,12,30,197,2,21,79,72,25.333333333333332,1.5,40.5,L
1972,5,Sun,4:00PM ET,47,14,18,48,249,0,9,19,70,0,24,65,70,15.0,7.0,39.285714285714285,7,25,108,0,10,22,40,1,40,42,52,23.25,-1.3333333333333333,38.1,W
1972,6,Sun,1:00PM ET,52,9,19,40,243,1,9,14,196,0,13,38,56,24.0,9.0,49.5,17,24,127,1,16,32,225,3,76,101,63,20.714285714285715,5.0,36.4,W
1972,7,Sun,1:00PM ET,47,10,18,33,216,0,9,17,93,1,0,64,50,37.25,0.0,43.333333333333336,24,38,254,0,18,29,168,4,4,23,68,24.8,-18.0,36.5,W
1972,8,Sun,1:00PM ET,44,10,20,30,230,0,11,24,195,0,10,35,56,21.666666666666668,35.0,39.5,21,33,145,2,17,28,230,1,9,53,63,18.0,4.0,39.4,W
1972,9,Sun,1:00PM ET,41,9,15,40,238,2,8,20,92,3,12,31,62,27.0,8.6,35.666666666666664,16,29,75,2,17,36,161,1,53,50,70,19.0,3.0,45.42857142857143,W
1972,10,Sun,1:00PM ET,37,8,15,29,211,1,10,21,136,1,33,49,54,22.5,3.0,43.166666666666664,24,38,217,0,14,25,194,2,22,20,66,22.75,2.6666666666666665,33.0,L
1972,11,Sun,1:00PM ET,38,18,12,34,206,2,7,19,93,1,7,43,54,22.666666666666668,10.5,48.42857142857143,16,38,95,2,24,44,235,1,10,51,83,37.5,7.0,44.833333333333336,W
1972,12,Sun,1:00PM ET,44,14,19,43,184,1,9,17,162,0,9,60,61,15.0,0.0,40.0,11,29,99,2,9,20,59,1,32,5,53,22.333333333333332,4.5,41.833333333333336,W
1972,13,Sun,2:00PM ET,70,0,12,38,130,1,10,19,80,0,17,25,60,19.0,5.0,46.5,11,30,72,1,13,24,116,0,29,30,58,23.0,4.0,41.0,W
1972,14,Sun,4:00PM ET,60,6,15,39,115,0,12,24,152,1,21,79,65,20.0,8.0,41.6,12,30,56,3,11,26,122,4,6,60,57,18.833333333333332,8.5,43.8,W
1973,1,Sun,4:00PM ET,64,11,29,60,241,1,15,23,154,1,0,81,83,19.0,-1.0,38.5,17,28,108,0,11,27,219,3,26,84,59,18.0,10.0,48.0,W
1973,2,Sun,1:00PM ET,68,14,14,35,196,0,6,15,193,1,20,50,53,28.666666666666668,4.4,42.25,16,35,84,0,15,30,157,3,33,35,68,21.0,13.0,44.833333333333336,W
