year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,1:00PM ET,74,10,13,22,48,0,17,36,265,2,22,60,60,22.0,23.5,41.22222222222222,14,40,247,1,8,18,147,0,30,84,63,28.75,18.0,48.42857142857143,L
1970,2,Sun,4:00PM ET,81,9,23,37,138,0,23,38,267,0,0,152,75,20.833333333333332,0.0,38.142857142857146,17,30,133,1,10,25,242,2,31,77,59,9.5,-0.5,38.4,T
1970,3,Sat,8:00PM ET,82,7,14,40,180,0,12,22,154,4,0,95,62,23.25,21.0,48.0,7,32,104,0,8,16,180,1,5,135,49,19.5,2.0,35.833333333333336,L
1970,4,Sun,4:00PM ET,60,9,25,31,174,0,20,37,364,1,16,66,70,18.666666666666668,6.25,44.857142857142854,13,23,145,0,17,32,188,1,48,36,60,23.4,4.857142857142857,40.75,W
1970,5,Mon,9:00PM ET,58,6,25,35,226,0,19,27,232,1,0,70,62,25.0,18.0,34.0,20,22,77,0,24,32,232,0,8,81,55,21.142857142857142,0.0,37.25,W
1970,6,Sun,4:00PM ET,55,8,15,38,162,1,10,17,194,1,10,131,56,21.666666666666668,8.8,39.8,24,29,128,1,15,37,182,4,44,108,71,18.5,6.0,47.333333333333336,W
1970,7,Sun,4:00PM ET,40,4,22,36,163,0,13,28,125,0,10,95,66,25.0,5.333333333333333,42.0,16,34,164,1,8,14,174,1,17,154,50,16.0,12.0,46.8,T
1970,8,Sun,4:00PM ET,60,5,21,41,160,1,14,32,170,1,36,39,77,24.0,5.333333333333333,44.42857142857143,12,33,130,0,9,28,110,3,0,52,61,24.8,15.333333333333334,43.0,W
1970,9,Sun,3:00PM ET,28,12,16,28,67,1,15,29,268,1,10,43,58,0.0,3.75,47.333333333333336,20,33,116,0,14,39,218,3,22,84,75,26.333333333333332,6.0,44.166666666666664,W
1970,10,Sun,4:00PM ET,56,8,22,38,183,1,14,23,213,0,0,52,61,18.333333333333332,5.0,37.333333333333336,20,30,176,0,12,27,187,2,32,68,63,25.0,2.5,45.4,W
1970,11,Thu,12:30PM ET,33,16,18,26,100,0,13,33,164,2,16,72,60,19.75,0.0,31.0,25,44,262,3,10,15,176,0,39,22,63,23.333333333333332,8.0,42.0,L
1970,12,Sun,1:00PM ET,37,22,16,24,71,1,15,44,189,2,10,25,69,27.25,6.0,29.285714285714285,12,44,158,1,9,22,99,1,0,134,66,14.0,0.0,37.666666666666664,W
1970,13,Sat,4:00PM ET,50,7,23,47,204,0,9,19,136,1,16,67,69,24.0,-2.0,36.5,7,23,62,0,6,12,80,1,21,91,38,33.2,0.0,38.8,W
1970,14,Sun,4:00PM ET,45,12,17,28,88,4,16,33,288,5,18,54,63,28.6,2.0,35.6,16,43,125,0,7,22,171,0,0,22,65,24.5,4.333333333333333,35.714285714285715,L
1971,1,Sun,1:00PM ET,63,13,20,36,205,3,11,31,122,1,23,80,69,25.25,4.5,41.666666666666664,12,37,134,2,6,15,127,1,0,37,52,20.0,3.6666666666666665,41.8,L
1971,2,Sun,4:00PM ET,68,11,20,40,212,1,12,19,172,0,9,37,60,21.0,0.0,42.2,13,22,73,0,14,29,174,5,21,55,54,17.285714285714285,7.0,46.0,W
1971,3,Mon,9:00PM ET,70,12,20,27,168,1,11,21,184,1,24,80,51,32.4,4.5,40.5,20,43,156,1,15,25,195,2,17,82,70,19.4,4.25,40.333333333333336,W
1971,4,Sun,4:00PM ET,59,9,20,42,156,0,11,28,135,1,22,84,72,26.0,17.0,45.6,11,29,99,1,11,24,229,2,9,79,54,22.25,7.666666666666667,49.25,W
1971,5,Sun,4:00PM ET,54,9,20,35,176,1,18,30,243,1,7,67,66,26.666666666666668,6.0,38.4,11,23,62,2,14,27,175,1,11,49,52,25.25,7.0,40.375,W
1971,6,Sun,4:00PM ET,53,9,19,37,202,0,10,18,139,2,25,99,58,16.5,5.0,31.75,17,35,111,0,15,23,173,1,34,101,64,23.666666666666668,0.0,46.0,W
1971,7,Sun,4:00PM ET,52,10,19,28,111,0,12,25,183,2,42,31,57,24.666666666666668,7.333333333333333,35.2,18,37,161,1,7,13,133,1,46,66,55,18.333333333333332,3.0,46.5,T
1971,8,Sun,2:00PM ET,61,13,13,34,134,1,6,12,114,1,8,105,47,25.5,3.0,45.8,26,48,212,2,14,29,170,1,9,60,78,19.333333333333332,8.333333333333334,44.0,T
1971,9,Sun,4:00PM ET,50,12,12,33,82,0,8,17,180,4,17,103,52,13.666666666666666,22.0,36.5,16,28,59,2,11,32,150,4,20,76,64,21.333333333333332,30.0,40.333333333333336,W
1971,10,Sun,4:00PM ET,50,7,21,35,170,1,16,26,190,0,0,35,61,20.5,4.0,52.0,22,31,96,1,20,36,321,1,9,72,68,20.714285714285715,4.0,43.25,W
1971,11,Sun,4:00PM ET,54,12,20,25,65,0,22,41,259,6,13,77,67,21.25,6.0,37.6,19,39,210,1,10,16,119,0,23,34,58,10.5,-1.5,42.0,L
1971,12,Sun,1:00PM ET,37,19,20,42,208,3,12,31,130,2,10,9,74,19.75,1.0,36.25,17,38,113,4,12,18,220,1,6,45,57,27.75,1.0,37.0,L
1971,13,Sun,4:00PM ET,38,11,18,29,93,1,17,31,130,2,16,62,62,25.666666666666668,0.0,38.6,17,31,110,0,18,31,199,2,5,46,63,21.666666666666668,12.0,30.4,L
1971,14,Sun,4:00PM ET,44,4,16,30,148,1,8,18,182,3,19,0,49,18.75,0.0,41.0,23,39,155,0,17,41,224,1,13,30,82,24.333333333333332,8.0,45.5,W
1972,1,Sun,1:00PM ET,72,13,20,30,97,2,17,33,290,3,17,48,65,23.0,6.666666666666667,31.857142857142858,17,41,141,1,7,17,124,3,18,48,61,9.0,17.0,48.4,L
1972,2,Sun,2:00PM ET,61,10,21,46,196,1,8,21,142,0,25,102,69,27.0,9.666666666666666,44.75,15,36,143,2,5,13,75,0,11,55,50,19.5,0.0,46.166666666666664,W
1972,3,Sun,4:00PM ET,61,10,15,25,90,0,14,26,152,1,10,52,52,20.666666666666668,0.0,39.0,20,50,196,2,9,13,156,1,7,56,64,23.666666666666668,8.25,52.0,T
1972,4,Mon,9:00PM ET,70,0,19,38,164,4,13,27,167,0,29,70,68,16.0,1.5,28.8,7,22,90,0,4,25,31,5,32,69,51,20.5,-5.0,44.375,W
1972,5,Sun,4:00PM ET,62,13,22,34,215,0,10,26,192,2,11,67,61,20.0,-1.0,42.0,16,45,181,0,15,23,139,1,25,77,71,20.666666666666668,7.6,40.4,W
1972,6,Sun,4:00PM ET,60,5,23,27,127,1,22,40,242,0,53,75,73,26.0,1.0,31.333333333333332,15,24,13,1,21,29,396,0,0,95,53,32.6,0.0,40.666666666666664,L
1972,7,Sun,4:00PM ET,55,13,23,44,213,0,10,24,149,0,0,52,68,22.0,3.0,32.8,16,27,154,1,11,35,183,6,20,42,64,22.857142857142858,12.5,39.75,W
1972,8,Sun,4:00PM ET,53,12,20,23,73,2,23,38,241,1,21,5,63,25.0,-9.0,43.0,22,50,190,1,10,18,181,0,0,62,68,15.666666666666666,5.666666666666667,39.0,L
1972,9,Sun,1:00PM ET,44,6,24,48,293,1,13,24,99,1,11,32,73,27.5,-2.0,42.25,14,26,89,0,12,29,144,1,0,53,55,29.2,2.5,41.0,W
1972,10,Sun,2:00PM ET,30,9,25,47,197,2,13,24,148,0,8,32,72,12.0,8.0,0.0,13,19,38,2,16,31,178,1,8,56,51,21.857142857142858,0.0,44.5,W
1972,11,Sun,4:00PM ET,50,8,24,53,255,0,14,21,174,1,9,90,75,0.0,10.0,38.0,11,25,98,1,10,23,79,3,18,20,51,23.666666666666668,12.0,48.25,W
1972,12,Sun,4:00PM ET,60,9,17,27,96,1,14,23,223,2,21,39,52,19.0,0.0,43.333333333333336,26,53,233,0,15,26,221,2,14,55,80,19.0,14.5,44.0,W
1972,13,Mon,9:00PM ET,35,9,19,44,169,1,10,17,202,2,5,44,62,20.0,0.0,39.0,20,15,36,0,25,48,403,2,38,57,67,24.25,3.5,32.5,W
1972,14,Sun,4:00PM ET,45,11,25,35,191,2,17,26,178,2,10,49,62,21.0,1.5,20.0,15,36,162,1,6,18,53,0,20,56,58,38.4,0.0,38.25,W
1973,1,Sun,2:00PM ET,50,9,19,39,200,2,13,30,183,2,30,70,73,20.75,15.6,49.6,16,35,103,1,13,31,187,1,17,22,68,22.333333333333332,1.0,40.0,L
