year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1996,1,Sun,1:00PM ET,71,5,21,30,95,1,19,33,254,0,35,15,66,10.666666666666666,3.25,38.0,13,21,60,0,17,26,192,2,14,60,50,16.5,7.0,44.285714285714285,W
1996,2,Sun,1:00PM ET,71,9,17,25,97,2,13,24,159,1,5,10,51,25.166666666666668,0.0,49.0,26,42,206,1,18,25,198,1,7,20,68,21.0,10.0,38.0,L
1996,3,Sun,1:00PM ET,70,0,19,22,73,0,25,40,217,3,9,35,63,21.666666666666668,0.0,56.0,19,32,140,0,17,28,180,0,8,48,61,22.0,0.0,36.25,L
1996,5,Sun,1:00PM ET,60,7,16,33,165,0,11,20,186,0,8,41,54,18.666666666666668,10.333333333333334,45.0,18,29,96,0,23,30,207,0,5,55,60,21.75,0.0,46.75,W
1996,6,Sun,1:00PM ET,50,5,28,28,133,0,29,45,353,1,23,146,76,23.857142857142858,5.333333333333333,42.6,26,23,54,0,25,39,310,0,0,44,62,26.25,12.0,39.0,L
1996,7,Sun,8:00PM ET,70,0,20,23,112,0,17,30,235,1,22,35,55,22.333333333333332,8.333333333333334,43.8,15,38,123,0,9,15,155,0,23,48,57,25.5,10.0,43.8,L
1996,8,Sun,4:00PM ET,41,14,23,18,75,0,27,45,338,1,21,25,66,21.0,11.5,48.0,26,34,222,0,25,39,326,1,0,35,73,22.0,9.5,45.5,L
1996,9,Sun,1:00PM ET,62,3,25,17,74,2,31,51,429,2,25,51,71,19.5,10.0,47.666666666666664,26,47,162,2,26,40,353,2,29,104,92,18.0,21.5,43.2,W
1996,10,Sun,1:00PM ET,38,10,23,24,92,0,20,43,279,4,0,38,67,18.6,13.5,45.0,33,39,168,1,23,40,267,1,2,35,80,15.333333333333334,4.0,35.25,L
1996,11,Sun,4:00PM ET,53,8,24,36,152,3,17,27,253,0,18,78,67,22.142857142857142,11.25,35.8,22,20,86,1,24,37,354,1,22,65,63,16.166666666666668,21.0,49.25,L
1996,12,Sun,4:00PM ET,59,21,16,28,109,2,14,30,194,1,35,66,63,16.0,9.0,39.42857142857143,22,31,110,2,26,31,268,2,6,45,64,15.75,8.333333333333334,43.5,L
1996,13,Sun,1:00PM ET,39,4,29,30,104,2,31,50,366,0,10,109,81,23.8,10.0,42.333333333333336,23,27,82,0,28,46,306,2,14,80,75,20.428571428571427,0.0,50.75,L
1996,14,Sun,1:00PM ET,49,7,19,35,122,0,17,24,259,1,9,28,60,23.0,23.666666666666668,45.8,18,30,119,0,18,36,221,1,7,15,67,29.5,9.0,40.333333333333336,W
1996,15,Sun,1:00PM ET,34,15,21,25,123,0,21,39,205,1,6,37,65,14.4,14.5,44.0,25,31,93,0,26,42,272,0,5,5,75,14.0,9.0,44.5,L
1996,16,Sun,1:00PM ET,46,5,17,25,99,1,20,37,240,2,20,40,66,19.2,4.25,45.0,21,28,82,0,26,39,268,2,0,30,67,17.8,10.0,38.4,L
1996,17,Sun,1:00PM ET,27,3,20,17,120,0,23,32,307,2,50,64,53,17.0,1.0,48.333333333333336,18,36,117,0,19,24,238,0,4,55,61,16.75,8.0,38.5,L
1997,1,Sun,4:00PM ET,71,5,22,17,72,0,24,41,322,3,21,20,61,27.6,6.333333333333333,43.666666666666664,19,31,108,1,23,29,317,0,14,64,63,16.0,3.0,45.2,L
1997,2,Sun,1:00PM ET,71,7,24,35,146,2,25,36,275,1,9,25,72,19.666666666666668,5.25,43.0,18,14,56,0,25,45,317,2,34,30,64,23.6,5.5,52.75,W
1997,3,Sun,1:00PM ET,72,9,19,21,63,0,22,35,223,1,13,66,57,15.333333333333334,0.0,45.833333333333336,29,37,121,0,28,46,269,0,0,69,83,19.25,7.25,42.8,W
1997,4,Sun,1:00PM ET,71,13,21,28,89,0,23,37,318,0,9,64,66,16.333333333333332,22.5,36.0,18,18,97,4,22,35,214,1,26,30,56,31.6,1.0,42.666666666666664,W
1997,5,Sun,4:00PM ET,73,6,18,25,111,1,18,42,228,2,11,46,69,25.0,20.333333333333332,34.2,15,28,88,1,17,26,358,2,6,50,55,22.25,6.0,50.5,L
1997,6,Sun,1:00PM ET,68,5,20,18,52,3,28,47,290,2,10,29,69,23.625,37.0,44.0,22,40,214,0,18,28,246,3,29,79,70,37.0,2.75,50.5,L
1997,8,Sun,4:00PM ET,56,8,20,16,54,2,32,47,331,0,0,55,63,17.2,16.0,38.0,24,41,148,1,19,27,189,0,0,30,68,21.5,11.5,36.5,L
1997,9,Sun,1:00PM ET,50,11,20,44,199,1,10,21,142,0,9,25,67,10.666666666666666,0.0,38.5,16,21,67,0,17,33,199,1,17,60,57,35.0,9.0,44.6,W
1997,10,Sun,1:00PM ET,60,14,23,35,159,1,25,46,288,1,0,58,81,15.0,9.0,43.0,15,30,65,0,18,33,168,0,8,56,65,10.75,19.5,47.5,L
1997,11,Sun,8:00PM ET,46,13,11,21,60,3,15,39,136,4,24,73,63,19.625,10.5,43.666666666666664,19,39,143,0,15,29,206,0,8,60,69,28.0,5.5,31.333333333333332,L
1997,12,Sun,1:00PM ET,38,14,19,44,204,0,19,32,140,2,15,15,78,12.333333333333334,9.142857142857142,46.142857142857146,18,23,63,1,26,38,276,0,66,20,70,19.333333333333332,6.333333333333333,45.0,T
1997,13,Sun,1:00PM ET,48,3,17,28,129,0,21,37,193,0,8,63,67,20.333333333333332,6.333333333333333,41.77777777777778,15,24,71,0,19,34,218,2,16,20,60,30.0,18.333333333333332,44.333333333333336,L
1997,14,Sun,1:00PM ET,71,14,17,22,58,0,18,29,188,0,25,71,55,18.142857142857142,13.0,43.0,23,31,91,0,25,40,317,1,4,122,72,26.0,10.75,41.5,L
1997,15,Sun,1:00PM ET,36,16,15,28,88,3,17,28,302,0,16,40,59,25.75,36.8,33.0,14,27,103,0,17,34,199,4,29,45,65,14.0,10.0,40.888888888888886,W
1997,16,Sun,1:00PM ET,35,11,11,21,54,1,13,28,204,0,12,27,51,27.0,10.5,48.333333333333336,23,37,190,3,22,45,219,1,19,48,85,16.666666666666668,2.5,50.666666666666664,W
1997,17,Sun,1:00PM ET,37,13,15,17,51,0,28,41,349,0,45,100,65,20.75,5.0,47.0,18,29,65,0,21,34,254,0,17,45,66,22.5,2.3333333333333335,42.77777777777778,L
1998,1,Sun,1:00PM ET,73,5,17,28,112,0,20,34,273,0,9,50,63,13.0,14.0,47.75,14,30,114,1,14,27,173,2,16,25,59,4.0,5.25,44.0,L
1998,2,Sun,1:00PM ET,75,9,16,34,122,1,18,30,209,0,0,109,64,22.0,29.333333333333332,40.8,18,24,52,0,22,32,247,3,23,30,59,15.8,7.0,45.4,W
1998,3,Sun,4:15PM ET,81,9,11,25,81,0,17,34,248,1,16,54,61,22.75,0.0,49.1,21,32,154,1,25,34,376,0,11,60,69,16.333333333333332,13.5,38.0,L
1998,4,Sun,8:20PM ET,79,11,21,35,181,1,15,20,254,0,27,91,58,19.333333333333332,28.75,39.0,19,29,132,0,16,25,189,0,46,34,59,31.5,0.0,42.6,W
1998,6,Sun,1:00PM ET,61,9,13,18,36,0,25,44,249,1,22,50,65,18.0,15.75,43.125,16,35,166,0,17,29,207,1,29,141,68,17.0,6.5,49.833333333333336,L
1998,7,Sun,1:00PM ET,65,11,16,29,96,2,17,32,173,3,39,65,68,20.4,8.0,47.666666666666664,13,30,79,1,12,27,196,1,34,30,62,41.0,-0.5,42.666666666666664,L
1998,8,Sun,1:00PM ET,52,7,11,17,56,0,17,39,208,2,31,98,60,24.0,4.666666666666667,40.333333333333336,20,33,76,0,22,41,260,2,8,70,75,18.666666666666668,25.0,42.714285714285715,L
1998,9,Sun,1:00PM ET,48,6,22,23,126,4,27,34,243,1,12,70,59,23.625,3.5,43.333333333333336,20,32,111,0,15,22,258,1,5,73,56,19.333333333333332,3.0,45.0,L
1998,10,Sun,1:00PM ET,45,6,15,34,126,0,10,17,102,1,15,30,55,25.666666666666668,4.0,45.6,20,28,111,1,18,29,284,2,39,98,62,13.25,0.0,36.4,W
1998,11,Sun,4:05PM ET,59,6,8,15,40,0,12,34,150,2,29,106,55,19.666666666666668,10.5,47.375,19,32,57,1,15,42,172,0,26,146,76,20.5,4.0,42.1,L
1998,12,Sun,4:15PM ET,39,8,18,41,247,1,9,18,92,1,1,25,60,26.5,0.0,36.0,16,23,58,0,19,33,204,2,20,15,58,17.8,0.0,37.75,W
