year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,4:00PM ET,66,8,15,22,83,1,17,37,255,0,50,85,65,18.6,3.0,35.375,19,28,101,2,16,32,221,1,19,68,62,27.0,13.5,48.5,L
1970,2,Sun,4:00PM ET,81,9,17,30,133,1,10,25,242,2,31,77,59,9.5,-0.5,38.4,23,37,138,0,23,38,267,0,0,152,75,20.833333333333332,0.0,38.142857142857146,T
1970,3,Sun,4:00PM ET,68,11,12,19,54,0,15,25,168,4,75,64,54,17.166666666666668,3.0,39.0,12,34,155,1,11,19,131,0,9,103,54,26.0,-1.0,43.25,L
1970,4,Mon,9:00PM ET,68,8,14,31,217,1,7,23,95,4,55,37,60,22.0,11.0,47.0,19,41,200,1,18,24,176,1,35,98,69,18.4,0.0,46.333333333333336,L
1970,5,Sun,2:00PM ET,50,10,20,31,83,0,17,27,285,0,11,96,60,20.0,6.75,40.166666666666664,15,29,100,1,17,34,117,1,0,92,63,21.0,6.0,45.666666666666664,W
1970,6,Sun,4:00PM ET,63,10,16,25,76,0,8,22,196,2,39,63,52,26.5,8.5,44.285714285714285,25,45,185,3,21,36,266,0,3,94,82,29.75,22.333333333333332,44.0,T
1970,7,Sun,1:00PM ET,48,6,16,31,131,0,13,21,206,0,16,45,54,22.666666666666668,0.0,48.0,19,34,158,3,12,24,164,1,13,15,59,17.2,-0.5,50.333333333333336,W
1970,8,Sun,4:00PM ET,61,9,18,30,91,0,14,21,185,0,41,41,56,25.5,10.0,47.333333333333336,21,39,190,0,14,22,170,1,19,41,64,20.4,6.0,33.333333333333336,W
1970,9,Sun,1:00PM ET,44,17,15,28,29,0,16,36,238,0,0,80,64,9.25,0.0,38.8,15,33,95,2,9,17,110,0,26,80,53,25.333333333333332,5.0,37.5,W
1970,10,Sun,4:00PM ET,56,8,20,30,176,0,12,27,187,2,32,68,63,25.0,2.5,45.4,22,38,183,1,14,23,213,0,0,52,61,18.333333333333332,5.0,37.333333333333336,L
1970,11,Sun,4:00PM ET,48,7,10,17,35,0,18,33,177,2,16,42,52,26.0,6.0,50.0,16,35,138,0,17,24,208,1,17,42,62,0.0,9.0,49.5,L
1970,12,Sun,4:00PM ET,61,6,21,29,113,1,17,36,193,3,26,41,68,0.0,8.5,46.6,11,38,136,0,8,19,26,1,26,43,60,19.0,39.5,53.833333333333336,L
1970,13,Sun,4:00PM ET,23,6,15,37,86,1,11,25,184,0,39,53,67,0.0,9.666666666666666,42.125,14,28,112,1,11,28,157,2,5,71,57,28.0,8.0,45.5,T
1970,14,Sun,4:00PM ET,54,10,22,35,143,1,17,29,325,0,2,60,65,14.0,2.0,46.5,14,21,76,0,16,25,196,0,35,47,51,22.166666666666668,5.0,43.5,W
1971,1,Sun,4:00PM ET,73,12,21,26,102,0,18,38,286,1,32,85,68,27.0,6.166666666666667,43.833333333333336,17,34,116,0,12,23,171,2,56,72,61,12.0,1.4,45.875,W
1971,2,Sun,4:00PM ET,68,11,13,22,73,0,14,29,174,5,21,55,54,17.285714285714285,7.0,46.0,20,40,212,1,12,19,172,0,9,37,60,21.0,0.0,42.2,L
1971,3,Sun,1:00PM ET,68,7,28,39,169,2,25,36,283,2,25,83,77,22.0,1.8,43.0,16,27,125,1,15,24,175,0,18,85,54,19.0,0.0,45.0,L
1971,4,Sun,2:00PM ET,53,10,11,21,54,0,12,23,125,2,0,43,44,9.0,3.6666666666666665,46.5,21,38,221,0,16,23,188,0,21,44,63,22.666666666666668,7.0,48.0,L
1971,5,Sun,4:00PM ET,50,9,15,16,76,3,18,44,236,1,24,50,62,19.333333333333332,5.4,48.6,17,55,225,1,7,18,71,1,0,77,73,17.5,3.0,46.0,L
1971,6,Sat,9:00PM ET,64,7,22,42,198,4,15,29,268,1,20,50,73,25.0,7.333333333333333,36.333333333333336,11,27,152,0,8,24,56,2,19,33,53,25.25,0.0,44.333333333333336,W
1971,7,Sun,4:00PM ET,57,10,20,31,165,1,19,28,358,1,0,100,59,22.0,12.5,45.333333333333336,19,30,169,1,11,23,118,3,24,56,56,19.125,0.0,40.8,W
1971,8,Sun,1:00PM ET,53,19,18,21,92,0,19,35,240,3,13,40,57,20.6,1.0,39.4,21,37,157,1,16,20,270,0,10,95,58,26.5,2.0,32.5,L
1971,9,Mon,9:00PM ET,57,9,21,32,140,2,21,30,249,1,0,5,62,10.25,2.0,44.5,21,31,132,0,17,35,214,3,0,10,66,33.0,0.0,44.25,W
1971,10,Sun,4:00PM ET,50,7,22,31,96,1,20,36,321,1,9,72,68,20.714285714285715,4.0,43.25,21,35,170,1,16,26,190,0,0,35,61,20.5,4.0,52.0,L
1971,11,Sun,1:00PM ET,36,10,8,16,47,0,9,27,96,6,13,34,45,22.0,2.0,40.833333333333336,28,44,173,1,26,36,246,1,8,101,81,0.0,1.0,44.5,L
1971,12,Sun,4:00PM ET,55,8,21,32,149,0,20,29,165,1,0,95,61,24.333333333333332,10.666666666666666,44.5,19,34,142,1,12,28,173,4,0,67,62,22.428571428571427,0.0,46.0,W
1971,13,Sun,4:00PM ET,51,8,24,30,155,1,22,37,357,0,14,94,69,18.333333333333332,10.333333333333334,40.0,19,29,167,0,10,25,169,3,6,94,55,19.428571428571427,3.0,43.833333333333336,W
1971,14,Sun,2:00PM ET,70,0,20,31,88,1,12,29,147,3,0,89,60,25.857142857142858,2.5,45.0,22,32,135,2,15,23,226,3,6,81,56,29.428571428571427,0.0,36.333333333333336,L
1972,1,Sun,4:00PM ET,59,10,13,31,87,1,13,30,176,4,5,70,62,14.2,0.3333333333333333,38.166666666666664,18,35,117,0,13,25,188,2,10,40,61,23.5,8.666666666666666,40.8,L
1972,2,Sun,4:00PM ET,68,13,18,35,142,1,15,32,188,1,13,70,68,24.0,0.0,43.75,17,20,95,0,20,37,258,6,40,58,62,33.5,2.0,23.6,W
1972,3,Sun,4:00PM ET,61,10,20,50,196,2,9,13,156,1,7,56,64,23.666666666666668,8.25,52.0,15,25,90,0,14,26,152,1,10,52,52,20.666666666666668,0.0,39.0,T
1972,4,Sun,2:00PM ET,60,15,24,49,213,2,12,20,148,3,11,78,70,21.0,11.0,29.0,19,33,145,3,14,22,130,0,10,83,56,24.2,0.0,44.75,W
1972,5,Sun,1:00PM ET,78,10,15,36,133,1,12,22,117,2,7,25,59,23.0,0.0,39.0,14,39,153,1,9,13,105,0,19,33,55,27.0,22.0,41.5,L
1972,6,Sun,1:00PM ET,47,9,17,21,82,1,12,27,161,2,18,47,50,21.142857142857142,6.0,36.666666666666664,24,44,182,1,12,24,151,1,9,48,69,28.5,0.0,42.0,L
1972,7,Sun,4:00PM ET,62,8,16,22,81,2,18,36,231,3,32,50,61,26.285714285714285,14.5,0.0,15,34,134,0,14,27,154,2,20,35,63,21.666666666666668,0.0,40.0,L
1972,8,Sun,4:00PM ET,64,9,17,29,144,1,11,26,211,3,9,45,56,23.0,1.0,42.6,17,33,100,1,16,23,192,1,23,52,59,20.5,3.0,35.5,L
1972,9,Mon,9:00PM ET,58,6,24,44,191,2,12,21,140,1,4,27,66,24.25,7.0,42.666666666666664,18,30,124,0,13,21,186,1,11,52,52,18.75,-1.0,40.6,L
1972,10,Sun,2:00PM ET,32,11,17,34,108,0,17,28,216,0,30,55,64,24.0,15.5,39.5,22,22,99,2,25,41,280,4,16,38,65,21.4,3.6666666666666665,43.666666666666664,W
1972,11,Sun,4:00PM ET,61,7,23,42,230,1,13,26,141,0,4,63,69,17.666666666666668,0.0,44.0,18,22,51,0,19,40,185,1,23,45,64,16.333333333333332,2.0,28.6,W
1972,12,Sun,4:00PM ET,60,9,26,53,233,0,15,26,221,2,14,55,80,19.0,14.5,44.0,17,27,96,1,14,23,223,2,21,39,52,19.0,0.0,43.333333333333336,L
1972,13,Sun,2:00PM ET,7,7,20,28,99,3,22,44,288,2,52,88,78,19.4,4.5,33.25,15,32,172,1,6,12,85,2,0,25,44,25.333333333333332,35.5,43.0,L
1972,14,Sun,4:00PM ET,60,6,12,30,56,3,11,26,122,4,6,60,57,18.833333333333332,8.5,43.8,15,39,115,0,12,24,152,1,21,79,65,20.0,8.0,41.6,L
1973,1,Sun,1:00PM ET,73,6,10,36,128,3,7,20,75,4,68,59,64,16.4,0.0,47.142857142857146,13,39,83,2,10,18,129,0,1,65,58,0.0,10.75,45.0,L
1973,2,Sun,4:00PM ET,67,10,17,30,105,0,14,23,263,1,14,70,55,28.0,24.75,49.75,16,36,148,0,12,32,159,4,20,48,71,26.0,6.5,36.5,W
1973,3,Sun,4:00PM ET,67,9,17,32,114,2,15,31,215,2,38,36,69,20.0,0.0,45.6,19,44,202,2,10,17,222,0,7,82,62,21.0,9.333333333333334,34.6,L
1973,4,Sun,1:00PM ET,60,7,20,36,167,2,13,35,193,4,12,90,73,27.5,19.0,40.2,15,38,154,3,9,23,145,2,13,39,62,29.0,15.0,42.0,L
1973,5,Sun,4:00PM ET,66,8,18,32,90,3,12,30,183,1,4,45,63,15.0,2.5,38.8,20,42,180,1,13,22,193,1,6,73,67,24.0,2.0,42.6,L
1973,6,Sun,4:00PM ET,65,10,11,22,89,1,13,36,99,4,11,21,59,30.5,11.0,41.2,25,46,196,1,11,19,173,1,31,24,68,26.0,13.0,39.333333333333336,L
1973,7,Sun,1:00PM ET,54,11,16,44,204,1,8,16,135,1,0,10,60,23.0,2.0,35.0,13,31,118,1,10,21,92,2,26,10,54,17.8,5.0,39.0,T
1973,8,Sun,4:00PM ET,61,6,11,26,91,1,12,30,135,3,36,0,60,19.25,11.666666666666666,39.3,17,43,188,1,10,20,169,0,25,40,65,25.0,2.4,48.142857142857146,L
1973,9,Sun,4:00PM ET,52,7,14,30,120,1,12,22,122,1,21,24,54,32.75,7.0,45.666666666666664,21,39,179,1,16,30,234,2,0,48,69,3.0,4.0,59.0,L
1973,10,Sun,4:00PM ET,61,12,14,35,186,1,9,24,110,1,8,75,60,16.0,28.0,45.4,22,34,142,2,21,37,224,1,25,50,74,20.5,9.0,40.142857142857146,W
1973,11,Sun,4:00PM ET,49,12,13,32,117,1,10,21,146,1,28,20,56,19.5,0.0,36.333333333333336,22,39,155,1,13,24,179,1,14,10,65,31.0,3.3333333333333335,50.5,L
1973,12,Sun,1:00PM ET,33,13,11,31,187,1,10,15,76,2,32,72,49,27.5,0.0,46.25,22,40,184,3,13,27,186,2,11,10,68,46.0,14.0,38.0,L
1973,13,Sun,4:00PM ET,63,5,14,22,126,1,13,31,254,2,39,80,56,21.555555555555557,12.0,34.333333333333336,23,44,192,0,18,29,245,0,14,55,75,23.25,5.2,51.2,L
1973,14,Sun,2:00PM ET,20,11,12,23,90,3,13,29,123,3,10,26,53,22.166666666666668,0.6666666666666666,32.25,19,44,143,0,11,22,123,0,26,25,68,21.0,24.0,44.5,L
1974,1,Sun,2:00PM ET,70,0,23,40,216,3,13,26,209,2,14,32,68,26.75,6.5,32.0,19,36,156,0,19,27,195,1,2,95,64,27.333333333333332,0.0,40.25,L
1974,2,Sun,1:00PM ET,53,9,20,42,130,0,13,24,173,0,0,25,66,26.25,13.0,37.5,23,32,210,1,17,28,178,1,15,30,62,19.0,5.0,40.8,W
1974,3,Sun,4:00PM ET,69,10,19,36,203,1,14,22,189,0,0,53,58,12.6,-6.0,36.166666666666664,25,39,173,0,14,27,248,2,30,25,68,29.333333333333332,18.333333333333332,42.666666666666664,L
1974,4,Sun,4:00PM ET,67,8,19,31,160,1,13,33,134,4,8,20,65,23.666666666666668,4.75,36.5,19,34,143,0,18,33,112,1,0,64,67,24.0,1.5,36.55555555555556,L
1974,5,Sun,4:00PM ET,67,9,18,35,184,0,11,24,137,1,25,45,62,22.666666666666668,3.5,42.8,21,42,202,0,12,19,162,1,0,25,61,28.0,5.75,44.25,L
1974,6,Sun,4:00PM ET,56,8,16,24,84,0,14,29,158,3,9,74,54,21.75,16.0,41.75,20,42,189,1,10,13,187,0,22,58,58,15.0,12.5,51.5,L
1974,7,Sun,4:00PM ET,65,9,20,33,193,2,14,27,221,2,10,65,61,24.4,15.0,28.75,20,46,262,1,12,20,149,1,0,58,66,26.666666666666668,1.6666666666666667,32.25,L
1974,8,Sun,4:00PM ET,61,7,16,37,103,2,12,21,333,1,12,61,59,18.8,6.5,43.666666666666664,20,40,108,1,16,23,186,1,0,55,63,31.833333333333332,6.333333333333333,38.8,W
1974,9,Sun,1:00PM ET,48,9,13,47,143,0,7,21,122,2,11,59,70,27.0,8.666666666666666,44.72727272727273,17,30,81,2,26,45,381,1,34,69,80,26.666666666666668,6.222222222222222,39.875,W
1974,10,Sun,4:00PM ET,58,9,17,37,164,0,9,21,159,0,15,11,60,15.0,12.0,40.166666666666664,21,42,132,1,16,32,240,1,0,66,74,11.333333333333334,10.5,41.25,L
1974,11,Sun,2:00PM ET,35,15,13,31,109,1,9,28,112,2,28,61,63,22.571428571428573,2.0,45.857142857142854,15,29,73,0,17,26,234,1,10,35,56,45.0,8.6,36.0,L
1974,12,Sun,1:00PM ET,37,19,14,30,153,1,11,24,175,2,25,18,57,16.75,15.0,36.0,21,35,114,2,19,29,261,0,0,78,64,24.333333333333332,15.6,41.333333333333336,L
1974,13,Sun,4:00PM ET,60,6,16,42,106,0,9,19,156,1,7,33,62,15.5,9.2,42.0,18,34,144,1,14,26,136,2,0,58,60,17.75,5.75,45.5,W
1974,14,Sun,4:00PM ET,58,7,21,43,163,0,16,30,201,2,11,52,75,24.0,9.75,40.0,13,27,173,3,12,19,146,2,32,35,50,22.666666666666668,8.0,44.166666666666664,W
1975,1,Sun,4:00PM ET,69,11,9,23,88,1,12,23,86,3,28,54,50,24.142857142857142,2.0,38.0,24,45,205,2,22,29,246,0,8,31,75,0.0,8.6,44.0,L
1975,2,Sun,2:00PM ET,70,0,12,25,60,2,13,26,188,1,44,55,57,22.5,18.6,37.2,24,56,251,0,13,25,162,1,11,130,82,18.75,0.25,39.2,L
1975,3,Sun,4:00PM ET,66,8,5,29,115,0,3,13,29,2,51,12,47,19.0,7.0,36.18181818181818,17,51,192,1,10,23,96,1,24,25,77,0.0,7.5,42.714285714285715,L
