year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1976,1,Sun,4:00PM ET,70,0,17,22,73,1,17,37,292,2,13,15,61,20.428571428571427,2.0,42.6,25,47,281,1,15,23,180,1,5,45,72,21.2,8.8,32.75,L
1976,2,Sun,1:00PM ET,71,9,11,27,102,1,9,20,128,2,25,20,50,14.5,0.0,36.714285714285715,28,54,273,2,17,25,184,1,29,55,82,27.0,18.25,38.0,L
1976,3,Sun,4:00PM ET,70,0,29,35,130,1,21,44,305,2,14,45,80,20.2,6.25,39.666666666666664,19,32,142,0,16,29,239,1,0,106,61,26.75,25.0,30.6,L
1976,4,Sun,4:00PM ET,70,0,19,24,103,0,19,41,147,1,7,84,66,18.2,0.0,39.57142857142857,25,45,211,0,14,20,200,1,0,45,65,24.0,7.0,0.0,L
1976,5,Sun,2:00PM ET,49,6,17,23,58,1,18,33,202,1,33,69,60,14.6,7.333333333333333,38.75,24,44,187,1,16,24,215,2,22,74,71,21.25,4.5,33.25,L
1976,6,Sun,1:00PM ET,78,11,14,29,90,1,12,29,173,1,10,120,59,13.0,9.857142857142858,38.857142857142854,18,33,145,1,19,31,171,0,31,190,68,26.0,11.833333333333334,39.375,W
1976,7,Sun,4:00PM ET,70,0,20,30,97,2,18,38,249,6,7,30,70,22.125,4.5,40.333333333333336,22,38,152,1,19,31,235,0,18,55,71,26.666666666666668,7.4,35.857142857142854,L
1976,8,Sun,4:00PM ET,63,7,9,19,50,0,13,32,186,2,42,50,56,19.666666666666668,7.0,41.625,25,46,206,1,16,28,234,0,11,31,75,19.0,15.0,33.25,L
1976,9,Sun,4:00PM ET,70,0,19,39,196,4,15,28,180,0,27,39,70,20.0,7.0,40.0,12,33,148,2,10,32,108,4,18,25,67,19.6,1.5714285714285714,42.0,W
1976,10,Sun,2:00PM ET,25,8,15,23,108,1,17,29,278,3,0,29,52,25.6,0.0,47.0,29,43,180,0,26,31,274,0,30,46,76,26.25,0.0,28.333333333333332,L
1976,11,Sun,4:00PM ET,70,0,18,24,105,2,17,34,172,3,8,35,59,27.88888888888889,6.0,30.8,28,52,258,0,14,24,149,2,8,58,77,15.0,7.0,39.666666666666664,L
1976,12,Sun,1:00PM ET,51,9,15,35,128,0,14,32,137,3,21,60,70,19.4,5.0,34.285714285714285,20,45,164,2,15,21,169,2,54,57,71,18.25,4.5,34.857142857142854,L
1976,13,Sun,4:00PM ET,70,0,16,23,105,2,15,34,188,3,7,58,58,16.666666666666668,9.333333333333334,37.142857142857146,23,48,259,0,14,28,270,1,20,79,78,21.5,9.8,43.8,L
1976,14,Sun,1:00PM ET,41,5,20,21,71,2,24,49,237,1,11,30,71,23.333333333333332,5.0,36.333333333333336,25,54,270,0,12,20,142,0,0,60,74,24.5,14.2,32.5,L
1977,1,Sun,4:00PM ET,70,0,16,25,104,0,14,35,164,4,13,15,63,21.333333333333332,8.0,34.25,23,50,206,1,17,26,220,0,0,40,76,19.0,17.666666666666668,35.75,L
1977,2,Sun,1:00PM ET,68,9,15,31,110,0,10,28,176,3,4,59,60,20.857142857142858,5.5,42.4,27,40,199,0,18,30,237,1,12,103,71,23.666666666666668,6.75,37.25,L
1977,3,Sun,4:00PM ET,70,0,19,32,81,2,21,31,208,1,17,40,65,24.6,8.5,36.75,19,39,153,1,12,21,181,1,4,92,61,26.333333333333332,2.25,36.5,L
1977,4,Sun,1:00PM ET,58,19,6,31,95,1,5,23,71,4,21,20,57,20.0,1.0,38.5,19,55,196,2,9,15,137,1,0,25,70,0.0,7.8,31.0,L
