year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,4:00PM ET,59,21,21,40,150,1,17,21,178,0,4,65,62,17.25,4.4,42.714285714285715,13,22,124,1,16,30,141,1,56,36,58,12.5,2.3333333333333335,41.42857142857143,W
1970,2,Sun,4:00PM ET,72,8,24,38,158,0,20,31,277,0,0,42,69,21.5,5.5,37.833333333333336,20,31,122,2,15,28,331,2,5,63,60,26.25,4.0,37.5,W
1970,3,Sun,1:00PM ET,65,8,18,41,163,2,16,27,182,0,19,49,70,25.75,21.0,42.6,18,30,152,2,17,32,217,0,13,44,63,14.25,10.5,41.8,L
1970,4,Sun,4:00PM ET,66,8,12,37,50,2,13,20,193,0,0,101,57,20.333333333333332,13.2,33.0,11,23,104,2,14,35,126,2,25,97,61,23.8,4.75,37.5,W
1970,5,Sun,4:00PM ET,57,9,14,32,73,1,17,37,264,3,0,65,69,22.333333333333332,16.333333333333332,40.4,14,30,80,2,15,34,211,2,8,64,65,24.25,5.333333333333333,40.714285714285715,T
1970,6,Sun,4:00PM ET,56,13,16,34,128,0,16,35,234,0,0,87,69,24.0,7.2,39.285714285714285,15,33,162,0,12,27,134,3,13,50,62,22.666666666666668,10.0,40.625,W
1970,7,Sun,4:00PM ET,58,8,10,31,126,3,11,21,153,0,21,73,54,25.333333333333332,7.333333333333333,39.857142857142854,15,32,173,2,8,26,155,4,20,60,60,29.666666666666668,3.3333333333333335,38.0,W
1970,8,Sun,2:00PM ET,42,6,19,26,47,1,23,30,340,0,0,52,56,19.75,39.0,40.0,11,30,91,0,13,25,115,2,28,45,57,20.571428571428573,8.0,41.8,W
1970,9,Sun,2:00PM ET,70,0,17,35,171,0,15,26,205,1,0,127,61,21.5,22.166666666666668,42.75,16,28,103,0,18,35,174,0,9,35,64,26.0,4.0,41.857142857142854,W
1970,10,Sun,1:00PM ET,43,18,15,22,56,1,18,25,138,3,4,85,48,21.8,5.0,39.5,19,35,187,0,11,17,111,0,0,122,52,17.0,2.0,46.75,L
1970,11,Sun,4:00PM ET,52,12,16,29,125,0,18,36,160,2,0,83,65,15.0,2.5,34.166666666666664,14,30,155,1,7,22,70,0,5,65,53,34.333333333333336,4.5,38.833333333333336,L
1970,12,Sun,4:00PM ET,55,7,20,29,95,2,20,30,268,1,9,96,60,11.0,10.75,36.5,13,39,153,1,8,18,100,0,48,127,64,23.5,5.0,39.625,W
1970,13,Sun,2:00PM ET,47,12,19,34,113,1,15,22,227,0,10,50,57,16.75,7.5,35.25,17,34,105,3,15,22,261,1,13,103,57,19.714285714285715,0.0,52.5,W
1970,14,Sun,4:00PM ET,45,12,16,43,125,0,7,22,171,0,0,22,65,24.5,4.333333333333333,35.714285714285715,17,28,88,4,16,33,288,5,18,54,63,28.6,2.0,35.6,W
1971,1,Sun,1:00PM ET,71,5,22,30,166,3,17,34,225,4,19,62,66,17.75,7.0,48.5,16,36,101,1,16,21,185,0,20,55,60,27.75,6.5,40.0,L
1971,2,Sun,2:00PM ET,80,7,17,36,194,0,10,22,125,2,0,91,58,20.0,5.0,48.0,16,28,90,1,14,30,222,1,49,55,66,27.666666666666668,0.0,41.5,W
1971,3,Sun,1:00PM ET,71,13,21,31,202,2,15,30,308,0,0,60,61,28.5,7.0,34.0,17,28,89,2,17,30,214,0,42,37,62,22.2,2.0,40.0,W
1971,4,Sun,4:00PM ET,53,16,14,31,120,2,17,34,152,2,0,90,65,16.5,-0.3333333333333333,42.2,9,34,219,1,2,12,13,1,31,35,49,20.0,0.0,44.57142857142857,L
1971,5,Sun,4:00PM ET,53,8,20,42,161,3,20,35,213,2,20,69,79,0.0,19.0,43.0,13,18,62,2,15,41,179,4,21,92,61,27.666666666666668,1.0,42.0,W
1971,6,Sun,2:00PM ET,61,8,16,37,140,0,16,32,226,0,0,168,69,23.666666666666668,5.0,41.4,15,24,108,2,11,26,212,1,36,60,55,28.833333333333332,0.0,36.0,W
1971,7,Sun,4:00PM ET,52,8,13,36,71,2,10,21,200,3,24,60,59,37.666666666666664,4.25,37.5,11,31,177,3,7,20,102,0,33,40,55,16.333333333333332,2.3333333333333335,33.285714285714285,W
1971,8,Sun,3:30PM ET,20,13,14,36,119,3,13,30,110,2,7,20,67,20.0,16.5,35.0,10,26,91,0,6,25,94,1,18,28,54,26.75,0.0,34.285714285714285,W
1971,9,Sun,4:00PM ET,49,13,23,33,143,2,20,28,203,2,13,25,62,29.833333333333332,8.5,0.0,17,31,122,1,13,21,225,0,9,37,53,21.0,0.0,39.0,L
1971,10,Sun,4:00PM ET,57,7,21,34,96,0,23,42,297,4,11,108,77,17.0,1.75,40.2,8,30,124,0,5,16,69,1,20,25,48,25.0,4.666666666666667,43.0,L
1971,11,Sun,1:00PM ET,44,13,20,45,263,1,5,13,88,0,0,55,58,18.5,0.0,30.6,21,30,118,1,12,30,275,2,0,58,60,24.2,0.0,35.25,W
1971,12,Mon,9:00PM ET,53,16,18,24,112,0,20,32,229,1,10,41,57,23.25,21.0,34.166666666666664,20,37,172,1,16,28,263,0,8,35,66,20.0,1.3333333333333333,45.333333333333336,L
1971,13,Sun,4:00PM ET,47,13,18,46,171,0,9,18,126,1,7,40,65,40.0,3.0,38.8,8,22,61,2,9,23,80,2,11,18,47,21.0,0.6666666666666666,38.5,W
1971,14,Sun,4:00PM ET,43,3,20,37,171,0,14,20,186,1,0,72,57,24.0,7.0,43.0,18,33,134,0,9,18,176,1,0,35,51,28.0,0.0,47.0,W
1972,1,Sun,4:00PM ET,59,10,18,35,117,0,13,25,188,2,10,40,61,23.5,8.666666666666666,40.8,13,31,87,1,13,30,176,4,5,70,62,14.2,0.3333333333333333,38.166666666666664,W
1972,2,Sun,1:00PM ET,60,12,10,20,33,1,11,30,189,3,20,101,52,24.0,16.75,43.0,17,43,177,0,8,21,105,1,49,98,69,20.6,1.5,46.5,L
1972,3,Sun,2:00PM ET,64,14,14,36,126,2,20,28,208,1,16,75,66,14.0,5.0,37.6,8,16,7,3,13,35,128,4,51,69,56,22.77777777777778,0.0,44.142857142857146,W
1972,4,Sun,4:00PM ET,68,9,13,27,119,0,10,18,135,2,4,27,47,9.4,1.3333333333333333,46.2,22,43,302,1,12,23,225,0,14,71,68,17.5,0.5,39.666666666666664,L
1972,5,Sun,4:00PM ET,59,11,18,21,85,3,21,30,269,2,12,28,54,29.333333333333332,5.0,0.0,18,41,140,2,11,16,129,0,0,5,57,29.25,0.0,49.0,L
1972,6,Sun,4:00PM ET,58,8,14,21,66,0,19,35,286,3,12,35,58,24.4,4.0,40.2,19,34,94,1,17,27,287,1,14,30,63,19.2,0.0,42.5,T
