year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1976,1,Sun,2:00PM ET,70,0,8,26,52,0,9,26,105,2,47,80,58,21.8,3.5,42.36363636363637,21,42,190,3,19,29,205,1,23,60,73,40.0,9.555555555555555,39.8,L
1976,2,Sun,1:00PM ET,77,7,5,33,129,1,3,18,13,3,17,38,53,21.833333333333332,12.25,42.55555555555556,16,41,195,2,14,22,154,0,23,50,67,0.0,0.0,39.4,L
1976,3,Sun,1:00PM ET,80,6,15,40,170,1,13,28,170,1,2,59,69,11.333333333333334,11.0,40.0,14,35,109,2,12,22,188,0,2,30,58,18.5,-2.6666666666666665,41.285714285714285,L
1976,4,Sun,2:00PM ET,60,10,6,24,76,0,4,15,87,1,74,94,47,24.833333333333332,4.333333333333333,40.666666666666664,31,50,238,2,19,33,245,0,25,124,86,12.0,10.0,40.75,L
1976,5,Sun,1:00PM ET,47,5,12,33,114,1,12,23,122,2,36,54,60,21.25,3.6666666666666665,32.5,17,39,188,3,10,15,98,0,9,37,56,21.0,2.8,42.6,L
1976,6,Sun,1:00PM ET,78,11,18,33,145,1,19,31,171,0,31,190,68,26.0,11.833333333333334,39.375,14,29,90,1,12,29,173,1,10,120,59,13.0,9.857142857142858,38.857142857142854,L
1976,7,Sun,4:00PM ET,70,8,20,30,143,0,19,28,203,1,12,58,59,19.2,-3.0,48.0,19,42,200,0,8,15,132,1,42,20,63,28.0,10.333333333333334,44.0,L
1976,8,Sun,1:00PM ET,70,12,16,21,14,1,20,36,212,0,30,49,61,24.0,1.5,38.25,22,43,136,1,17,30,183,2,1,85,74,25.0,48.0,43.666666666666664,L
1976,9,Sun,4:00PM ET,42,7,17,33,112,2,16,37,131,2,9,75,72,24.8,4.0,39.0,18,40,193,1,10,21,228,2,6,160,62,28.75,18.5,33.333333333333336,L
1976,10,Sun,1:00PM ET,42,12,18,28,106,4,18,40,202,2,31,53,72,19.666666666666668,3.5,36.142857142857146,24,47,211,1,10,22,144,0,11,20,70,23.0,16.714285714285715,37.6,L
1976,11,Sun,1:00PM ET,69,10,18,28,102,1,18,32,157,1,32,57,63,24.75,11.0,43.5,21,41,149,0,12,23,142,0,9,70,65,19.0,9.5,40.0,L
1976,12,Sun,4:00PM ET,51,10,16,29,111,1,13,30,151,2,44,18,64,16.0,7.0,38.0,28,42,179,2,19,31,317,1,10,55,74,10.666666666666666,5.25,41.0,L
1976,13,Sun,1:00PM ET,23,5,8,30,94,2,5,14,57,2,46,30,49,18.714285714285715,3.0,36.333333333333336,26,58,222,1,12,15,163,0,0,35,73,24.0,5.2,25.5,L
1976,14,Sun,1:00PM ET,73,8,14,45,135,2,12,18,145,1,12,20,64,27.2,19.5,35.2,13,39,260,0,4,14,40,1,0,69,53,19.0,17.666666666666668,41.714285714285715,L
1977,1,Sun,1:00PM ET,74,8,8,27,92,1,11,27,70,0,44,77,59,20.666666666666668,6.2,44.63636363636363,15,38,144,3,15,25,162,2,25,29,66,23.0,8.9,36.42857142857143,L
1977,2,Sat,8:00PM ET,80,5,8,34,104,0,5,17,48,3,14,69,53,26.5,9.333333333333334,41.0,17,32,104,1,25,38,223,2,12,64,71,13.0,3.0,39.5,L
1977,3,Sun,1:00PM ET,74,15,10,32,76,0,8,23,107,2,20,25,57,22.833333333333332,1.3333333333333333,41.5,23,42,205,2,15,24,212,1,2,60,67,19.5,14.666666666666666,43.2,L
