year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
1970,1,Sun,4:00PM ET,59,21,13,22,124,1,16,30,141,1,56,36,58,12.5,2.3333333333333335,41.42857142857143,21,40,150,1,17,21,178,0,4,65,62,17.25,4.4,42.714285714285715,L
1970,2,Sun,2:00PM ET,54,10,20,31,147,1,12,26,114,2,7,25,58,22.0,0.0,41.75,22,41,174,1,10,21,123,2,0,48,62,25.333333333333332,9.0,41.0,L
1970,3,Sun,1:00PM ET,58,12,21,39,177,1,14,28,139,0,0,21,67,19.75,-2.6666666666666665,40.75,15,24,136,2,11,23,141,2,40,49,50,17.166666666666668,0.0,42.666666666666664,W
1970,4,Sun,1:00PM ET,67,6,21,36,127,0,14,20,225,1,0,45,56,13.0,0.0,44.0,16,28,99,1,14,25,162,0,10,59,55,22.75,0.0,38.0,W
1970,5,Mon,9:00PM ET,58,6,20,22,77,0,24,32,232,0,8,81,55,21.142857142857142,0.0,37.25,25,35,226,0,19,27,232,1,0,70,62,25.0,18.0,34.0,L
1970,6,Sun,1:00PM ET,52,4,20,39,212,1,13,24,123,0,11,47,64,24.0,3.5,49.8,14,25,120,3,11,28,113,1,12,64,55,13.666666666666666,4.5,39.333333333333336,W
1970,7,Sun,4:00PM ET,36,7,12,31,97,2,9,17,120,0,18,47,51,41.5,2.5,47.833333333333336,14,32,140,2,14,34,123,3,17,106,69,23.0,8.833333333333334,38.666666666666664,W
1970,8,Sun,1:00PM ET,45,4,21,33,155,1,18,25,201,0,22,20,61,15.5,-1.0,20.5,14,36,110,0,5,21,53,0,0,20,57,32.333333333333336,0.0,38.0,L
1970,9,Sun,1:00PM ET,51,15,17,28,167,0,14,27,249,1,5,35,56,25.6,0.0,42.333333333333336,29,38,186,0,23,34,320,2,21,37,75,20.0,17.0,21.5,L
1970,10,Sun,1:00PM ET,44,10,20,32,169,2,18,30,193,0,58,38,68,15.428571428571429,3.0,33.333333333333336,22,33,181,0,14,21,202,1,13,161,56,48.0,10.666666666666666,49.666666666666664,L
1970,11,Sun,1:00PM ET,48,6,18,27,167,0,18,29,203,2,14,62,57,21.8,4.0,44.25,23,33,150,0,24,36,267,1,16,91,72,20.0,5.666666666666667,41.0,L
1970,12,Sun,4:00PM ET,52,13,9,21,67,2,14,25,110,2,11,73,48,22.142857142857142,0.0,46.5,24,48,276,1,11,24,166,0,18,51,74,72.0,16.0,46.0,L
