player_id,franchise_id,position_id,name,NFL_draft_year,NFL_draft_round,NFL_draft_rank,height_inches,weight_pounds,birthdate,forty_yd,three_cone,bench,broad_jump,combine_height,shuttle,vertical,combine_weight,season,week,has_missed_game_from_injury,fanduel_price,fanduel_points,proj_mean_fanduel_points,proj_downside_fanduel_points,proj_upside_fanduel_points,draftkings_price,draftkings_points,proj_mean_draftkings_points,proj_downside_draftkings_points,proj_upside_draftkings_points,vegas_line,beat_line,offensive_snapcount,offensive_snapcount_percentage,defensive_snapcount,defensive_snapcount_percentage,special_team_snapcount,special_team_snapcount_percentage,game_starter,game_location,playoffs,passing_int,passing_rating,passing_yds,passing_two_pt_md,passing_td,passing_att,passing_cmp,receiving_yds,receiving_td,receiving_rec,receiving_tar,rushing_att,rushing_td,rushing_yds,fumbles,fumbles_lost,fumbles_rec,fumbles_rec_yds
15068,NOR,DEF,Travis Carroll,,,,76,240,1978-10-26,,,,,,,,,2002,1,0,,0,0,0,0,,0,0,0,0,Tampa Bay Buccaneers -6.0,win,,,,,,,0,away,0,,,,,,,,,,,,,,,,,,
15068,NOR,DEF,Travis Carroll,,,,76,240,1978-10-26,,,,,,,,,2002,2,0,,0,0,0,0,,0,0,0,0,Green Bay Packers -2.5,win,,,,,,,0,home,0,,,,,,,,,,,,,,,,,,
15068,NOR,DEF,Travis Carroll,,,,76,240,1978-10-26,,,,,,,,,2002,3,0,,0,0,0,0,,0,0,0,0,New Orleans Saints -2.0,win,,,,,,,0,away,0,,,,,,,,,,,,,,,,,,
15068,NOR,DEF,Travis Carroll,,,,76,240,1978-10-26,,,,,,,,,2002,4,0,,0,0,0,0,,0,0,0,0,New Orleans Saints -9.0,lose,,,,,,,0,away,0,,,,,,,,,,,,,,,,,,
15068,NOR,DEF,Travis Carroll,,,,76,240,1978-10-26,,,,,,,,,2002,5,0,,0,0,0,0,,0,0,0,0,New Orleans Saints -3.0,push,,,,,,,0,home,0,,,,,,,,,,,,,,,,,,
15068,NOR,DEF,Travis Carroll,,,,76,240,1978-10-26,,,,,,,,,2002,17,0,,0,0,0,0,,0,0,0,0,New Orleans Saints -6.0,lose,,,,,,,0,home,0,,,,,,,,,,,,,,,,,,
14850,CRD,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2002,1,0,,0,0,0,0,,0,0,0,0,Washington Redskins -6.0,lose,,,,,,,0,away,0,,,,,,,,,,,,,,,,,,
14850,CRD,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2002,2,0,,1.4,0,0,0,,1.9,0,0,0,Seattle Seahawks -4.0,win,,,,,,,1,away,0,,,,,,,,9,0,1,2,,,,,,,
14850,CRD,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2002,3,0,,1.8,0,0,0,,2.3,0,0,0,San Diego Chargers -2.5,lose,,,,,,,1,home,0,,,,,,,,13,0,1,2,,,,,,,
14850,CRD,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2002,4,0,,0,0,0,0,,0,0,0,0,New York Giants -3.0,win,,,,,,,1,home,0,,,,,,,,,,,,,,,,,,
