year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,70,0,26,38,201,2,20,33,215,0,0,55,71,0.0,14.0,45.0,18,19,151,1,23,34,269,0,35,99,57,0.0,12.0,54.4,L
2022,2,Sun,4:05PM ET,70,0,17,27,90,1,17,26,196,2,25,29,56,27.0,0.0,44.0,24,26,65,1,27,36,272,2,0,61,63,15.0,-1.0,0.0,L
2022,3,Sun,4:25PM ET,72,9,24,31,179,1,13,20,229,1,22,15,54,0.0,6.0,73.0,23,23,112,0,32,44,325,1,17,47,69,26.0,0.0,51.0,W
2022,4,Sun,1:00PM ET,70,0,19,35,202,0,7,19,139,1,8,15,55,0.0,18.0,51.0,22,35,177,1,21,35,234,1,8,51,71,17.0,3.5,48.0,W
2022,5,Sun,1:00PM ET,82,8,19,31,151,0,14,25,147,0,37,55,61,23.0,28.0,48.333333333333336,26,23,69,0,35,52,351,0,0,45,75,18.0,20.0,49.25,L
2022,6,Sun,1:00PM ET,70,0,18,40,168,0,13,14,129,0,8,40,56,28.0,24.0,43.0,21,16,50,1,29,41,296,2,0,30,57,24.666666666666668,35.0,52.666666666666664,W
2022,7,Sun,1:00PM ET,72,11,13,29,107,0,8,13,124,0,17,22,45,0.0,32.0,47.0,29,21,78,0,34,42,481,0,22,17,66,15.5,13.333333333333334,46.5,L
2022,8,Sun,1:00PM ET,70,0,21,37,167,0,20,28,253,2,14,64,67,18.5,19.0,52.5,23,36,169,0,19,36,317,1,8,74,73,0.0,11.5,47.0,W
2022,9,Sun,1:00PM ET,70,0,19,35,201,2,12,23,129,0,15,15,60,0.0,0.0,51.0,19,24,91,1,30,43,245,1,0,45,67,18.0,9.666666666666666,42.0,L
2022,10,Thu,8:15PM ET,61,12,20,25,138,0,19,30,186,1,33,37,60,24.0,11.5,34.8,18,47,232,0,10,16,108,0,7,89,64,9.0,0.0,43.2,L
2022,11,Sun,1:00PM ET,70,0,18,33,149,2,13,20,131,0,0,13,53,49.0,10.333333333333334,46.333333333333336,20,41,160,0,14,21,153,1,25,56,66,55.0,0.0,40.0,W
