year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Thu,8:20PM ET,70,0,23,25,121,2,26,31,297,2,5,35,58,0.0,20.0,0.0,19,18,52,0,29,41,240,3,49,30,66,16.75,0.0,45.0,W
2022,2,Mon,7:15PM ET,68,4,23,24,101,0,26,40,317,0,4,49,65,0.0,10.25,48.333333333333336,12,27,80,2,12,24,123,2,16,87,53,20.0,0.0,55.5,W
2022,3,Sun,1:00PM ET,90,7,31,23,115,1,42,63,400,0,18,52,90,17.0,10.666666666666666,31.0,15,17,41,0,13,20,186,0,15,20,39,18.0,0.0,43.6,L
2022,4,Sun,1:00PM ET,58,2,22,25,125,1,19,36,213,1,12,31,62,23.0,7.0,45.333333333333336,22,33,162,0,20,29,144,2,10,70,64,20.0,0.0,50.666666666666664,W
2022,5,Sun,1:00PM ET,59,13,21,18,120,1,22,36,432,1,0,28,54,18.0,0.0,55.0,23,17,54,1,34,52,327,1,17,54,72,9.5,0.0,40.75,W
2022,6,Sun,4:25PM ET,64,12,26,31,125,1,27,40,329,0,11,35,72,26.0,3.0,54.0,23,18,68,0,25,40,338,2,19,58,61,13.0,8.0,57.666666666666664,W
2022,8,Sun,8:20PM ET,54,4,20,27,153,0,13,25,218,2,2,35,54,24.0,17.0,36.5,21,31,208,0,19,30,203,1,13,58,63,16.75,3.0,44.5,W
2022,9,Sun,1:00PM ET,69,17,19,22,134,0,18,34,205,2,22,30,61,0.0,18.0,55.5,21,34,174,1,18,25,154,0,18,30,61,20.0,0.0,49.0,L
2022,10,Sun,1:00PM ET,38,11,29,27,175,2,29,43,330,2,19,64,72,22.428571428571427,8.333333333333334,50.666666666666664,24,25,147,0,30,50,357,2,23,64,79,28.666666666666668,6.0,49.666666666666664,L
2022,11,Sun,1:00PM ET,70,0,22,33,171,0,18,27,197,0,11,89,62,25.333333333333332,18.5,49.5,27,26,80,1,28,41,324,0,8,42,68,24.5,0.0,42.333333333333336,W
