year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,79,6,15,19,54,0,16,27,235,1,28,96,50,17.5,10.0,50.0,23,39,217,0,18,34,147,0,9,71,74,29.0,5.8,46.75,L
2022,2,Sun,1:00PM ET,77,7,18,23,146,2,14,29,145,0,16,38,54,25.0,8.5,42.4,18,33,103,0,22,34,176,0,14,62,70,0.0,0.0,50.6,L
2022,3,Sun,1:00PM ET,69,6,12,31,145,0,12,25,170,0,22,40,59,27.0,7.333333333333333,46.833333333333336,19,22,84,1,25,41,353,2,11,58,64,18.666666666666668,8.5,47.5,W
2022,4,Sun,4:05PM ET,66,15,11,13,40,1,22,36,197,2,17,76,51,15.5,14.0,52.25,20,37,132,0,23,32,207,1,1,61,70,21.5,4.0,56.666666666666664,L
2022,5,Sun,4:05PM ET,66,2,15,17,64,0,25,42,275,1,31,33,65,28.571428571428573,0.0,51.333333333333336,22,29,153,1,18,30,253,0,9,50,61,5.0,4.0,37.5,L
2022,6,Sun,4:05PM ET,70,0,8,21,93,0,13,21,119,1,9,30,44,24.0,4.0,51.714285714285715,22,29,111,0,26,33,253,1,4,49,63,22.0,15.0,48.0,L
2022,7,Sun,1:00PM ET,66,6,14,27,173,0,16,22,177,0,7,15,50,0.0,0.0,51.42857142857143,17,16,46,0,32,49,290,0,14,30,66,23.0,11.5,46.5,W
2022,8,Sun,1:00PM ET,70,0,23,36,169,0,19,36,317,1,8,74,73,0.0,11.5,47.0,21,37,167,0,20,28,253,2,14,64,67,18.5,19.0,52.5,L
2022,9,Sun,1:00PM ET,68,11,13,18,64,1,17,30,164,2,0,50,48,32.0,5.0,54.0,30,39,241,0,25,31,228,0,5,35,72,12.333333333333334,17.333333333333332,40.0,L
2022,10,Thu,8:15PM ET,61,12,18,47,232,0,10,16,108,0,7,89,64,9.0,0.0,43.2,20,25,138,0,19,30,186,1,33,37,60,24.0,11.5,34.8,W
2022,11,Sun,1:00PM ET,36,2,13,17,36,1,21,33,196,2,27,66,54,8.0,-1.5,44.166666666666664,19,30,115,0,24,33,209,1,16,93,66,0.0,2.5,35.857142857142854,L
