year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,67,7,15,37,99,0,8,17,121,1,16,24,56,24.0,0.0,46.166666666666664,17,37,176,1,13,28,164,1,9,99,67,21.0,11.5,40.25,W
2022,2,Sun,8:20PM ET,73,6,11,27,180,0,7,11,70,1,22,50,41,23.0,0.0,49.5,26,38,203,1,19,25,234,0,23,25,66,24.0,6.666666666666667,61.0,L
2022,3,Sun,1:00PM ET,65,15,17,40,281,0,8,17,106,2,24,32,62,17.333333333333332,0.5,45.5,17,24,92,0,20,32,245,2,8,25,57,0.0,31.0,48.4,W
2022,4,Sun,1:00PM ET,59,15,16,32,149,3,11,22,174,0,19,65,60,22.0,9.5,52.8,21,44,262,1,9,16,82,1,11,55,61,16.5,2.5,54.6,L
2022,5,Sun,1:00PM ET,70,0,14,24,78,1,15,21,208,0,15,40,47,19.5,0.0,56.0,29,31,117,0,33,42,319,1,7,70,74,24.0,0.0,15.0,L
2022,6,Thu,8:15PM ET,48,11,20,37,237,1,14,27,190,1,36,42,69,22.0,5.333333333333333,46.25,14,28,128,0,12,22,99,0,13,36,53,27.0,11.666666666666666,51.166666666666664,L
2022,7,Mon,8:15PM ET,56,11,24,45,243,0,13,21,179,1,32,35,70,24.5,11.0,40.5,12,19,70,1,17,28,198,3,8,30,48,22.6,6.0,40.0,W
2022,8,Sun,1:00PM ET,70,0,22,43,240,1,18,24,156,0,25,45,71,22.0,9.0,50.75,24,29,200,0,21,27,250,1,8,41,57,21.0,7.5,71.0,L
2022,9,Sun,1:00PM ET,58,17,23,40,252,0,17,28,123,0,7,92,70,30.0,2.0,41.5,21,23,77,0,21,30,302,0,0,38,53,18.0,8.0,51.0,L
2022,10,Sun,1:00PM ET,34,13,19,35,258,0,12,20,167,1,17,86,58,33.5,14.666666666666666,43.0,25,31,95,0,19,26,236,0,8,15,59,39.0,0.0,46.25,L
2022,11,Sun,1:00PM ET,70,0,20,41,160,0,14,21,153,1,25,56,66,55.0,0.0,40.0,18,33,149,2,13,20,131,0,0,13,53,49.0,10.333333333333334,46.333333333333336,L
