year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,73,2,32,34,133,1,33,53,338,4,39,27,94,0.0,6.2,52.666666666666664,13,22,75,0,21,38,194,0,2,59,61,1.0,20.0,48.5,L
2022,2,Sun,4:25PM ET,70,0,19,25,89,0,24,36,199,0,34,35,67,0.0,20.0,47.2,19,27,107,1,19,31,235,0,5,45,59,0.0,17.0,43.4,L
2022,3,Sun,1:00PM ET,67,2,20,28,69,1,23,36,275,0,14,30,66,0.0,11.5,47.333333333333336,19,20,76,2,28,52,285,2,33,55,76,20.0,10.0,48.666666666666664,W
2022,4,Thu,8:15PM ET,63,12,16,30,67,0,21,32,310,0,6,74,63,0.0,23.0,39.75,20,22,85,0,22,37,303,2,10,41,60,21.0,6.0,50.0,W
2022,5,Sun,8:20PM ET,52,2,20,21,101,0,24,35,217,1,27,20,59,27.0,0.0,38.5,22,28,155,0,19,32,174,1,4,48,61,15.0,4.0,39.5,L
2022,6,Sun,1:00PM ET,70,0,21,14,75,1,28,37,300,0,27,30,54,20.666666666666668,16.5,43.666666666666664,22,34,228,0,19,36,178,0,7,34,71,20.0,6.0,49.666666666666664,W
2022,7,Sun,1:00PM ET,72,11,29,21,78,0,34,42,481,0,22,17,66,15.5,13.333333333333334,46.5,13,29,107,0,8,13,124,0,17,22,45,0.0,32.0,47.0,W
2022,8,Mon,8:15PM ET,66,9,15,10,36,1,25,35,232,1,39,6,50,18.666666666666668,15.0,36.75,24,44,172,1,17,23,278,1,10,56,69,11.0,11.0,33.5,L
2022,9,Sun,1:00PM ET,68,11,30,39,241,0,25,31,228,0,5,35,72,12.333333333333334,17.333333333333332,40.0,13,18,64,1,17,30,164,2,0,50,48,32.0,5.0,54.0,W
2022,11,Sun,4:25PM ET,27,12,22,24,62,0,24,39,355,2,9,44,65,24.8,5.5,50.0,17,24,102,0,25,42,265,0,16,70,68,22.0,8.0,45.5,W
