year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,79,6,23,39,217,0,18,34,147,0,9,71,74,29.0,5.8,46.75,15,19,54,0,16,27,235,1,28,96,50,17.5,10.0,50.0,W
2022,2,Sun,1:00PM ET,79,12,29,37,184,0,22,27,229,1,8,38,65,33.5,6.5,52.0,20,20,93,1,27,45,324,0,15,57,67,25.0,16.0,47.25,L
2022,3,Thu,8:15PM ET,61,24,22,38,171,0,21,31,220,0,15,24,71,13.5,5.5,40.6,20,22,104,1,20,32,207,0,3,25,55,18.0,0.0,42.4,W
2022,4,Sun,1:00PM ET,70,0,22,35,177,1,21,35,234,1,8,51,71,17.0,3.5,48.0,19,35,202,0,7,19,139,1,8,15,55,0.0,18.0,51.0,L
2022,5,Sun,1:00PM ET,58,16,27,31,213,0,21,34,230,1,0,65,65,21.333333333333332,0.0,59.5,26,34,238,0,22,34,228,0,1,17,69,19.5,12.0,37.0,L
2022,6,Sun,1:00PM ET,57,7,16,18,70,2,21,45,266,2,8,63,67,21.2,3.5,44.333333333333336,20,29,98,1,24,34,309,0,8,92,65,19.5,11.666666666666666,41.0,L
2022,7,Sun,1:00PM ET,63,4,18,24,113,2,22,27,258,0,35,45,56,27.0,7.0,57.666666666666664,17,44,160,1,9,16,120,0,26,53,63,0.0,46.0,60.333333333333336,L
2022,8,Mon,8:15PM ET,66,9,24,44,172,1,17,23,278,1,10,56,69,11.0,11.0,33.5,15,10,36,1,25,35,232,1,39,6,50,18.666666666666668,15.0,36.75,W
2022,10,Sun,1:00PM ET,85,7,20,24,112,1,22,35,212,0,27,52,62,31.666666666666668,0.0,41.0,29,33,195,0,26,33,302,0,6,43,67,20.0,8.0,0.0,L
2022,11,Sun,1:00PM ET,70,0,27,26,80,1,28,41,324,0,8,42,68,24.5,0.0,42.333333333333336,22,33,171,0,18,27,197,0,11,89,62,25.333333333333332,18.5,49.5,L
