year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,70,0,33,38,177,1,32,50,352,1,12,89,90,0.0,6.8,44.75,20,28,77,1,23,37,240,0,18,40,68,0.0,0.0,45.42857142857143,T
2022,2,Sun,1:00PM ET,81,6,9,13,54,0,16,30,195,3,31,30,48,19.333333333333332,6.333333333333333,45.4,21,37,96,0,25,30,235,0,0,19,67,0.0,3.5,45.6,L
2022,3,Sun,1:00PM ET,70,0,19,27,82,1,27,37,222,0,45,34,69,28.5,10.0,51.333333333333336,20,23,58,1,20,36,262,1,5,45,60,18.8,6.0,56.666666666666664,W
2022,4,Sun,1:00PM ET,70,0,21,23,38,2,27,37,356,1,29,50,63,0.0,10.0,33.5,19,28,127,0,17,21,137,0,21,40,52,26.25,0.0,52.75,L
2022,5,Thu,8:15PM ET,71,9,19,26,106,0,26,41,251,2,51,64,73,0.0,7.333333333333333,44.285714285714285,18,28,125,0,21,39,274,2,24,49,71,20.0,3.0,45.8,W
2022,6,Sun,1:00PM ET,70,0,29,16,45,0,42,58,389,0,0,52,74,22.666666666666668,9.5,36.666666666666664,25,33,243,1,20,22,165,0,29,44,59,19.5,8.0,50.333333333333336,W
2022,7,Sun,1:00PM ET,73,13,17,17,65,1,33,44,243,2,16,28,64,16.0,15.666666666666666,35.2,16,35,138,1,13,20,132,0,16,15,57,22.5,0.0,54.666666666666664,L
2022,8,Sun,4:25PM ET,70,0,15,29,135,2,17,23,201,0,12,25,54,0.0,9.5,56.75,20,28,96,0,23,31,279,1,13,52,61,20.5,7.666666666666667,49.0,L
2022,9,Sun,1:00PM ET,78,13,8,22,78,0,15,29,103,1,60,15,60,23.0,7.5,43.5,11,28,70,1,20,30,147,0,14,35,62,32.0,11.333333333333334,38.714285714285715,L
2022,10,Sun,4:05PM ET,70,0,20,30,207,1,21,28,222,0,14,25,59,21.0,9.0,47.666666666666664,18,24,77,0,24,38,248,0,16,74,64,28.666666666666668,8.5,58.8,W
2022,11,Sun,1:00PM ET,70,0,14,26,99,1,23,32,213,0,28,90,62,0.0,12.5,52.0,18,33,141,2,18,25,190,0,17,55,61,0.0,13.0,41.75,L
