year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,4:25PM ET,70,0,18,22,103,0,24,38,205,0,26,49,63,34.0,-1.0,51.0,33,27,128,1,30,39,360,0,0,25,66,22.5,8.8,54.0,L
2022,2,Sun,4:25PM ET,70,0,28,28,143,0,31,49,277,1,7,120,78,20.0,10.5,45.333333333333336,20,21,80,1,25,39,252,0,8,68,61,0.0,0.0,53.666666666666664,W
2022,3,Sun,4:25PM ET,70,0,23,21,70,0,37,58,314,0,19,50,81,0.0,4.0,40.0,15,20,100,1,18,25,249,0,10,35,46,31.0,11.0,45.0,L
2022,4,Sun,4:05PM ET,66,15,20,37,132,0,23,32,207,1,1,61,70,21.5,4.0,56.666666666666664,11,13,40,1,22,36,197,2,17,76,51,15.5,14.0,52.25,W
2022,5,Sun,4:25PM ET,70,0,23,26,124,0,28,42,250,1,11,15,69,19.0,10.0,49.0,24,33,139,0,26,36,239,0,21,30,71,0.0,7.333333333333333,47.0,L
2022,6,Sun,4:05PM ET,80,6,15,28,144,1,23,37,222,1,51,53,71,22.0,5.0,40.5,19,30,136,1,20,31,197,0,37,44,66,0.0,8.0,48.833333333333336,L
2022,7,Thu,8:15PM ET,70,0,21,29,137,0,20,29,204,0,15,20,60,24.0,0.0,44.25,25,22,85,0,32,49,409,3,0,49,71,23.0,14.0,47.0,W
2022,8,Sun,1:00PM ET,70,0,25,22,78,1,31,44,326,2,29,67,70,18.0,4.333333333333333,46.333333333333336,25,29,173,1,24,36,232,0,24,86,68,0.0,3.0,46.6,L
2022,9,Sun,4:05PM ET,70,0,15,21,122,1,25,35,175,0,35,77,61,20.25,3.5,48.0,27,34,158,0,26,34,275,1,12,34,70,20.5,7.666666666666667,54.0,L
2022,10,Sun,4:25PM ET,70,0,18,26,78,0,26,37,238,0,18,67,65,7.0,13.333333333333334,47.4,18,20,66,1,25,37,209,1,19,29,60,16.0,10.0,50.4,W
2022,11,Mon,8:15PM ET,70,0,19,24,67,0,30,44,277,2,30,50,71,0.0,15.0,45.25,21,28,159,0,20,29,228,0,0,30,57,0.0,6.5,54.5,L
