year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,8:20PM ET,70,0,12,18,71,0,21,42,198,1,25,73,64,19.25,3.0,50.8,18,33,152,0,18,27,212,1,17,25,62,0.0,9.333333333333334,50.666666666666664,L
2022,2,Sun,4:25PM ET,70,0,19,27,107,1,19,31,235,0,5,45,59,0.0,17.0,43.4,19,25,89,0,24,36,199,0,34,35,67,0.0,20.0,47.2,W
2022,3,Mon,8:15PM ET,70,2,23,30,176,0,21,31,215,0,0,70,61,24.0,28.0,44.5,22,25,167,0,20,37,196,1,27,57,67,0.0,0.5,45.0,W
2022,4,Sun,1:00PM ET,70,0,15,29,62,0,15,27,223,0,6,20,57,0.0,-3.0,42.666666666666664,17,27,142,0,25,42,170,2,15,136,71,18.0,4.0,45.0,W
2022,5,Sun,4:25PM ET,70,0,10,34,163,0,10,16,102,0,26,42,53,0.0,12.0,48.0,14,15,38,2,29,44,320,1,35,25,64,0.0,6.333333333333333,44.6,W
2022,6,Sun,8:20PM ET,61,2,21,26,134,0,18,38,181,3,0,72,64,32.0,12.0,59.5,22,39,136,0,15,25,155,0,23,10,68,0.0,14.0,46.75,L
2022,7,Sun,1:00PM ET,70,0,21,32,139,1,19,25,207,0,16,55,59,0.0,33.0,48.6,18,25,117,3,21,26,228,2,33,59,56,0.0,13.0,48.0,W
2022,8,Sun,1:00PM ET,70,0,24,29,200,0,21,27,250,1,8,41,57,21.0,7.5,71.0,22,43,240,1,18,24,156,0,25,45,71,22.0,9.0,50.75,W
2022,10,Sun,4:25PM ET,33,8,24,31,159,0,27,46,265,2,3,83,79,21.666666666666668,5.5,49.2,20,39,207,2,14,20,224,0,16,40,61,20.6,8.0,40.0,L
2022,11,Sun,4:25PM ET,70,0,23,40,151,0,26,30,307,0,0,39,70,0.0,8.5,50.5,16,17,73,1,17,30,159,0,49,59,54,24.0,3.0,48.285714285714285,W
