year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Mon,8:20PM ET,73,4,20,20,103,2,29,42,340,0,10,106,64,17.0,3.0,36.0,19,19,76,1,23,28,195,0,18,77,49,25.666666666666668,0.0,50.5,L
2022,2,Sun,4:25PM ET,79,7,20,31,149,0,14,31,219,1,18,100,65,17.0,14.75,42.8,15,18,80,0,19,38,177,0,23,94,59,22.0,7.0,53.6,W
2022,3,Sun,8:20PM ET,72,7,14,33,101,0,20,33,184,0,24,30,70,14.0,9.0,47.6,13,19,88,2,18,29,211,1,32,40,52,11.5,8.0,51.714285714285715,W
2022,4,Sun,4:25PM ET,70,0,12,20,85,1,17,25,237,0,23,50,48,0.0,22.0,48.2,25,38,212,0,21,34,188,0,15,25,74,24.5,2.3333333333333335,53.75,L
2022,5,Thu,8:15PM ET,71,9,18,28,125,0,21,39,274,2,24,49,71,20.0,3.0,45.8,19,26,106,0,26,41,251,2,51,64,73,0.0,7.333333333333333,44.285714285714285,L
2022,6,Mon,8:15PM ET,70,0,13,23,98,1,15,28,188,0,28,151,55,26.0,0.0,46.142857142857146,24,24,73,0,37,57,238,1,14,89,83,22.5,13.0,44.0,L
2022,7,Sun,4:05PM ET,63,29,21,28,105,0,24,46,225,1,6,34,75,0.0,2.0,40.0,10,24,155,0,16,26,121,0,16,85,53,0.0,0.0,54.75,L
2022,8,Sun,9:30AM ET,61,9,18,28,101,0,18,30,252,1,22,80,61,17.5,5.5,51.0,24,32,191,0,18,31,133,2,19,54,65,25.5,6.25,47.833333333333336,W
2022,10,Sun,1:00PM ET,36,9,18,25,65,0,21,42,286,1,38,50,73,9.0,4.666666666666667,45.666666666666664,14,23,63,1,19,36,255,0,11,60,60,17.0,12.75,54.0,L
2022,11,Sun,4:05PM ET,49,11,19,28,94,0,24,31,247,0,21,45,62,13.666666666666666,13.5,46.75,20,24,109,0,23,37,307,0,9,98,62,23.0,7.0,46.75,L
