year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,70,0,23,28,181,0,21,37,215,1,10,65,66,0.0,5.0,46.25,27,39,216,0,18,32,243,0,4,61,72,12.666666666666666,6.5,45.666666666666664,L
2022,2,Sun,1:00PM ET,70,0,17,24,191,0,20,34,256,0,22,5,61,42.5,8.0,55.4,21,21,88,0,30,46,337,1,29,17,72,21.333333333333332,11.0,47.333333333333336,W
2022,3,Sun,1:00PM ET,70,0,23,35,139,0,25,41,277,1,0,59,76,20.0,11.5,44.666666666666664,30,25,123,1,24,41,260,0,10,15,67,23.0,10.0,52.0,L
2022,4,Sun,1:00PM ET,70,0,27,25,145,1,27,40,384,1,9,59,66,20.666666666666668,0.0,48.5,27,33,235,1,23,30,320,0,0,76,63,0.0,7.0,0.0,L
2022,5,Sun,1:00PM ET,60,13,17,27,101,1,19,35,229,1,18,82,64,33.5,8.0,44.0,22,35,176,0,17,21,188,1,0,46,56,0.0,12.0,50.5,L
2022,7,Sun,1:00PM ET,70,0,18,25,117,3,21,26,228,2,33,59,56,0.0,13.0,48.0,21,32,139,1,19,25,207,0,16,55,59,0.0,33.0,48.6,L
2022,8,Sun,1:00PM ET,70,0,22,19,82,0,27,37,321,0,10,30,57,17.0,4.0,58.5,27,26,107,1,29,36,382,0,13,55,64,13.0,12.0,38.0,L
2022,9,Sun,1:00PM ET,70,0,19,31,117,0,14,26,137,1,0,62,57,22.0,0.0,45.333333333333336,19,25,106,0,23,43,291,3,8,81,69,33.0,10.0,31.0,W
2022,10,Sun,1:00PM ET,34,13,25,31,95,0,19,26,236,0,8,15,59,39.0,0.0,46.25,19,35,258,0,12,20,167,1,17,86,58,33.5,14.666666666666666,43.0,W
2022,11,Sun,1:00PM ET,35,21,23,37,160,0,17,26,165,0,0,45,63,31.0,0.0,48.2,25,26,89,1,27,44,341,2,17,63,72,13.666666666666666,5.0,38.25,W
