year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,4:25PM ET,70,0,21,18,111,1,26,39,260,1,33,10,61,14.0,12.0,44.75,19,28,126,0,23,32,277,0,8,20,61,25.0,7.0,46.4,L
2022,2,Sun,8:20PM ET,73,6,26,38,203,1,19,25,234,0,23,25,66,24.0,6.666666666666667,61.0,11,27,180,0,7,11,70,1,22,50,41,23.0,0.0,49.5,W
2022,3,Sun,4:25PM ET,89,7,14,25,67,1,27,35,255,1,7,65,61,0.0,10.5,48.42857142857143,19,14,34,2,31,42,271,0,20,40,59,20.0,8.666666666666666,49.5,W
2022,4,Sun,4:25PM ET,66,9,24,35,199,1,21,35,251,1,7,40,71,22.0,5.5,42.0,17,33,167,1,15,21,136,0,32,75,58,27.75,24.5,44.857142857142854,W
2022,5,Sun,9:30AM ET,64,9,22,20,94,0,25,39,222,0,15,37,61,17.666666666666668,11.0,41.333333333333336,24,31,125,0,21,27,217,0,4,63,59,18.666666666666668,0.0,50.0,L
2022,6,Sun,1:00PM ET,49,7,15,20,60,1,28,45,254,0,36,42,69,32.0,4.4,48.8,14,33,179,0,10,18,110,0,11,79,53,29.0,11.333333333333334,44.666666666666664,L
2022,7,Sun,1:00PM ET,59,9,16,12,38,1,23,35,194,0,0,69,47,0.0,8.0,41.6,22,38,166,0,20,33,201,1,3,54,72,26.0,4.0,48.0,L
2022,8,Sun,8:20PM ET,54,4,21,31,208,0,19,30,203,1,13,58,63,16.75,3.0,44.5,20,27,153,0,13,25,218,2,2,35,54,24.0,17.0,36.5,L
2022,9,Sun,1:00PM ET,70,0,19,25,106,0,23,43,291,3,8,81,69,33.0,10.0,31.0,19,31,117,0,14,26,137,1,0,62,57,22.0,0.0,45.333333333333336,L
2022,10,Sun,4:25PM ET,33,8,20,39,207,2,14,20,224,0,16,40,61,20.6,8.0,40.0,24,31,159,0,27,46,265,2,3,83,79,21.666666666666668,5.5,49.2,W
2022,11,Thu,8:15PM ET,25,11,15,19,56,0,24,39,227,0,12,40,59,21.6,14.0,47.25,21,32,88,0,24,29,337,1,17,20,64,20.0,6.0,50.666666666666664,L
