year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,70,0,20,28,77,1,23,37,240,0,18,40,68,0.0,0.0,45.42857142857143,33,38,177,1,32,50,352,1,12,89,90,0.0,6.8,44.75,T
2022,2,Sun,4:25PM ET,79,7,15,18,80,0,19,38,177,0,23,94,59,22.0,7.0,53.6,20,31,149,0,14,31,219,1,18,100,65,17.0,14.75,42.8,L
2022,3,Sun,1:00PM ET,65,15,17,24,92,0,20,32,245,2,8,25,57,0.0,31.0,48.4,17,40,281,0,8,17,106,2,24,32,62,17.333333333333332,0.5,45.5,L
2022,4,Sun,1:00PM ET,70,0,16,14,131,0,26,35,246,2,31,67,53,24.0,4.0,52.0,22,27,81,1,27,39,340,0,2,61,67,17.0,12.0,46.25,L
2022,5,Sun,1:00PM ET,87,11,15,31,116,0,16,24,140,0,8,25,56,24.0,6.5,48.833333333333336,22,26,136,0,25,47,286,2,0,48,73,20.666666666666668,10.5,53.0,W
2022,7,Sun,4:05PM ET,70,0,21,23,108,0,28,41,302,1,6,14,65,19.5,1.0,55.0,25,27,164,0,21,27,241,0,5,44,55,18.25,0.0,46.5,L
2022,8,Sun,4:05PM ET,70,0,10,18,43,0,17,30,152,1,34,45,51,19.5,6.0,46.75,16,45,314,1,6,10,55,1,15,35,58,17.0,10.0,48.4,L
2022,9,Thu,8:15PM ET,70,0,20,32,168,0,13,22,154,2,19,24,57,0.0,-2.0,52.0,24,31,143,1,21,27,243,0,26,31,62,15.0,8.0,49.666666666666664,L
2022,10,Sun,1:00PM ET,50,15,22,19,101,1,22,37,319,1,33,40,60,32.0,5.666666666666667,45.8,19,47,191,0,13,17,197,0,21,24,67,21.0,1.0,40.333333333333336,L
2022,11,Sun,1:00PM ET,70,0,11,16,21,0,19,33,169,2,42,15,54,0.0,7.0,47.666666666666664,20,40,153,0,15,27,191,0,0,36,67,24.0,5.5,44.2,L
