year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,74,4,24,18,123,0,24,42,275,1,15,90,62,0.0,2.0,50.0,26,28,85,1,27,41,313,2,8,63,70,22.0,11.0,49.0,L
2022,2,Sun,1:00PM ET,81,6,21,37,96,0,25,30,235,0,0,19,67,0.0,3.5,45.6,9,13,54,0,16,30,195,3,31,30,48,19.333333333333332,6.333333333333333,45.4,W
2022,3,Sun,4:05PM ET,70,0,25,36,151,0,28,39,262,0,0,10,75,0.0,6.0,56.0,16,12,26,1,25,45,297,1,11,54,58,20.5,6.0,43.75,W
2022,4,Sun,1:00PM ET,57,11,13,19,71,3,11,23,174,1,26,38,46,23.333333333333332,4.0,53.333333333333336,25,50,210,0,16,25,204,1,13,20,77,23.0,2.0,44.666666666666664,L
2022,5,Sun,1:00PM ET,87,11,22,26,136,0,25,47,286,2,0,48,73,20.666666666666668,10.5,53.0,15,31,116,0,16,24,140,0,8,25,56,24.0,6.5,48.833333333333336,L
2022,6,Sun,1:00PM ET,70,0,25,33,243,1,20,22,165,0,29,44,59,19.5,8.0,50.333333333333336,29,16,45,0,42,58,389,0,0,52,74,22.666666666666668,9.5,36.666666666666664,L
2022,7,Sun,1:00PM ET,74,7,27,21,142,1,22,44,310,0,0,81,65,22.666666666666668,0.0,53.0,27,39,236,0,19,30,202,0,2,67,70,0.0,2.0,40.0,L
2022,8,Sun,9:30AM ET,61,9,24,32,191,0,18,31,133,2,19,54,65,25.5,6.25,47.833333333333336,18,28,101,0,18,30,252,1,22,80,61,17.5,5.5,51.0,L
2022,9,Sun,1:00PM ET,81,14,22,37,168,1,25,31,235,0,0,30,68,31.0,8.0,54.333333333333336,16,19,73,1,21,36,259,0,11,45,57,10.5,9.666666666666666,49.0,W
2022,10,Sun,1:00PM ET,33,7,17,16,75,0,29,40,259,0,19,30,61,36.0,19.0,46.833333333333336,26,27,155,2,26,35,331,1,0,0,62,10.0,5.5,45.5,L
