year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,4:25PM ET,70,0,33,27,128,1,30,39,360,0,0,25,66,22.5,8.8,54.0,18,22,103,0,24,38,205,0,26,49,63,34.0,-1.0,51.0,W
2022,2,Thu,8:15PM ET,82,13,15,18,93,0,24,35,235,0,9,54,54,0.0,3.0,55.5,21,24,75,0,33,48,334,1,8,25,74,21.5,8.5,40.5,W
2022,3,Sun,1:00PM ET,70,0,20,23,58,1,20,36,262,1,5,45,60,18.8,6.0,56.666666666666664,19,27,82,1,27,37,222,0,45,34,69,28.5,10.0,51.333333333333336,L
2022,4,Sun,8:20PM ET,75,2,27,37,189,0,23,37,249,1,21,32,77,30.333333333333332,12.0,43.0,27,6,3,2,39,52,385,0,12,40,59,25.5,0.0,41.666666666666664,W
2022,5,Mon,8:15PM ET,77,4,29,23,103,0,29,43,292,0,27,72,69,19.0,7.0,48.333333333333336,18,24,155,0,19,30,241,0,18,99,56,16.0,3.0,52.0,W
2022,6,Sun,4:25PM ET,64,12,23,18,68,0,25,40,338,2,19,58,61,13.0,8.0,57.666666666666664,26,31,125,1,27,40,329,0,11,35,72,26.0,3.0,54.0,L
2022,7,Sun,4:25PM ET,66,12,24,21,112,1,25,36,423,1,6,84,58,21.666666666666668,0.0,33.0,25,21,101,1,29,46,369,2,26,80,72,16.0,0.0,29.0,W
2022,9,Sun,8:20PM ET,54,7,29,19,77,0,43,68,446,1,24,69,91,19.5,11.8,47.166666666666664,9,29,172,0,5,16,80,0,23,51,48,18.0,5.5,48.75,W
2022,10,Sun,1:00PM ET,33,7,26,27,155,2,26,35,331,1,0,0,62,10.0,5.5,45.5,17,16,75,0,29,40,259,0,19,30,61,36.0,19.0,46.833333333333336,W
2022,11,Sun,8:20PM ET,70,0,23,27,163,1,20,34,329,0,7,54,62,10.0,3.5,46.0,22,30,115,1,23,30,280,1,30,25,65,27.0,0.0,49.0,W
