year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,91,11,18,23,65,0,23,33,270,0,28,20,59,14.0,0.0,45.75,17,22,78,2,21,30,213,1,20,15,54,28.0,6.0,39.333333333333336,W
2022,2,Sun,1:00PM ET,77,6,27,18,86,0,36,50,469,2,8,51,69,18.0,8.0,41.0,23,25,155,0,21,29,318,0,0,5,54,103.0,5.0,40.5,W
2022,3,Sun,1:00PM ET,90,7,15,17,41,0,13,20,186,0,15,20,39,18.0,0.0,43.6,31,23,115,1,42,63,400,0,18,52,90,17.0,10.666666666666666,31.0,W
2022,4,Thu,8:15PM ET,63,12,20,22,85,0,22,37,303,2,10,41,60,21.0,6.0,50.0,16,30,67,0,21,32,310,0,6,74,63,0.0,23.0,39.75,L
2022,5,Sun,1:00PM ET,57,15,19,26,137,1,19,34,166,1,8,102,62,0.0,-2.0,43.666666666666664,21,33,135,0,14,21,210,0,23,105,56,22.333333333333332,0.0,46.25,L
2022,6,Sun,1:00PM ET,85,13,23,20,73,1,30,47,418,2,33,97,73,25.0,0.6666666666666666,51.166666666666664,11,17,78,0,20,30,175,0,19,20,50,0.0,12.0,44.1,L
2022,7,Sun,8:20PM ET,78,7,17,27,111,0,21,35,261,0,0,30,62,14.0,1.0,42.666666666666664,19,23,95,0,32,44,257,3,11,40,69,17.5,6.333333333333333,41.833333333333336,W
2022,8,Sun,1:00PM ET,70,0,27,26,107,1,29,36,382,0,13,55,64,13.0,12.0,38.0,22,19,82,0,27,37,321,0,10,30,57,17.0,4.0,58.5,W
2022,9,Sun,1:00PM ET,58,17,21,23,77,0,21,30,302,0,0,38,53,18.0,8.0,51.0,23,40,252,0,17,28,123,0,7,92,70,30.0,2.0,41.5,W
2022,10,Sun,1:00PM ET,85,7,29,33,195,0,26,33,302,0,6,43,67,20.0,8.0,0.0,20,24,112,1,22,35,212,0,27,52,62,31.666666666666668,0.0,41.0,W
