year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,4:25PM ET,70,0,19,28,126,0,23,32,277,0,8,20,61,25.0,7.0,46.4,21,18,111,1,26,39,260,1,33,10,61,14.0,12.0,44.75,W
2022,2,Mon,8:30PM ET,79,4,20,11,62,0,27,46,221,3,19,25,59,21.0,2.5,49.2,25,34,163,0,26,31,333,1,10,60,68,6.5,4.666666666666667,44.75,L
2022,3,Sun,1:00PM ET,70,0,30,25,123,1,24,41,260,0,10,15,67,23.0,10.0,52.0,23,35,139,0,25,41,277,1,0,59,76,20.0,11.5,44.666666666666664,W
2022,4,Sun,9:30AM ET,64,8,23,25,81,0,26,39,286,1,23,35,67,26.5,11.5,42.0,19,27,111,2,20,28,236,0,9,102,57,20.5,2.0,48.5,W
2022,5,Sun,1:00PM ET,70,0,29,31,117,0,33,42,319,1,7,70,74,24.0,0.0,15.0,14,24,78,1,15,21,208,0,15,40,47,19.5,0.0,56.0,W
2022,6,Sun,1:00PM ET,85,13,11,17,78,0,20,30,175,0,19,20,50,0.0,12.0,44.1,23,20,73,1,30,47,418,2,33,97,73,25.0,0.6666666666666666,51.166666666666664,W
2022,8,Sun,1:00PM ET,70,0,25,29,173,1,24,36,232,0,24,86,68,0.0,3.0,46.6,25,22,78,1,31,44,326,2,29,67,70,18.0,4.333333333333333,46.333333333333336,W
2022,9,Sun,1:00PM ET,71,11,17,22,56,0,23,41,262,1,17,42,65,13.0,5.5,51.666666666666664,18,30,137,0,15,28,149,1,23,26,61,34.0,8.2,48.0,W
2022,10,Sun,1:00PM ET,38,11,24,25,147,0,30,50,357,2,23,64,79,28.666666666666668,6.0,49.666666666666664,29,27,175,2,29,43,330,2,19,64,72,22.428571428571427,8.333333333333334,50.666666666666664,W
2022,11,Sun,4:25PM ET,70,0,16,17,73,1,17,30,159,0,49,59,54,24.0,3.0,48.285714285714285,23,40,151,0,26,30,307,0,0,39,70,0.0,8.5,50.5,L
