year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,70,0,18,19,151,1,23,34,269,0,35,99,57,0.0,12.0,54.4,26,38,201,2,20,33,215,0,0,55,71,0.0,14.0,45.0,W
2022,2,Sun,1:00PM ET,70,0,18,20,100,2,25,40,236,3,28,60,66,32.5,-6.0,43.6,13,30,72,1,18,34,190,0,2,101,65,14.0,8.5,38.166666666666664,L
2022,3,Sun,1:00PM ET,69,6,19,22,84,1,25,41,353,2,11,58,64,18.666666666666668,8.5,47.5,12,31,145,0,12,25,170,0,22,40,59,27.0,7.333333333333333,46.833333333333336,L
2022,4,Sun,9:30AM ET,64,8,19,27,111,2,20,28,236,0,9,102,57,20.5,2.0,48.5,23,25,81,0,26,39,286,1,23,35,67,26.5,11.5,42.0,L
2022,5,Sun,1:00PM ET,70,0,26,48,235,1,17,25,209,1,6,57,74,20.0,12.5,47.25,15,21,151,1,16,25,268,0,23,85,49,21.0,0.0,46.6,W
2022,6,Sun,1:00PM ET,70,0,22,34,228,0,19,36,178,0,7,34,71,20.0,6.0,49.666666666666664,21,14,75,1,28,37,300,0,27,30,54,20.666666666666668,16.5,43.666666666666664,L
2022,7,Thu,8:15PM ET,70,0,25,22,85,0,32,49,409,3,0,49,71,23.0,14.0,47.0,21,29,137,0,20,29,204,0,15,20,60,24.0,0.0,44.25,L
2022,8,Sun,1:00PM ET,70,0,22,32,136,0,23,31,231,0,0,27,63,0.0,7.5,40.0,13,13,38,0,23,39,173,1,28,59,56,21.0,3.0,45.8,W
2022,9,Mon,8:15PM ET,70,0,13,15,48,0,20,30,223,1,28,40,49,16.5,8.0,46.4,23,40,188,0,12,22,133,0,2,31,65,9.0,0.0,48.25,L
2022,10,Sun,1:00PM ET,37,15,10,15,29,0,17,28,174,2,17,74,45,23.25,0.0,51.8,28,43,217,0,18,30,199,0,37,40,79,27.0,3.0,41.0,L
2022,11,Sun,1:00PM ET,70,0,19,24,88,0,22,28,274,0,39,15,56,0.0,10.0,47.8,17,30,148,0,16,28,223,0,35,55,62,34.0,7.0,47.666666666666664,W
