year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,91,11,17,22,78,2,21,30,213,1,20,15,54,28.0,6.0,39.333333333333336,18,23,65,0,23,33,270,0,28,20,59,14.0,0.0,45.75,L
2022,2,Sun,1:00PM ET,75,8,18,31,124,0,21,35,252,1,0,55,66,28.333333333333332,7.0,41.5,16,22,91,1,21,33,168,1,16,20,58,0.0,0.0,51.5,W
2022,3,Sun,1:00PM ET,69,15,22,28,145,1,22,32,321,3,19,16,63,22.5,6.5,50.0,19,26,188,1,18,29,218,1,12,10,59,25.0,27.5,44.333333333333336,L
2022,4,Sun,4:25PM ET,66,9,17,33,167,1,15,21,136,0,32,75,58,27.75,24.5,44.857142857142854,24,35,199,1,21,35,251,1,7,40,71,22.0,5.5,42.0,L
2022,5,Sun,1:00PM ET,60,13,22,35,176,0,17,21,188,1,0,46,56,0.0,12.0,50.5,17,27,101,1,19,35,229,1,18,82,64,33.5,8.0,44.0,W
2022,6,Sun,1:00PM ET,57,7,20,29,98,1,24,34,309,0,8,92,65,19.5,11.666666666666666,41.0,16,18,70,2,21,45,266,2,8,63,67,21.2,3.5,44.333333333333336,W
2022,7,Mon,8:15PM ET,56,11,12,19,70,1,17,28,198,3,8,30,48,22.6,6.0,40.0,24,45,243,0,13,21,179,1,32,35,70,24.5,11.0,40.5,L
2022,8,Sun,1:00PM ET,57,2,19,34,127,0,24,35,194,1,33,54,75,16.0,16.0,40.75,17,15,51,0,20,41,355,3,19,41,58,18.0,0.0,47.0,W
2022,9,Sun,1:00PM ET,78,13,11,28,70,1,20,30,147,0,14,35,62,32.0,11.333333333333334,38.714285714285715,8,22,78,0,15,29,103,1,60,15,60,23.0,7.5,43.5,W
2022,11,Sun,1:00PM ET,42,2,13,26,99,0,23,27,246,0,48,55,59,15.0,21.8,45.285714285714285,6,23,59,0,9,22,77,0,33,15,49,16.333333333333332,4.5,45.8,W
