year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,4:25PM ET,77,14,19,32,238,1,17,21,188,1,32,45,58,20.5,12.4,51.5,19,26,93,1,20,33,266,0,0,50,60,16.5,15.5,57.0,W
2022,2,Sun,1:00PM ET,77,7,18,33,103,0,22,34,176,0,14,62,70,0.0,0.0,50.6,18,23,146,2,14,29,145,0,16,38,54,25.0,8.5,42.4,W
2022,3,Mon,8:15PM ET,70,2,22,25,167,0,20,37,196,1,27,57,67,0.0,0.5,45.0,23,30,176,0,21,31,215,0,0,70,61,24.0,28.0,44.5,L
2022,4,Sun,1:00PM ET,59,15,21,44,262,1,9,16,82,1,11,55,61,16.5,2.5,54.6,16,32,149,3,11,22,174,0,19,65,60,22.0,9.5,52.8,W
2022,5,Sun,9:30AM ET,64,9,24,31,125,0,21,27,217,0,4,63,59,18.666666666666668,0.0,50.0,22,20,94,0,25,39,222,0,15,37,61,17.666666666666668,11.0,41.333333333333336,W
2022,6,Sun,1:00PM ET,61,4,18,31,83,1,19,27,173,0,18,25,62,47.0,8.0,46.25,23,24,211,1,17,32,210,1,15,74,58,0.0,12.0,47.5,W
2022,7,Sun,1:00PM ET,74,7,27,39,236,0,19,30,202,0,2,67,70,0.0,2.0,40.0,27,21,142,1,22,44,310,0,0,81,65,22.666666666666668,0.0,53.0,W
2022,8,Sun,4:25PM ET,54,8,14,28,78,2,17,31,176,0,29,53,64,21.0,5.6,53.666666666666664,19,25,87,1,23,34,212,0,22,25,62,26.0,8.0,48.5,L
2022,10,Sun,1:00PM ET,50,15,19,47,191,0,13,17,197,0,21,24,67,21.0,1.0,40.333333333333336,22,19,101,1,22,37,319,1,33,40,60,32.0,5.666666666666667,45.8,W
2022,11,Sun,1:00PM ET,35,21,25,26,89,1,27,44,341,2,17,63,72,13.666666666666666,5.0,38.25,23,37,160,0,17,26,165,0,0,45,63,31.0,0.0,48.2,L
