year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,69,2,24,17,83,1,37,59,309,1,12,81,79,24.0,15.0,42.166666666666664,13,21,63,0,17,30,213,1,2,29,53,0.0,8.5,48.5,L
2022,2,Sun,1:00PM ET,79,12,20,20,93,1,27,45,324,0,15,57,67,25.0,16.0,47.25,29,37,184,0,22,27,229,1,8,38,65,33.5,6.5,52.0,W
2022,3,Sun,1:00PM ET,67,2,19,20,76,2,28,52,285,2,33,55,76,20.0,10.0,48.666666666666664,20,28,69,1,23,36,275,0,14,30,66,0.0,11.5,47.333333333333336,L
2022,4,Sun,1:00PM ET,57,7,19,29,98,0,19,37,254,2,4,64,67,14.0,0.0,47.0,20,31,119,0,17,26,204,4,26,55,60,7.0,5.333333333333333,39.5,W
2022,5,Sun,1:00PM ET,57,15,21,33,135,0,14,21,210,0,23,105,56,22.333333333333332,0.0,46.25,19,26,137,1,19,34,166,1,8,102,62,0.0,-2.0,43.666666666666664,W
2022,6,Sun,1:00PM ET,49,7,14,33,179,0,10,18,110,0,11,79,53,29.0,11.333333333333334,44.666666666666664,15,20,60,1,28,45,254,0,36,42,69,32.0,4.4,48.8,W
2022,7,Sun,4:05PM ET,63,29,10,24,155,0,16,26,121,0,16,85,53,0.0,0.0,54.75,21,28,105,0,24,46,225,1,6,34,75,0.0,2.0,40.0,W
2022,8,Sun,1:00PM ET,57,2,17,15,51,0,20,41,355,3,19,41,58,18.0,0.0,47.0,19,34,127,0,24,35,194,1,33,54,75,16.0,16.0,40.75,L
2022,9,Sun,1:00PM ET,69,17,21,34,174,1,18,25,154,0,18,30,61,20.0,0.0,49.0,19,22,134,0,18,34,205,2,22,30,61,0.0,18.0,55.5,W
2022,11,Sun,1:00PM ET,42,2,6,23,59,0,9,22,77,0,33,15,49,16.333333333333332,4.5,45.8,13,26,99,0,23,27,246,0,48,55,59,15.0,21.8,45.285714285714285,L
