year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,4:25PM ET,77,14,19,26,93,1,20,33,266,0,0,50,60,16.5,15.5,57.0,19,32,238,1,17,21,188,1,32,45,58,20.5,12.4,51.5,L
2022,2,Mon,7:15PM ET,68,4,12,27,80,2,12,24,123,2,16,87,53,20.0,0.0,55.5,23,24,101,0,26,40,317,0,4,49,65,0.0,10.25,48.333333333333336,L
2022,3,Sun,1:00PM ET,78,14,19,27,109,0,19,27,264,1,12,85,55,29.0,21.0,60.333333333333336,24,19,96,0,27,45,307,1,7,44,65,23.0,13.0,48.0,W
2022,4,Sun,1:00PM ET,70,0,19,28,127,0,17,21,137,0,21,40,52,26.25,0.0,52.75,21,23,38,2,27,37,356,1,29,50,63,0.0,10.0,33.5,W
2022,5,Sun,1:00PM ET,59,11,15,32,105,0,15,25,181,0,45,69,62,0.0,0.0,52.0,17,17,43,0,25,38,359,1,17,71,58,15.333333333333334,5.8,41.166666666666664,W
2022,7,Sun,1:00PM ET,73,13,16,35,138,1,13,20,132,0,16,15,57,22.5,0.0,54.666666666666664,17,17,65,1,33,44,243,2,16,28,64,16.0,15.666666666666666,35.2,W
2022,8,Sun,4:05PM ET,70,0,16,45,314,1,6,10,55,1,15,35,58,17.0,10.0,48.4,10,18,43,0,17,30,152,1,34,45,51,19.5,6.0,46.75,W
2022,9,Sun,8:20PM ET,54,7,9,29,172,0,5,16,80,0,23,51,48,18.0,5.5,48.75,29,19,77,0,43,68,446,1,24,69,91,19.5,11.8,47.166666666666664,L
2022,10,Sun,1:00PM ET,36,9,14,23,63,1,19,36,255,0,11,60,60,17.0,12.75,54.0,18,25,65,0,21,42,286,1,38,50,73,9.0,4.666666666666667,45.666666666666664,W
2022,11,Thu,8:15PM ET,25,11,21,32,88,0,24,29,337,1,17,20,64,20.0,6.0,50.666666666666664,15,19,56,0,24,39,227,0,12,40,59,21.6,14.0,47.25,W
