year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,70,0,27,39,216,0,18,32,243,0,4,61,72,12.666666666666666,6.5,45.666666666666664,23,28,181,0,21,37,215,1,10,65,66,0.0,5.0,46.25,W
2022,2,Mon,8:30PM ET,79,4,25,34,163,0,26,31,333,1,10,60,68,6.5,4.666666666666667,44.75,20,11,62,0,27,46,221,3,19,25,59,21.0,2.5,49.2,W
2022,3,Sun,1:00PM ET,68,4,21,30,72,0,22,35,340,0,12,52,68,0.0,7.666666666666667,46.166666666666664,20,22,87,1,25,43,211,0,58,48,74,29.0,0.0,52.5,W
2022,4,Sun,1:00PM ET,57,11,25,50,210,0,16,25,204,1,13,20,77,23.0,2.0,44.666666666666664,13,19,71,3,11,23,174,1,26,38,46,23.333333333333332,4.0,53.333333333333336,W
2022,5,Sun,4:25PM ET,70,0,24,33,139,0,26,36,239,0,21,30,71,0.0,7.333333333333333,47.0,23,26,124,0,28,42,250,1,11,15,69,19.0,10.0,49.0,W
2022,6,Sun,8:20PM ET,61,2,22,39,136,0,15,25,155,0,23,10,68,0.0,14.0,46.75,21,26,134,0,18,38,181,3,0,72,64,32.0,12.0,59.5,W
2022,8,Sun,1:00PM ET,60,2,20,20,111,0,20,30,308,0,18,60,53,22.333333333333332,4.0,45.75,21,24,144,1,27,40,196,1,38,60,70,23.5,10.0,45.0,W
2022,9,Thu,8:15PM ET,70,0,24,31,143,1,21,27,243,0,26,31,62,15.0,8.0,49.666666666666664,20,32,168,0,13,22,154,2,19,24,57,0.0,-2.0,52.0,W
2022,10,Mon,8:15PM ET,43,6,18,20,94,3,17,26,175,1,5,75,47,20.0,5.0,47.0,25,49,152,1,17,29,211,1,33,58,81,14.0,12.0,43.5,L
2022,11,Sun,1:00PM ET,70,0,18,33,141,2,18,25,190,0,17,55,61,0.0,13.0,41.75,14,26,99,1,23,32,213,0,28,90,62,0.0,12.5,52.0,W
