year,week_num,day_of_week,kickoff_time,temperature,wind_speed,first_down_off,rush_attempts,rush_yds_off,fumbles_lost,completed_passes,pass_attempts,pass_yds_off,interceptions_thrown,sack_yds_off,penalty_yds_against,plays_run_off,avg_ko_return,avg_punt_return,avg_punt_dist,first_down_def,rushes_defended,rush_yds_def,fumbles_forced,completions_allowed,passes_defended,pass_yds_def,interceptions_caught,sack_yds_def,penalty_yds_for,plays_defended,avg_ko_return_against,avg_punt_return_against,avg_punt_dist_against,result
2022,1,Sun,1:00PM ET,73,2,13,22,75,0,21,38,194,0,2,59,61,1.0,20.0,48.5,32,34,133,1,33,53,338,4,39,27,94,0.0,6.2,52.666666666666664,W
2022,2,Sun,1:00PM ET,75,8,16,22,91,1,21,33,168,1,16,20,58,0.0,0.0,51.5,18,31,124,0,21,35,252,1,0,55,66,28.333333333333332,7.0,41.5,L
2022,3,Thu,8:15PM ET,61,24,20,22,104,1,20,32,207,0,3,25,55,18.0,0.0,42.4,22,38,171,0,21,31,220,0,15,24,71,13.5,5.5,40.6,L
2022,4,Sun,1:00PM ET,57,7,20,31,119,0,17,26,204,4,26,55,60,7.0,5.333333333333333,39.5,19,29,98,0,19,37,254,2,4,64,67,14.0,0.0,47.0,L
2022,5,Sun,1:00PM ET,59,13,23,17,54,1,34,52,327,1,17,54,72,9.5,0.0,40.75,21,18,120,1,22,36,432,1,0,28,54,18.0,0.0,55.0,L
2022,6,Sun,1:00PM ET,58,12,15,29,77,0,20,30,211,0,18,45,61,37.333333333333336,7.666666666666667,44.2,20,26,75,0,25,40,243,0,14,42,68,27.0,4.666666666666667,46.0,W
2022,7,Sun,8:20PM ET,78,7,19,23,95,0,32,44,257,3,11,40,69,17.5,6.333333333333333,41.833333333333336,17,27,111,0,21,35,261,0,0,30,62,14.0,1.0,42.666666666666664,L
2022,8,Sun,1:00PM ET,60,2,21,24,144,1,27,40,196,1,38,60,70,23.5,10.0,45.0,20,20,111,0,20,30,308,0,18,60,53,22.333333333333332,4.0,45.75,L
2022,10,Sun,1:00PM ET,37,15,28,43,217,0,18,30,199,0,37,40,79,27.0,3.0,41.0,10,15,29,0,17,28,174,2,17,74,45,23.25,0.0,51.8,W
2022,11,Sun,4:25PM ET,27,12,17,24,102,0,25,42,265,0,16,70,68,22.0,8.0,45.5,22,24,62,0,24,39,355,2,9,44,65,24.8,5.5,50.0,L
